variant,seed,rid,top1,rr
agent,42,3,1.0,1.0
agent,42,4,1.0,1.0
agent,42,10,1.0,1.0
agent,42,11,0.0,0.0
agent,42,25,1.0,1.0
agent,42,27,1.0,1.0
agent,42,37,1.0,1.0
agent,42,38,1.0,1.0
agent,42,43,1.0,1.0
agent,42,47,1.0,1.0
agent,42,50,0.0,0.5
agent,42,53,0.0,0.0
agent,43,6,0.0,0.5
agent,43,7,1.0,1.0
agent,43,13,0.0,0.0
agent,43,16,1.0,1.0
agent,43,24,1.0,1.0
agent,43,26,1.0,1.0
agent,43,35,0.0,0.0
agent,43,39,1.0,1.0
agent,43,43,1.0,1.0
agent,43,45,0.0,0.5
agent,43,50,0.0,0.5
agent,43,52,1.0,1.0
agent,44,2,1.0,1.0
agent,44,5,0.0,0.5
agent,44,13,0.0,0.0
agent,44,14,1.0,1.0
agent,44,21,0.0,0.2
agent,44,27,1.0,1.0
agent,44,33,1.0,1.0
agent,44,37,1.0,1.0
agent,44,44,1.0,1.0
agent,44,46,1.0,1.0
agent,44,50,0.0,0.5
agent,44,54,0.0,0.0
agent,45,5,0.0,0.5
agent,45,7,1.0,1.0
agent,45,11,0.0,0.0
agent,45,17,1.0,1.0
agent,45,26,1.0,1.0
agent,45,28,1.0,1.0
agent,45,36,0.0,0.2
agent,45,37,1.0,1.0
agent,45,44,1.0,1.0
agent,45,46,1.0,1.0
agent,45,49,0.0,0.5
agent,45,56,0.0,0.0
agent,46,5,1.0,1.0
agent,46,6,0.0,0.5
agent,46,13,0.0,0.0
agent,46,15,0.0,0.0
agent,46,24,1.0,1.0
agent,46,27,1.0,1.0
agent,46,32,1.0,1.0
agent,46,33,1.0,1.0
agent,46,46,1.0,1.0
agent,46,47,1.0,1.0
agent,46,51,1.0,1.0
agent,46,52,1.0,1.0
agent,47,1,1.0,1.0
agent,47,6,0.0,0.5
agent,47,9,1.0,1.0
agent,47,10,1.0,1.0
agent,47,21,0.0,0.2
agent,47,25,1.0,1.0
agent,47,34,1.0,1.0
agent,47,37,1.0,1.0
agent,47,40,1.0,1.0
agent,47,43,1.0,1.0
agent,47,50,0.0,0.5
agent,47,52,1.0,1.0
agent,48,0,1.0,1.0
agent,48,6,0.0,0.5
agent,48,8,0.0,0.3333333333333333
agent,48,18,0.0,0.5
agent,48,22,1.0,1.0
agent,48,24,1.0,1.0
agent,48,31,1.0,1.0
agent,48,37,1.0,1.0
agent,48,41,0.0,0.2
agent,48,46,1.0,1.0
agent,48,48,1.0,1.0
agent,48,52,1.0,1.0
agent,49,4,1.0,1.0
agent,49,7,1.0,1.0
agent,49,11,0.0,0.0
agent,49,14,1.0,1.0
agent,49,22,1.0,1.0
agent,49,23,1.0,1.0
agent,49,31,1.0,1.0
agent,49,36,0.0,0.2
