variant,seed,rid,top1,rr
bm25,42,3,1.0,1.0
bm25,42,4,1.0,1.0
bm25,42,10,1.0,1.0
bm25,42,11,0.0,0.0
bm25,42,25,0.0,0.5
bm25,42,27,0.0,0.5
bm25,42,37,1.0,1.0
bm25,42,38,1.0,1.0
bm25,42,43,1.0,1.0
bm25,42,47,1.0,1.0
bm25,42,50,0.0,0.5
bm25,42,53,0.0,0.0
bm25,43,6,0.0,0.5
bm25,43,7,1.0,1.0
bm25,43,13,0.0,0.0
bm25,43,16,0.0,0.2
bm25,43,24,1.0,1.0
bm25,43,26,1.0,1.0
bm25,43,35,0.0,0.0
bm25,43,39,1.0,1.0
bm25,43,43,1.0,1.0
bm25,43,45,0.0,0.5
bm25,43,50,0.0,0.5
bm25,43,52,1.0,1.0
bm25,44,2,1.0,1.0
bm25,44,5,0.0,0.5
bm25,44,13,0.0,0.0
bm25,44,14,1.0,1.0
bm25,44,21,0.0,0.0
bm25,44,27,0.0,0.5
bm25,44,33,1.0,1.0
bm25,44,37,1.0,1.0
bm25,44,44,0.0,0.3333333333333333
bm25,44,46,1.0,1.0
bm25,44,50,0.0,0.5
bm25,44,54,0.0,0.0
bm25,45,5,0.0,0.5
bm25,45,7,1.0,1.0
bm25,45,11,0.0,0.0
bm25,45,17,0.0,0.0
bm25,45,26,1.0,1.0
bm25,45,28,1.0,1.0
bm25,45,36,0.0,0.0
bm25,45,37,1.0,1.0
bm25,45,44,0.0,0.3333333333333333
bm25,45,46,1.0,1.0
bm25,45,49,0.0,0.3333333333333333
bm25,45,56,0.0,0.0
bm25,46,5,0.0,0.5
bm25,46,6,0.0,0.5
bm25,46,13,0.0,0.0
bm25,46,15,0.0,0.0
bm25,46,24,1.0,1.0
bm25,46,27,0.0,0.5
bm25,46,32,1.0,1.0
bm25,46,33,1.0,1.0
bm25,46,46,1.0,1.0
bm25,46,47,1.0,1.0
bm25,46,51,1.0,1.0
bm25,46,52,1.0,1.0
bm25,47,1,1.0,1.0
