variant,seed,rid,top1,rr
decomp,42,3,1.0,1.0
decomp,42,4,1.0,1.0
decomp,42,10,1.0,1.0
decomp,42,11,0.0,0.0
decomp,42,25,1.0,1.0
decomp,42,27,1.0,1.0
decomp,42,37,1.0,1.0
decomp,42,38,1.0,1.0
decomp,42,43,1.0,1.0
decomp,42,47,1.0,1.0
decomp,42,50,0.0,0.5
decomp,42,53,0.0,0.0
decomp,43,6,0.0,0.5
decomp,43,7,1.0,1.0
decomp,43,13,0.0,0.0
decomp,43,16,1.0,1.0
decomp,43,24,1.0,1.0
decomp,43,26,1.0,1.0
decomp,43,35,0.0,0.0
decomp,43,39,1.0,1.0
decomp,43,43,1.0,1.0
decomp,43,45,0.0,0.5
decomp,43,50,0.0,0.5
decomp,43,52,1.0,1.0
decomp,44,2,1.0,1.0
decomp,44,5,0.0,0.5
decomp,44,13,0.0,0.0
decomp,44,14,1.0,1.0
decomp,44,21,0.0,0.2
decomp,44,27,1.0,1.0
decomp,44,33,1.0,1.0
decomp,44,37,1.0,1.0
decomp,44,44,1.0,1.0
decomp,44,46,1.0,1.0
decomp,44,50,0.0,0.5
decomp,44,54,0.0,0.0
decomp,45,5,0.0,0.5
decomp,45,7,1.0,1.0
decomp,45,11,0.0,0.0
decomp,45,17,1.0,1.0
decomp,45,26,1.0,1.0
decomp,45,28,1.0,1.0
decomp,45,36,0.0,0.2
decomp,45,37,1.0,1.0
decomp,45,44,1.0,1.0
decomp,45,46,1.0,1.0
decomp,45,49,0.0,0.5
decomp,45,56,0.0,0.0
decomp,46,5,1.0,1.0
decomp,46,6,0.0,0.5
decomp,46,13,0.0,0.0
decomp,46,15,0.0,0.0
decomp,46,24,1.0,1.0
decomp,46,27,1.0,1.0
decomp,46,32,1.0,1.0
decomp,46,33,1.0,1.0
decomp,46,46,1.0,1.0
decomp,46,47,1.0,1.0
decomp,46,51,1.0,1.0
decomp,46,52,1.0,1.0
decomp,47,1,1.0,1.0
decomp,47,6,0.0,0.5
decomp,47,9,1.0,1.0
decomp,47,10,1.0,1.0
decomp,47,21,0.0,0.2
decomp,47,25,1.0,1.0
decomp,47,34,1.0,1.0
decomp,47,37,1.0,1.0
decomp,47,40,1.0,1.0
decomp,47,43,1.0,1.0
decomp,47,50,0.0,0.5
decomp,47,52,1.0,1.0
decomp,48,0,1.0,1.0
decomp,48,6,0.0,0.5
decomp,48,8,0.0,0.3333333333333333
decomp,48,18,0.0,0.5
decomp,48,22,1.0,1.0
decomp,48,24,1.0,1.0
decomp,48,31,1.0,1.0
decomp,48,37,1.0,1.0
decomp,48,41,0.0,0.2
decomp,48,46,1.0,1.0
decomp,48,48,1.0,1.0
decomp,48,52,1.0,1.0
decomp,49,4,1.0,1.0
decomp,49,7,1.0,1.0
decomp,49,11,0.0,0.0
decomp,49,14,1.0,1.0
decomp,49,22,1.0,1.0
decomp,49,23,1.0,1.0
decomp,49,31,1.0,1.0
decomp,49,36,0.0,0.2
decomp,49,41,0.0,0.2
decomp,49,46,1.0,1.0
decomp,49,50,0.0,0.5
decomp,49,52,1.0,1.0
decomp,50,0,1.0,1.0
decomp,50,3,1.0,1.0
decomp,50,10,1.0,1.0
decomp,50,14,1.0,1.0
decomp,50,26,1.0,1.0
decomp,50,28,1.0,1.0
decomp,50,33,1.0,1.0
decomp,50,37,1.0,1.0
decomp,50,41,0.0,0.2
decomp,50,45,0.0,0.5
decomp,50,51,1.0,1.0
decomp,50,57,0.0,0.3333333333333333
decomp,51,2,1.0,1.0
decomp,51,7,1.0,1.0
decomp,51,8,0.0,0.3333333333333333
decomp,51,9,1.0,1.0
decomp,51,21,0.0,0.2
decomp,51,23,1.0,1.0
decomp,51,33,1.0,1.0
decomp,51,39,1.0,1.0
decomp,51,42,1.0,1.0
decomp,51,45,0.0,0.5
decomp,51,50,0.0,0.5
decomp,51,54,0.0,0.0
decomp,52,2,1.0,1.0
decomp,52,6,0.0,0.5
decomp,52,9,1.0,1.0
decomp,52,13,0.0,0.0
decomp,52,22,1.0,1.0
decomp,52,24,1.0,1.0
decomp,52,31,1.0,1.0
decomp,52,32,1.0,1.0
decomp,52,40,1.0,1.0
decomp,52,46,1.0,1.0
decomp,52,51,1.0,1.0
decomp,52,57,0.0,0.3333333333333333
decomp,53,0,1.0,1.0
decomp,53,1,1.0,1.0
decomp,53,12,0.0,0.0
decomp,53,14,1.0,1.0
decomp,53,20,1.0,1.0
decomp,53,22,1.0,1.0
decomp,53,33,1.0,1.0
decomp,53,34,1.0,1.0
decomp,53,42,1.0,1.0
decomp,53,47,1.0,1.0
decomp,53,50,0.0,0.5
decomp,53,57,0.0,0.3333333333333333
decomp,54,0,0.0,0.5
decomp,54,5,0.0,0.5
decomp,54,12,0.0,0.0
decomp,54,16,1.0,1.0
decomp,54,20,1.0,1.0
decomp,54,28,1.0,1.0
decomp,54,35,0.0,0.0
decomp,54,39,1.0,1.0
decomp,54,44,1.0,1.0
decomp,54,46,1.0,1.0
decomp,54,49,0.0,0.5
decomp,54,54,0.0,0.0
decomp,55,3,1.0,1.0
decomp,55,5,0.0,0.5
decomp,55,8,0.0,0.3333333333333333
decomp,55,18,0.0,0.5
decomp,55,23,1.0,1.0
decomp,55,25,1.0,1.0
decomp,55,32,1.0,1.0
decomp,55,37,1.0,1.0
decomp,55,45,0.0,0.5
decomp,55,46,1.0,1.0
decomp,55,48,1.0,1.0
decomp,55,57,0.0,0.3333333333333333
decomp,56,1,1.0,1.0
decomp,56,7,1.0,1.0
decomp,56,12,0.0,0.0
decomp,56,18,0.0,0.5
decomp,56,24,1.0,1.0
decomp,56,27,1.0,1.0
decomp,56,30,0.0,0.2
decomp,56,36,0.0,0.25
decomp,56,43,1.0,1.0
decomp,56,47,1.0,1.0
decomp,56,48,1.0,1.0
decomp,56,53,0.0,0.0
decomp,57,1,1.0,1.0
decomp,57,6,0.0,0.5
decomp,57,11,0.0,0.0
decomp,57,19,1.0,1.0
decomp,57,20,1.0,1.0
decomp,57,23,1.0,1.0
decomp,57,30,0.0,0.2
decomp,57,35,0.0,0.0
decomp,57,42,1.0,1.0
decomp,57,43,1.0,1.0
decomp,57,49,0.0,0.5
decomp,57,56,0.0,0.0
decomp,58,2,1.0,1.0
decomp,58,4,1.0,1.0
decomp,58,8,0.0,0.3333333333333333
decomp,58,9,1.0,1.0
decomp,58,21,0.0,0.2
decomp,58,25,1.0,1.0
decomp,58,33,1.0,1.0
decomp,58,35,0.0,0.0
decomp,58,42,1.0,1.0
decomp,58,47,1.0,1.0
decomp,58,51,1.0,1.0
decomp,58,55,0.0,0.0
decomp,59,1,1.0,1.0
decomp,59,2,1.0,1.0
decomp,59,9,1.0,1.0
decomp,59,13,0.0,0.0
decomp,59,23,1.0,1.0
decomp,59,24,1.0,1.0
decomp,59,35,0.0,0.0
decomp,59,38,1.0,1.0
decomp,59,40,1.0,1.0
decomp,59,43,1.0,1.0
decomp,59,50,0.0,0.5
decomp,59,52,1.0,1.0
decomp,60,3,1.0,1.0
decomp,60,5,0.0,0.5
decomp,60,12,0.0,0.0
decomp,60,18,0.0,0.5
decomp,60,23,1.0,1.0
decomp,60,25,1.0,1.0
decomp,60,33,1.0,1.0
decomp,60,37,1.0,1.0
decomp,60,40,1.0,1.0
decomp,60,43,1.0,1.0
decomp,60,51,1.0,1.0
decomp,60,53,0.0,0.0
decomp,61,0,1.0,1.0
decomp,61,3,1.0,1.0
decomp,61,9,1.0,1.0
decomp,61,12,0.0,0.0
decomp,61,23,1.0,1.0
decomp,61,24,1.0,1.0
decomp,61,30,0.0,0.2
decomp,61,37,1.0,1.0
decomp,61,40,1.0,1.0
decomp,61,43,1.0,1.0
decomp,61,51,1.0,1.0
decomp,61,55,0.0,0.0
decomp,62,5,0.0,0.5
decomp,62,6,0.0,0.5
decomp,62,12,0.0,0.0
decomp,62,14,1.0,1.0
decomp,62,23,1.0,1.0
decomp,62,29,0.0,0.5
decomp,62,32,1.0,1.0
decomp,62,38,1.0,1.0
decomp,62,41,0.0,0.2
decomp,62,47,1.0,1.0
decomp,62,48,1.0,1.0
decomp,62,56,0.0,0.0
decomp,63,0,1.0,1.0
decomp,63,1,1.0,1.0
decomp,63,15,0.0,0.0
decomp,63,17,1.0,1.0
decomp,63,21,0.0,0.2
decomp,63,28,1.0,1.0
decomp,63,30,0.0,0.2
decomp,63,31,1.0,1.0
decomp,63,43,1.0,1.0
decomp,63,47,1.0,1.0
decomp,63,51,1.0,1.0
decomp,63,54,0.0,0.0
decomp,64,1,1.0,1.0
decomp,64,6,0.0,0.5
decomp,64,8,0.0,0.3333333333333333
decomp,64,18,0.0,0.5
decomp,64,23,1.0,1.0
decomp,64,25,1.0,1.0
decomp,64,31,1.0,1.0
decomp,64,32,1.0,1.0
decomp,64,40,1.0,1.0
decomp,64,41,0.0,0.2
decomp,64,49,0.0,0.5
decomp,64,54,0.0,0.0
decomp,65,0,0.0,0.5
decomp,65,5,0.0,0.5
