variant,seed,rid,top1,rr
reranker,42,3,1.0,1.0
reranker,42,4,1.0,1.0
reranker,42,10,1.0,1.0
reranker,42,11,0.0,0.0
reranker,42,25,1.0,1.0
reranker,42,27,0.0,0.25
reranker,42,37,1.0,1.0
reranker,42,38,1.0,1.0
reranker,42,43,1.0,1.0
reranker,42,47,1.0,1.0
reranker,42,50,1.0,1.0
reranker,42,53,1.0,1.0
reranker,43,6,0.0,0.5
reranker,43,7,1.0,1.0
reranker,43,13,0.0,0.0
reranker,43,16,0.0,0.25
reranker,43,24,1.0,1.0
reranker,43,26,1.0,1.0
reranker,43,35,0.0,0.0
reranker,43,39,1.0,1.0
reranker,43,43,1.0,1.0
reranker,43,45,1.0,1.0
reranker,43,50,1.0,1.0
reranker,43,52,1.0,1.0
reranker,44,2,1.0,1.0
reranker,44,5,1.0,1.0
reranker,44,13,0.0,0.0
reranker,44,14,1.0,1.0
reranker,44,21,0.0,0.2
reranker,44,27,0.0,0.25
reranker,44,33,1.0,1.0
reranker,44,37,1.0,1.0
reranker,44,44,0.0,0.5
reranker,44,46,1.0,1.0
reranker,44,50,1.0,1.0
reranker,44,54,0.0,0.0
reranker,45,5,1.0,1.0
reranker,45,7,1.0,1.0
reranker,45,11,0.0,0.0
reranker,45,17,0.0,0.5
reranker,45,26,1.0,1.0
reranker,45,28,1.0,1.0
reranker,45,36,0.0,0.0
reranker,45,37,1.0,1.0
reranker,45,44,0.0,0.5
reranker,45,46,1.0,1.0
reranker,45,49,1.0,1.0
reranker,45,56,0.0,0.2
reranker,46,5,1.0,1.0
reranker,46,6,0.0,0.5
reranker,46,13,0.0,0.0
reranker,46,15,0.0,0.2
reranker,46,24,1.0,1.0
reranker,46,27,0.0,0.25
reranker,46,32,1.0,1.0
reranker,46,33,1.0,1.0
reranker,46,46,1.0,1.0
reranker,46,47,1.0,1.0
reranker,46,51,1.0,1.0
reranker,46,52,1.0,1.0
reranker,47,1,1.0,1.0
reranker,47,6,0.0,0.5
reranker,47,9,0.0,0.5
reranker,47,10,1.0,1.0
reranker,47,21,0.0,0.2
reranker,47,25,1.0,1.0
reranker,47,34,1.0,1.0
reranker,47,37,1.0,1.0
reranker,47,40,1.0,1.0
reranker,47,43,1.0,1.0
reranker,47,50,1.0,1.0
reranker,47,52,1.0,1.0
reranker,48,0,1.0,1.0
reranker,48,6,0.0,0.5
reranker,48,8,0.0,0.5
reranker,48,18,0.0,0.25
reranker,48,22,1.0,1.0
reranker,48,24,1.0,1.0
reranker,48,31,1.0,1.0
reranker,48,37,1.0,1.0
reranker,48,41,0.0,0.5
reranker,48,46,1.0,1.0
reranker,48,48,1.0,1.0
reranker,48,52,1.0,1.0
reranker,49,4,1.0,1.0
reranker,49,7,1.0,1.0
reranker,49,11,0.0,0.0
reranker,49,14,1.0,1.0
reranker,49,22,1.0,1.0
reranker,49,23,0.0,0.25
reranker,49,31,1.0,1.0
reranker,49,36,0.0,0.0
reranker,49,41,0.0,0.5
reranker,49,46,1.0,1.0
reranker,49,50,1.0,1.0
reranker,49,52,1.0,1.0
reranker,50,0,1.0,1.0
reranker,50,3,1.0,1.0
reranker,50,10,1.0,1.0
reranker,50,14,1.0,1.0
reranker,50,26,1.0,1.0
reranker,50,28,1.0,1.0
reranker,50,33,1.0,1.0
reranker,50,37,1.0,1.0
reranker,50,41,0.0,0.5
reranker,50,45,1.0,1.0
reranker,50,51,1.0,1.0
reranker,50,57,0.0,0.25
reranker,51,2,1.0,1.0
reranker,51,7,1.0,1.0
reranker,51,8,0.0,0.5
reranker,51,9,0.0,0.5
reranker,51,21,0.0,0.2
reranker,51,23,0.0,0.25
reranker,51,33,1.0,1.0
reranker,51,39,1.0,1.0
reranker,51,42,1.0,1.0
reranker,51,45,1.0,1.0
reranker,51,50,1.0,1.0
reranker,51,54,0.0,0.0
reranker,52,2,1.0,1.0
reranker,52,6,0.0,0.5
reranker,52,9,0.0,0.5
reranker,52,13,0.0,0.0
reranker,52,22,1.0,1.0
reranker,52,24,1.0,1.0
reranker,52,31,1.0,1.0
reranker,52,32,1.0,1.0
reranker,52,40,1.0,1.0
reranker,52,46,1.0,1.0
reranker,52,51,1.0,1.0
reranker,52,57,0.0,0.25
reranker,53,0,1.0,1.0
reranker,53,1,1.0,1.0
reranker,53,12,0.0,0.0
reranker,53,14,1.0,1.0
reranker,53,20,0.0,0.0
reranker,53,22,1.0,1.0
reranker,53,33,1.0,1.0
reranker,53,34,1.0,1.0
reranker,53,42,1.0,1.0
reranker,53,47,1.0,1.0
reranker,53,50,1.0,1.0
reranker,53,57,0.0,0.25
reranker,54,0,1.0,1.0
reranker,54,5,1.0,1.0
reranker,54,12,0.0,0.0
reranker,54,16,0.0,0.25
reranker,54,20,0.0,0.0
reranker,54,28,1.0,1.0
reranker,54,35,0.0,0.0
reranker,54,39,1.0,1.0
reranker,54,44,0.0,0.5
reranker,54,46,1.0,1.0
reranker,54,49,1.0,1.0
reranker,54,54,0.0,0.0
reranker,55,3,1.0,1.0
reranker,55,5,1.0,1.0
reranker,55,8,0.0,0.5
reranker,55,18,0.0,0.25
reranker,55,23,0.0,0.25
reranker,55,25,1.0,1.0
reranker,55,32,1.0,1.0
reranker,55,37,1.0,1.0
reranker,55,45,1.0,1.0
reranker,55,46,1.0,1.0
reranker,55,48,1.0,1.0
reranker,55,57,0.0,0.25
reranker,56,1,1.0,1.0
reranker,56,7,1.0,1.0
reranker,56,12,0.0,0.0
reranker,56,18,0.0,0.25
reranker,56,24,1.0,1.0
reranker,56,27,0.0,0.25
reranker,56,30,1.0,1.0
reranker,56,36,0.0,0.0
reranker,56,43,1.0,1.0
reranker,56,47,1.0,1.0
reranker,56,48,1.0,1.0
reranker,56,53,1.0,1.0
reranker,57,1,1.0,1.0
reranker,57,6,0.0,0.5
reranker,57,11,0.0,0.0
reranker,57,19,0.0,0.0
reranker,57,20,0.0,0.0
reranker,57,23,0.0,0.25
reranker,57,30,1.0,1.0
reranker,57,35,0.0,0.0
reranker,57,42,1.0,1.0
reranker,57,43,1.0,1.0
reranker,57,49,1.0,1.0
reranker,57,56,0.0,0.2
reranker,58,2,1.0,1.0
reranker,58,4,1.0,1.0
reranker,58,8,0.0,0.5
reranker,58,9,0.0,0.5
reranker,58,21,0.0,0.2
reranker,58,25,1.0,1.0
reranker,58,33,1.0,1.0
reranker,58,35,0.0,0.0
reranker,58,42,1.0,1.0
reranker,58,47,1.0,1.0
reranker,58,51,1.0,1.0
reranker,58,55,0.0,0.3333333333333333
reranker,59,1,1.0,1.0
reranker,59,2,1.0,1.0
reranker,59,9,0.0,0.5
reranker,59,13,0.0,0.0
reranker,59,23,0.0,0.25
reranker,59,24,1.0,1.0
reranker,59,35,0.0,0.0
reranker,59,38,1.0,1.0
reranker,59,40,1.0,1.0
reranker,59,43,1.0,1.0
reranker,59,50,1.0,1.0
reranker,59,52,1.0,1.0
reranker,60,3,1.0,1.0
reranker,60,5,1.0,1.0
reranker,60,12,0.0,0.0
reranker,60,18,0.0,0.25
reranker,60,23,0.0,0.25
reranker,60,25,1.0,1.0
reranker,60,33,1.0,1.0
reranker,60,37,1.0,1.0
reranker,60,40,1.0,1.0
reranker,60,43,1.0,1.0
reranker,60,51,1.0,1.0
reranker,60,53,1.0,1.0
reranker,61,0,1.0,1.0
reranker,61,3,1.0,1.0
reranker,61,9,0.0,0.5
reranker,61,12,0.0,0.0
reranker,61,23,0.0,0.25
reranker,61,24,1.0,1.0
reranker,61,30,1.0,1.0
reranker,61,37,1.0,1.0
reranker,61,40,1.0,1.0
reranker,61,43,1.0,1.0
reranker,61,51,1.0,1.0
reranker,61,55,0.0,0.3333333333333333
reranker,62,5,1.0,1.0
reranker,62,6,0.0,0.5
reranker,62,12,0.0,0.0
reranker,62,14,1.0,1.0
reranker,62,23,0.0,0.25
reranker,62,29,0.0,0.25
reranker,62,32,1.0,1.0
reranker,62,38,1.0,1.0
reranker,62,41,0.0,0.5
reranker,62,47,1.0,1.0
reranker,62,48,1.0,1.0
reranker,62,56,0.0,0.2
reranker,63,0,1.0,1.0
reranker,63,1,1.0,1.0
reranker,63,15,0.0,0.2
reranker,63,17,0.0,0.5
reranker,63,21,0.0,0.2
reranker,63,28,1.0,1.0
reranker,63,30,1.0,1.0
reranker,63,31,1.0,1.0
reranker,63,43,1.0,1.0
reranker,63,47,1.0,1.0
reranker,63,51,1.0,1.0
reranker,63,54,0.0,0.0
reranker,64,1,1.0,1.0
reranker,64,6,0.0,0.5
reranker,64,8,0.0,0.5
reranker,64,18,0.0,0.25
reranker,64,23,0.0,0.25
reranker,64,25,1.0,1.0
reranker,64,31,1.0,1.0
reranker,64,32,1.0,1.0
reranker,64,40,1.0,1.0
reranker,64,41,0.0,0.5
reranker,64,49,1.0,1.0
reranker,64,54,0.0,0.0
reranker,65,0,1.0,1.0
reranker,65,5,1.0,1.0
reranker,65,10,1.0,1.0
reranker,65,17,0.0,0.5
reranker,65,23,0.0,0.25
reranker,65,26,1.0,1.0
reranker,65,30,1.0,1.0
reranker,65,33,1.0,1.0
reranker,65,42,1.0,1.0
reranker,65,45,1.0,1.0
reranker,65,48,1.0,1.0
reranker,65,54,0.0,0.0
reranker,66,0,1.0,1.0
reranker,66,6,0.0,0.5
reranker,66,13,0.0,0.0
reranker,66,14,1.0,1.0
reranker,66,22,1.0,1.0
reranker,66,25,1.0,1.0
reranker,66,36,0.0,0.0
reranker,66,39,1.0,1.0
reranker,66,43,1.0,1.0
reranker,66,46,1.0,1.0
reranker,66,51,1.0,1.0
reranker,66,55,0.0,0.3333333333333333
reranker,67,2,1.0,1.0
reranker,67,6,0.0,0.5
reranker,67,14,1.0,1.0
reranker,67,18,0.0,0.25
reranker,67,20,0.0,0.0
reranker,67,24,1.0,1.0
reranker,67,33,1.0,1.0
reranker,67,39,1.0,1.0
reranker,67,42,1.0,1.0
reranker,67,44,0.0,0.5
reranker,67,49,1.0,1.0
reranker,67,53,1.0,1.0
reranker,68,1,1.0,1.0
reranker,68,3,1.0,1.0
reranker,68,16,0.0,0.25
reranker,68,19,0.0,0.0
reranker,68,22,1.0,1.0
reranker,68,23,0.0,0.25
reranker,68,30,1.0,1.0
reranker,68,35,0.0,0.0
reranker,68,43,1.0,1.0
reranker,68,45,1.0,1.0
reranker,68,48,1.0,1.0
reranker,68,57,0.0,0.25
reranker,69,3,1.0,1.0
reranker,69,4,1.0,1.0
reranker,69,8,0.0,0.5
reranker,69,10,1.0,1.0
reranker,69,23,0.0,0.25
reranker,69,27,0.0,0.25
reranker,69,37,1.0,1.0
reranker,69,38,1.0,1.0
reranker,69,42,1.0,1.0
reranker,69,44,0.0,0.5
reranker,69,50,1.0,1.0
reranker,69,56,0.0,0.2
reranker,70,6,0.0,0.5
reranker,70,7,1.0,1.0
reranker,70,8,0.0,0.5
reranker,70,12,0.0,0.0
reranker,70,21,0.0,0.2
reranker,70,22,1.0,1.0
reranker,70,38,1.0,1.0
reranker,70,39,1.0,1.0
reranker,70,45,1.0,1.0
reranker,70,46,1.0,1.0
reranker,70,51,1.0,1.0
reranker,70,57,0.0,0.25
reranker,71,1,1.0,1.0
reranker,71,3,1.0,1.0
reranker,71,13,0.0,0.0
reranker,71,17,0.0,0.5
reranker,71,24,1.0,1.0
reranker,71,26,1.0,1.0
reranker,71,31,1.0,1.0
reranker,71,34,1.0,1.0
reranker,71,40,1.0,1.0
reranker,71,47,1.0,1.0
reranker,71,49,1.0,1.0
reranker,71,56,0.0,0.2
