variant,seed,rid,top1,rr
semantic,42,3,0.0,0.25
semantic,42,4,0.0,0.5
semantic,42,10,0.0,0.5
semantic,42,11,0.0,0.0
semantic,42,25,1.0,1.0
semantic,42,27,0.0,0.3333333333333333
semantic,42,37,1.0,1.0
semantic,42,38,1.0,1.0
semantic,42,43,1.0,1.0
semantic,42,47,1.0,1.0
semantic,42,50,0.0,0.5
semantic,42,53,1.0,1.0
semantic,43,6,1.0,1.0
semantic,43,7,1.0,1.0
semantic,43,13,1.0,1.0
semantic,43,16,0.0,0.5
semantic,43,24,1.0,1.0
semantic,43,26,1.0,1.0
semantic,43,35,0.0,0.0
semantic,43,39,1.0,1.0
semantic,43,43,1.0,1.0
semantic,43,45,1.0,1.0
semantic,43,50,0.0,0.5
semantic,43,52,1.0,1.0
semantic,44,2,1.0,1.0
semantic,44,5,0.0,0.25
semantic,44,13,1.0,1.0
semantic,44,14,1.0,1.0
semantic,44,21,0.0,0.0
semantic,44,27,0.0,0.3333333333333333
semantic,44,33,1.0,1.0
semantic,44,37,1.0,1.0
semantic,44,44,1.0,1.0
semantic,44,46,1.0,1.0
semantic,44,50,0.0,0.5
semantic,44,54,0.0,0.0
semantic,45,5,0.0,0.25
semantic,45,7,1.0,1.0
semantic,45,11,0.0,0.0
semantic,45,17,1.0,1.0
semantic,45,26,1.0,1.0
semantic,45,28,1.0,1.0
semantic,45,36,0.0,0.3333333333333333
semantic,45,37,1.0,1.0
semantic,45,44,1.0,1.0
semantic,45,46,1.0,1.0
semantic,45,49,1.0,1.0
semantic,45,56,0.0,0.2
semantic,46,5,0.0,0.25
semantic,46,6,1.0,1.0
semantic,46,13,1.0,1.0
semantic,46,15,1.0,1.0
semantic,46,24,1.0,1.0
semantic,46,27,0.0,0.3333333333333333
semantic,46,32,1.0,1.0
semantic,46,33,1.0,1.0
semantic,46,46,1.0,1.0
semantic,46,47,1.0,1.0
semantic,46,51,1.0,1.0
semantic,46,52,1.0,1.0
semantic,47,1,1.0,1.0
semantic,47,6,1.0,1.0
semantic,47,9,1.0,1.0
semantic,47,10,0.0,0.5
semantic,47,21,0.0,0.0
semantic,47,25,1.0,1.0
semantic,47,34,1.0,1.0
semantic,47,37,1.0,1.0
semantic,47,40,1.0,1.0
semantic,47,43,1.0,1.0
semantic,47,50,0.0,0.5
semantic,47,52,1.0,1.0
