variant,seed,rid,top1,rr
single,42,3,1.0,1.0
single,42,4,1.0,1.0
single,42,10,1.0,1.0
single,42,11,0.0,0.0
single,42,25,0.0,0.5
single,42,27,0.0,0.5
single,42,37,1.0,1.0
single,42,38,1.0,1.0
single,42,43,1.0,1.0
single,42,47,1.0,1.0
single,42,50,0.0,0.5
single,42,53,0.0,0.0
single,43,6,0.0,0.5
single,43,7,1.0,1.0
single,43,13,0.0,0.0
single,43,16,0.0,0.2
single,43,24,1.0,1.0
single,43,26,1.0,1.0
single,43,35,0.0,0.0
single,43,39,1.0,1.0
single,43,43,1.0,1.0
single,43,45,0.0,0.5
single,43,50,0.0,0.5
single,43,52,1.0,1.0
single,44,2,1.0,1.0
single,44,5,0.0,0.5
single,44,13,0.0,0.0
single,44,14,1.0,1.0
single,44,21,0.0,0.0
single,44,27,0.0,0.5
single,44,33,1.0,1.0
single,44,37,1.0,1.0
single,44,44,0.0,0.3333333333333333
single,44,46,1.0,1.0
single,44,50,0.0,0.5
single,44,54,0.0,0.0
single,45,5,0.0,0.5
single,45,7,1.0,1.0
single,45,11,0.0,0.0
single,45,17,0.0,0.0
single,45,26,1.0,1.0
single,45,28,1.0,1.0
single,45,36,0.0,0.0
single,45,37,1.0,1.0
single,45,44,0.0,0.3333333333333333
single,45,46,1.0,1.0
single,45,49,0.0,0.3333333333333333
single,45,56,0.0,0.0
single,46,5,0.0,0.5
single,46,6,0.0,0.5
single,46,13,0.0,0.0
single,46,15,0.0,0.0
single,46,24,1.0,1.0
single,46,27,0.0,0.5
single,46,32,1.0,1.0
single,46,33,1.0,1.0
single,46,46,1.0,1.0
single,46,47,1.0,1.0
single,46,51,1.0,1.0
single,46,52,1.0,1.0
single,47,1,1.0,1.0
single,47,6,0.0,0.5
single,47,9,0.0,0.5
single,47,10,1.0,1.0
single,47,21,0.0,0.0
single,47,25,0.0,0.5
single,47,34,1.0,1.0
single,47,37,1.0,1.0
single,47,40,1.0,1.0
single,47,43,1.0,1.0
single,47,50,0.0,0.5
single,47,52,1.0,1.0
single,48,0,1.0,1.0
single,48,6,0.0,0.5
single,48,8,0.0,0.0
single,48,18,0.0,0.0
single,48,22,1.0,1.0
single,48,24,1.0,1.0
single,48,31,0.0,0.0
single,48,37,1.0,1.0
single,48,41,0.0,0.2
single,48,46,1.0,1.0
single,48,48,1.0,1.0
single,48,52,1.0,1.0
single,49,4,1.0,1.0
single,49,7,1.0,1.0
single,49,11,0.0,0.0
single,49,14,1.0,1.0
single,49,22,1.0,1.0
single,49,23,1.0,1.0
single,49,31,0.0,0.0
single,49,36,0.0,0.0
single,49,41,0.0,0.2
single,49,46,1.0,1.0
single,49,50,0.0,0.5
single,49,52,1.0,1.0
single,50,0,1.0,1.0
single,50,3,1.0,1.0
single,50,10,1.0,1.0
single,50,14,1.0,1.0
single,50,26,1.0,1.0
single,50,28,1.0,1.0
single,50,33,1.0,1.0
single,50,37,1.0,1.0
single,50,41,0.0,0.2
single,50,45,0.0,0.5
single,50,51,1.0,1.0
single,50,57,0.0,0.0
single,51,2,1.0,1.0
single,51,7,1.0,1.0
single,51,8,0.0,0.0
single,51,9,0.0,0.5
single,51,21,0.0,0.0
single,51,23,1.0,1.0
single,51,33,1.0,1.0
single,51,39,1.0,1.0
single,51,42,1.0,1.0
single,51,45,0.0,0.5
single,51,50,0.0,0.5
single,51,54,0.0,0.0
single,52,2,1.0,1.0
single,52,6,0.0,0.5
single,52,9,0.0,0.5
single,52,13,0.0,0.0
single,52,22,1.0,1.0
single,52,24,1.0,1.0
single,52,31,0.0,0.0
single,52,32,1.0,1.0
single,52,40,1.0,1.0
single,52,46,1.0,1.0
single,52,51,1.0,1.0
single,52,57,0.0,0.0
single,53,0,1.0,1.0
single,53,1,1.0,1.0
single,53,12,0.0,0.0
single,53,14,1.0,1.0
single,53,20,0.0,0.0
single,53,22,1.0,1.0
single,53,33,1.0,1.0
single,53,34,1.0,1.0
single,53,42,1.0,1.0
single,53,47,1.0,1.0
single,53,50,0.0,0.5
single,53,57,0.0,0.0
single,54,0,1.0,1.0
single,54,5,0.0,0.5
single,54,12,0.0,0.0
single,54,16,0.0,0.2
single,54,20,0.0,0.0
single,54,28,1.0,1.0
single,54,35,0.0,0.0
single,54,39,1.0,1.0
single,54,44,0.0,0.3333333333333333
single,54,46,1.0,1.0
single,54,49,0.0,0.3333333333333333
single,54,54,0.0,0.0
single,55,3,1.0,1.0
single,55,5,0.0,0.5
single,55,8,0.0,0.0
single,55,18,0.0,0.0
single,55,23,1.0,1.0
single,55,25,0.0,0.5
single,55,32,1.0,1.0
single,55,37,1.0,1.0
single,55,45,0.0,0.5
single,55,46,1.0,1.0
single,55,48,1.0,1.0
single,55,57,0.0,0.0
single,56,1,1.0,1.0
single,56,7,1.0,1.0
single,56,12,0.0,0.0
single,56,18,0.0,0.0
single,56,24,1.0,1.0
single,56,27,0.0,0.5
single,56,30,0.0,0.0
single,56,36,0.0,0.0
single,56,43,1.0,1.0
single,56,47,1.0,1.0
single,56,48,1.0,1.0
single,56,53,0.0,0.0
single,57,1,1.0,1.0
single,57,6,0.0,0.5
single,57,11,0.0,0.0
single,57,19,0.0,0.0
single,57,20,0.0,0.0
single,57,23,1.0,1.0
single,57,30,0.0,0.0
single,57,35,0.0,0.0
single,57,42,1.0,1.0
single,57,43,1.0,1.0
single,57,49,0.0,0.3333333333333333
single,57,56,0.0,0.0
single,58,2,1.0,1.0
single,58,4,1.0,1.0
single,58,8,0.0,0.0
single,58,9,0.0,0.5
single,58,21,0.0,0.0
single,58,25,0.0,0.5
single,58,33,1.0,1.0
single,58,35,0.0,0.0
single,58,42,1.0,1.0
single,58,47,1.0,1.0
single,58,51,1.0,1.0
single,58,55,0.0,0.0
single,59,1,1.0,1.0
single,59,2,1.0,1.0
single,59,9,0.0,0.5
single,59,13,0.0,0.0
single,59,23,1.0,1.0
single,59,24,1.0,1.0
single,59,35,0.0,0.0
single,59,38,1.0,1.0
