variant,seed,rid,top1,rr
tfidf,42,3,1.0,1.0
tfidf,42,4,0.0,0.3333333333333333
tfidf,42,10,1.0,1.0
tfidf,42,11,0.0,0.0
tfidf,42,25,1.0,1.0
tfidf,42,27,0.0,0.0
tfidf,42,37,1.0,1.0
tfidf,42,38,1.0,1.0
tfidf,42,43,1.0,1.0
tfidf,42,47,1.0,1.0
tfidf,42,50,0.0,0.5
tfidf,42,53,0.0,0.0
tfidf,43,6,0.0,0.5
tfidf,43,7,1.0,1.0
tfidf,43,13,0.0,0.0
tfidf,43,16,0.0,0.25
tfidf,43,24,1.0,1.0
tfidf,43,26,1.0,1.0
tfidf,43,35,0.0,0.0
tfidf,43,39,1.0,1.0
tfidf,43,43,1.0,1.0
tfidf,43,45,1.0,1.0
tfidf,43,50,0.0,0.5
tfidf,43,52,1.0,1.0
tfidf,44,2,1.0,1.0
tfidf,44,5,0.0,0.3333333333333333
tfidf,44,13,0.0,0.0
tfidf,44,14,1.0,1.0
tfidf,44,21,0.0,0.0
tfidf,44,27,0.0,0.0
tfidf,44,33,1.0,1.0
tfidf,44,37,1.0,1.0
tfidf,44,44,0.0,0.25
tfidf,44,46,1.0,1.0
tfidf,44,50,0.0,0.5
tfidf,44,54,0.0,0.0
tfidf,45,5,0.0,0.3333333333333333
tfidf,45,7,1.0,1.0
tfidf,45,11,0.0,0.0
tfidf,45,17,0.0,0.0
tfidf,45,26,1.0,1.0
tfidf,45,28,1.0,1.0
tfidf,45,36,0.0,0.0
tfidf,45,37,1.0,1.0
tfidf,45,44,0.0,0.25
tfidf,45,46,1.0,1.0
tfidf,45,49,0.0,0.5
tfidf,45,56,0.0,0.0
tfidf,46,5,0.0,0.3333333333333333
tfidf,46,6,0.0,0.5
tfidf,46,13,0.0,0.0
tfidf,46,15,0.0,0.0
tfidf,46,24,1.0,1.0
tfidf,46,27,0.0,0.0
tfidf,46,32,1.0,1.0
tfidf,46,33,1.0,1.0
tfidf,46,46,1.0,1.0
tfidf,46,47,1.0,1.0
tfidf,46,51,1.0,1.0
tfidf,46,52,1.0,1.0
tfidf,47,1,1.0,1.0
tfidf,47,6,0.0,0.5
tfidf,47,9,0.0,0.3333333333333333
tfidf,47,10,1.0,1.0
tfidf,47,21,0.0,0.0
tfidf,47,25,1.0,1.0
tfidf,47,34,1.0,1.0
tfidf,47,37,1.0,1.0
tfidf,47,40,1.0,1.0
tfidf,47,43,1.0,1.0
tfidf,47,50,0.0,0.5
tfidf,47,52,1.0,1.0
tfidf,48,0,0.0,0.5
tfidf,48,6,0.0,0.5
tfidf,48,8,0.0,0.5
tfidf,48,18,1.0,1.0
