variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,avg_steps
agent,42,0.75,0.7916666666666666,0.6666666666666666,0.7058642776556527,0.625,0.7083333333333334,0.16666666666666666,0.2698412698412698,0.4166666666666667,0.8,0.75,0.5625,0.16666666666666666,0.625,0.052599281143157706,0.0,12.0,7.166666666666667
agent,43,0.5833333333333334,0.7083333333333334,0.625,0.6765903038537742,0.5,0.75,0.16666666666666666,0.27272727272727276,0.9166666666666666,0.6363636363636364,0.5833333333333334,0.5,0.16666666666666666,0.7142857142857143,0.04918032786885246,0.0,12.0,7.0
agent,44,0.5833333333333334,0.6833333333333332,0.5722222222222223,0.6433074998946328,0.40277777777777773,0.75,0.2166666666666667,0.3362068965517242,0.6666666666666666,0.625,0.5833333333333334,0.3888888888888889,0.21666666666666667,0.7222222222222222,0.052599281143157706,0.0,12.0,7.083333333333333
agent,45,0.5833333333333334,0.6833333333333332,0.6,0.6562505583256978,0.5,0.75,0.16666666666666666,0.27272727272727276,1.0,0.5833333333333334,0.5833333333333334,0.4666666666666667,0.16666666666666666,0.6666666666666666,0.04918032786885246,0.0,12.0,7.0
agent,46,0.75,0.7916666666666666,0.7083333333333334,0.7381020115918645,0.6666666666666666,0.75,0.16666666666666666,0.27272727272727276,0.9166666666666666,0.8181818181818182,0.75,0.6428571428571429,0.16666666666666666,0.7142857142857143,0.04918032786885246,0.0,12.0,7.166666666666667
agent,47,0.75,0.85,0.7111111111111111,0.783810664490468,0.5555555555555555,0.861111111111111,0.2333333333333334,0.36717428087986465,1.0,0.75,0.75,0.5,0.23333333333333334,0.7777777777777778,0.04918032786885246,0.0,12.0,7.083333333333333
agent,48,0.6666666666666666,0.7944444444444444,0.6412037037037037,0.7234639921207672,0.5208333333333334,0.8263888888888888,0.2166666666666667,0.34332001775410564,0.8333333333333334,0.7,0.6666666666666666,0.42105263157894735,0.21666666666666667,0.6842105263157895,0.04918032786885246,0.0,12.0,7.166666666666667
agent,49,0.6666666666666666,0.7416666666666667,0.6375000000000001,0.7090120890757922,0.5416666666666666,0.8333333333333334,0.20000000000000004,0.32258064516129037,0.9166666666666666,0.6363636363636364,0.6666666666666666,0.5,0.2,0.75,0.04918032786885246,0.0,12.0,7.083333333333333
agent,50,0.75,0.8361111111111111,0.7736111111111111,0.8256802175665084,0.6458333333333334,0.9375,0.2166666666666667,0.351985559566787,1.0,0.75,0.75,0.5625,0.21666666666666667,0.8125,0.04918032786885246,0.0,12.0,7.0
agent,51,0.5833333333333334,0.7111111111111111,0.6273148148148148,0.700905773597453,0.4305555555555555,0.8194444444444443,0.25000000000000006,0.3831168831168832,1.0,0.5833333333333334,0.5833333333333334,0.35,0.25,0.75,0.048915917503966164,0.0,12.0,7.0
agent,52,0.75,0.8194444444444445,0.7013888888888888,0.7575043966316803,0.5555555555555555,0.8055555555555555,0.2333333333333334,0.36185383244206787,0.8333333333333334,0.8,0.75,0.5,0.23333333333333334,0.7777777777777778,0.04918032786885246,0.0,12.0,7.0
agent,53,0.75,0.8194444444444445,0.7083333333333334,0.7636571463241859,0.548611111111111,0.8263888888888888,0.2333333333333334,0.3639143730886851,0.5,0.5,0.75,0.47368421052631576,0.23333333333333334,0.7368421052631579,0.052042674993494666,0.0,12.0,7.0
agent,54,0.5,0.625,0.49652777777777773,0.5545147558802291,0.375,0.6041666666666666,0.16666666666666666,0.26126126126126126,0.9166666666666666,0.5454545454545454,0.5,0.3157894736842105,0.16666666666666666,0.5263157894736842,0.04918032786885246,0.0,12.0,7.083333333333333
agent,55,0.5833333333333334,0.7638888888888888,0.5953703703703704,0.6931012589630733,0.4166666666666667,0.8194444444444443,0.2166666666666667,0.34271671134941917,0.5,0.6666666666666666,0.5833333333333334,0.3888888888888889,0.21666666666666667,0.7222222222222222,0.05039894745777098,0.0,12.0,7.0
agent,56,0.5833333333333334,0.6625,0.5013888888888889,0.5753005199749286,0.40277777777777773,0.6388888888888888,0.18333333333333335,0.2849099099099099,0.5,0.5,0.5833333333333334,0.3888888888888889,0.18333333333333332,0.6111111111111112,0.052042674993494666,0.0,12.0,7.166666666666667
agent,57,0.5,0.6,0.4388888888888889,0.5204285727589874,0.27777777777777773,0.5972222222222222,0.20000000000000004,0.2996515679442509,1.0,0.5,0.5,0.3,0.2,0.6,0.04865990111891752,0.0,12.0,7.0
