variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test
reranker,42,0.8333333333333334,0.8541666666666666,0.7881944444444443,0.8164113420405198,0.75,0.8333333333333334,0.20000000000000007,0.3225806451612904,0.8333333333333334,0.9,0.8333333333333334,0.625,0.2,0.75,-5.052084922790527,0.0,12.0
reranker,43,0.6666666666666666,0.7291666666666666,0.704861111111111,0.7345598887743531,0.625,0.7916666666666666,0.18333333333333335,0.29772079772079774,0.6666666666666666,0.875,0.6666666666666666,0.5714285714285714,0.18333333333333332,0.7857142857142857,-4.055670738220215,0.0,12.0
reranker,44,0.5833333333333334,0.6625,0.6034722222222223,0.650261197835858,0.4861111111111111,0.7222222222222222,0.20000000000000004,0.3132530120481928,0.8333333333333334,0.7,0.5833333333333334,0.3888888888888889,0.2,0.6666666666666666,-5.669909477233887,0.0,12.0
reranker,45,0.5833333333333334,0.6833333333333332,0.6416666666666667,0.6800465351419688,0.5833333333333334,0.75,0.16666666666666666,0.27272727272727276,0.75,0.7777777777777778,0.5833333333333334,0.4666666666666667,0.16666666666666666,0.6666666666666666,-4.341611862182617,0.0,12.0
reranker,46,0.6666666666666666,0.7458333333333332,0.69375,0.7412498230120041,0.625,0.8333333333333334,0.18333333333333335,0.30054644808743175,0.5,1.0,0.6666666666666666,0.5714285714285714,0.18333333333333332,0.7857142857142857,-4.055670738220215,0.0,12.0
reranker,47,0.75,0.85,0.75,0.8161362402676238,0.611111111111111,0.9027777777777777,0.25000000000000006,0.39156626506024106,0.9166666666666666,0.8181818181818182,0.75,0.5,0.25,0.8333333333333334,-4.720308303833008,0.0,12.0
reranker,48,0.6666666666666666,0.8125,0.6527777777777778,0.7333735363917703,0.5208333333333334,0.8194444444444443,0.2166666666666667,0.34271671134941917,0.5833333333333334,0.8571428571428571,0.6666666666666666,0.42105263157894735,0.21666666666666667,0.6842105263157895,-2.224086284637451,0.0,12.0
reranker,49,0.6666666666666666,0.7291666666666666,0.6770833333333334,0.7090120890757922,0.5833333333333334,0.75,0.18333333333333335,0.29464285714285715,0.6666666666666666,0.75,0.6666666666666666,0.5,0.18333333333333332,0.6875,-5.052084922790527,0.0,12.0
reranker,50,0.8333333333333334,0.8958333333333334,0.8472222222222222,0.8872646988860836,0.7291666666666666,0.9583333333333334,0.2333333333333334,0.37529137529137535,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.625,0.23333333333333334,0.875,-6.8952226638793945,0.0,12.0
reranker,51,0.5833333333333334,0.7041666666666666,0.6215277777777778,0.6824989317720699,0.5277777777777778,0.7638888888888888,0.2166666666666667,0.33758262511803594,0.9166666666666666,0.6363636363636364,0.5833333333333334,0.35,0.21666666666666667,0.65,-5.791507244110107,0.0,12.0
reranker,52,0.6666666666666666,0.7708333333333334,0.6430555555555556,0.7109070864723006,0.5277777777777778,0.7777777777777777,0.2166666666666667,0.3389199255121043,0.5,1.0,0.6666666666666666,0.4444444444444444,0.21666666666666667,0.7222222222222222,-2.9480748176574707,0.0,12.0
reranker,53,0.75,0.7708333333333334,0.6944444444444443,0.731800605837514,0.5902777777777778,0.7638888888888888,0.21666666666666676,0.337582625118036,0.75,0.7777777777777778,0.75,0.47368421052631576,0.21666666666666667,0.6842105263157895,-4.055670738220215,0.0,12.0
reranker,54,0.5,0.5625,0.48263888888888884,0.5197075837329405,0.4375,0.5416666666666666,0.15,0.23493975903614456,0.6666666666666666,0.625,0.5,0.3157894736842105,0.15,0.47368421052631576,-5.321377277374268,0.0,12.0
reranker,55,0.6666666666666666,0.7708333333333334,0.6076388888888888,0.6884120606651348,0.5416666666666666,0.7777777777777777,0.20000000000000004,0.3181818181818182,0.4166666666666667,1.0,0.6666666666666666,0.4444444444444444,0.2,0.6666666666666666,-2.9480748176574707,0.0,12.0
reranker,56,0.6666666666666666,0.7083333333333334,0.5729166666666666,0.6338433743594758,0.4861111111111111,0.6805555555555555,0.20000000000000007,0.30914826498422715,0.6666666666666666,0.875,0.6666666666666666,0.4444444444444444,0.2,0.6666666666666666,-4.4534912109375,0.0,12.0
reranker,57,0.4166666666666667,0.49583333333333335,0.40208333333333335,0.4650066085234048,0.27777777777777773,0.5555555555555555,0.16666666666666666,0.2564102564102564,0.75,0.4444444444444444,0.4166666666666667,0.25,0.16666666666666666,0.5,-4.0688276290893555,0.0,12.0
reranker,58,0.5833333333333334,0.7111111111111111,0.5833333333333334,0.6538033206533694,0.4861111111111111,0.7222222222222222,0.21666666666666676,0.3333333333333334,0.9166666666666666,0.5454545454545454,0.5833333333333334,0.35,0.21666666666666667,0.65,-7.788460731506348,0.0,12.0
reranker,59,0.6666666666666666,0.7291666666666666,0.6326388888888889,0.6826778241001034,0.5138888888888888,0.7083333333333334,0.2333333333333334,0.3510324483775812,0.9166666666666666,0.7272727272727273,0.6666666666666666,0.4,0.23333333333333334,0.7,-5.434490203857422,0.0,12.0
reranker,60,0.75,0.7916666666666666,0.7256944444444443,0.7689677218799691,0.6666666666666666,0.8333333333333334,0.20000000000000004,0.32258064516129037,0.9166666666666666,0.8181818181818182,0.75,0.6,0.2,0.8,-5.791507244110107,0.0,12.0
reranker,61,0.6666666666666666,0.7569444444444445,0.6118055555555556,0.680558623280028,0.5208333333333334,0.7222222222222222,0.23333333333333336,0.35271317829457366,0.5833333333333334,0.7142857142857143,0.6666666666666666,0.38095238095238093,0.23333333333333334,0.6666666666666666,-3.380039691925049,0.0,12.0
reranker,62,0.5,0.6416666666666667,0.5479166666666667,0.6308126150461965,0.375,0.7916666666666666,0.20000000000000004,0.319327731092437,0.6666666666666666,0.5,0.5,0.375,0.2,0.75,-4.055670738220215,0.0,12.0
reranker,63,0.6666666666666666,0.7416666666666667,0.5472222222222222,0.6381253590299586,0.4236111111111111,0.7222222222222222,0.23333333333333336,0.35271317829457366,0.5,0.8333333333333334,0.6666666666666666,0.36363636363636365,0.23333333333333334,0.6363636363636364,-4.687081336975098,0.0,12.0
reranker,64,0.5,0.6666666666666666,0.4756944444444444,0.5714573595033134,0.3194444444444444,0.6666666666666666,0.20000000000000004,0.30769230769230776,0.5833333333333334,0.7142857142857143,0.5,0.2857142857142857,0.2,0.5714285714285714,-4.687081336975098,0.0,12.0
reranker,65,0.75,0.8125,0.6493055555555555,0.7052321158605168,0.6041666666666666,0.7083333333333334,0.20000000000000004,0.3119266055045872,1.0,0.75,0.75,0.45,0.2,0.6,-7.788460731506348,0.0,12.0
