variant,seed,rid,top1,rr
bm25,42,6,0.0,0.0
bm25,42,10,0.0,0.0
bm25,42,14,1.0,1.0
bm25,42,19,1.0,1.0
bm25,42,22,0.0,0.0
bm25,42,26,0.0,0.3333333333333333
bm25,42,35,0.0,0.0
bm25,42,41,0.0,0.2
bm25,42,51,0.0,0.2
bm25,42,52,0.0,0.3333333333333333
bm25,42,54,0.0,0.0
bm25,42,61,0.0,0.0
bm25,42,64,1.0,1.0
bm25,43,7,1.0,1.0
bm25,43,18,0.0,0.0
bm25,43,23,0.0,0.0
bm25,43,25,0.0,0.0
bm25,43,27,0.0,0.0
bm25,43,29,1.0,1.0
bm25,43,30,1.0,1.0
bm25,43,35,0.0,0.0
bm25,43,45,0.0,0.0
bm25,43,47,1.0,1.0
bm25,43,59,0.0,0.0
bm25,43,62,0.0,0.0
bm25,43,65,0.0,0.0
bm25,44,1,1.0,1.0
bm25,44,14,1.0,1.0
bm25,44,19,1.0,1.0
bm25,44,27,0.0,0.0
bm25,44,28,0.0,0.0
bm25,44,29,1.0,1.0
bm25,44,33,0.0,0.5
bm25,44,37,0.0,0.5
bm25,44,46,0.0,0.0
bm25,44,47,1.0,1.0
bm25,44,58,0.0,0.0
bm25,44,60,0.0,0.0
bm25,44,64,1.0,1.0
bm25,45,5,0.0,0.0
bm25,45,7,1.0,1.0
bm25,45,12,0.0,0.0
bm25,45,14,1.0,1.0
bm25,45,16,0.0,0.0
bm25,45,26,0.0,0.3333333333333333
bm25,45,33,0.0,0.5
bm25,45,40,1.0,1.0
bm25,45,50,0.0,0.0
bm25,45,51,0.0,0.2
bm25,45,58,0.0,0.0
bm25,45,62,0.0,0.0
bm25,45,65,0.0,0.0
bm25,46,3,1.0,1.0
bm25,46,6,0.0,0.0
bm25,46,9,0.0,0.3333333333333333
bm25,46,13,0.0,0.25
bm25,46,14,1.0,1.0
bm25,46,19,1.0,1.0
bm25,46,36,0.0,0.5
bm25,46,40,1.0,1.0
bm25,46,43,0.0,0.5
bm25,46,45,0.0,0.0
bm25,46,59,0.0,0.0
bm25,46,62,0.0,0.0
bm25,46,63,0.0,0.0
