variant,seed,rid,top1,rr
decomp,42,6,0.0,0.2
decomp,42,10,0.0,0.0
decomp,42,14,1.0,1.0
decomp,42,19,1.0,1.0
decomp,42,22,0.0,0.0
decomp,42,26,0.0,0.5
decomp,42,35,1.0,1.0
decomp,42,41,0.0,0.0
decomp,42,51,0.0,0.25
decomp,42,52,0.0,0.3333333333333333
decomp,42,54,1.0,1.0
decomp,42,61,0.0,0.0
decomp,42,64,1.0,1.0
decomp,43,7,0.0,0.0
decomp,43,18,0.0,0.0
decomp,43,23,0.0,0.0
decomp,43,25,0.0,0.0
decomp,43,27,0.0,0.0
decomp,43,29,1.0,1.0
decomp,43,30,1.0,1.0
decomp,43,35,1.0,1.0
decomp,43,45,0.0,0.0
decomp,43,47,1.0,1.0
decomp,43,59,0.0,0.0
decomp,43,62,0.0,0.0
decomp,43,65,0.0,0.0
decomp,44,1,1.0,1.0
decomp,44,14,1.0,1.0
decomp,44,19,1.0,1.0
decomp,44,27,0.0,0.0
decomp,44,28,0.0,0.0
decomp,44,29,1.0,1.0
decomp,44,33,0.0,0.5
decomp,44,37,1.0,1.0
decomp,44,46,1.0,1.0
decomp,44,47,1.0,1.0
decomp,44,58,0.0,0.0
decomp,44,60,0.0,0.0
decomp,44,64,1.0,1.0
decomp,45,5,0.0,0.0
decomp,45,7,0.0,0.0
decomp,45,12,0.0,0.3333333333333333
decomp,45,14,1.0,1.0
decomp,45,16,0.0,0.0
decomp,45,26,0.0,0.5
decomp,45,33,0.0,0.5
decomp,45,40,0.0,0.5
decomp,45,50,0.0,0.0
decomp,45,51,0.0,0.25
decomp,45,58,0.0,0.0
decomp,45,62,0.0,0.0
decomp,45,65,0.0,0.0
decomp,46,3,1.0,1.0
decomp,46,6,0.0,0.25
decomp,46,9,1.0,1.0
decomp,46,13,0.0,0.3333333333333333
decomp,46,14,1.0,1.0
decomp,46,19,1.0,1.0
decomp,46,36,1.0,1.0
decomp,46,40,1.0,1.0
decomp,46,43,0.0,0.3333333333333333
decomp,46,45,0.0,0.0
decomp,46,59,0.0,0.0
decomp,46,62,0.0,0.0
decomp,46,63,0.0,0.0
