variant,seed,rid,top1,rr
lsi,42,6,0.0,0.3333333333333333
lsi,42,10,0.0,0.0
lsi,42,14,1.0,1.0
lsi,42,19,1.0,1.0
lsi,42,22,0.0,0.0
lsi,42,26,0.0,0.3333333333333333
lsi,42,35,0.0,0.5
lsi,42,41,0.0,0.0
lsi,42,51,0.0,0.0
lsi,42,52,1.0,1.0
lsi,42,54,1.0,1.0
lsi,42,61,0.0,0.0
lsi,42,64,1.0,1.0
lsi,43,7,0.0,0.0
lsi,43,18,0.0,0.0
lsi,43,23,0.0,0.0
lsi,43,25,0.0,0.0
lsi,43,27,0.0,0.0
lsi,43,29,1.0,1.0
lsi,43,30,1.0,1.0
lsi,43,35,0.0,0.25
lsi,43,45,0.0,0.0
lsi,43,47,1.0,1.0
lsi,43,59,0.0,0.0
lsi,43,62,0.0,0.0
lsi,43,65,0.0,0.0
lsi,44,1,1.0,1.0
lsi,44,14,1.0,1.0
lsi,44,19,1.0,1.0
lsi,44,27,0.0,0.0
lsi,44,28,0.0,0.0
lsi,44,29,1.0,1.0
lsi,44,33,0.0,0.3333333333333333
lsi,44,37,1.0,1.0
lsi,44,46,0.0,0.0
lsi,44,47,1.0,1.0
lsi,44,58,0.0,0.0
lsi,44,60,0.0,0.0
lsi,44,64,1.0,1.0
lsi,45,5,0.0,0.0
lsi,45,7,0.0,0.0
lsi,45,12,0.0,0.3333333333333333
lsi,45,14,1.0,1.0
lsi,45,16,0.0,0.0
lsi,45,26,0.0,0.3333333333333333
lsi,45,33,0.0,0.25
lsi,45,40,0.0,0.3333333333333333
lsi,45,50,0.0,0.0
lsi,45,51,0.0,0.2
lsi,45,58,0.0,0.0
lsi,45,62,0.0,0.0
lsi,45,65,0.0,0.0
lsi,46,3,0.0,0.25
lsi,46,6,0.0,0.3333333333333333
lsi,46,9,0.0,0.2
lsi,46,13,0.0,0.0
lsi,46,14,1.0,1.0
lsi,46,19,1.0,1.0
lsi,46,36,1.0,1.0
lsi,46,40,0.0,0.3333333333333333
lsi,46,43,0.0,0.0
lsi,46,45,0.0,0.0
lsi,46,59,0.0,0.0
lsi,46,62,0.0,0.0
lsi,46,63,0.0,0.0
lsi,47,9,0.0,0.25
lsi,47,15,0.0,0.0
lsi,47,23,0.0,0.0
lsi,47,26,0.0,0.3333333333333333
lsi,47,28,0.0,0.0
lsi,47,29,1.0,1.0
lsi,47,33,0.0,0.25
lsi,47,41,0.0,0.0
lsi,47,45,0.0,0.0
lsi,47,51,0.0,0.25
lsi,47,55,0.0,0.0
lsi,47,58,0.0,0.0
lsi,47,63,0.0,0.0
lsi,48,1,0.0,0.5
lsi,48,18,0.0,0.0
lsi,48,19,1.0,1.0
lsi,48,21,1.0,1.0
lsi,48,23,0.0,0.0
lsi,48,28,0.0,0.0
lsi,48,31,0.0,0.0
lsi,48,37,1.0,1.0
lsi,48,48,1.0,1.0
lsi,48,50,0.0,0.0
lsi,48,55,0.0,0.0
lsi,48,59,0.0,0.0
lsi,48,64,1.0,1.0
lsi,49,12,0.0,0.3333333333333333
lsi,49,15,0.0,0.0
lsi,49,19,1.0,1.0
lsi,49,22,0.0,0.0
lsi,49,28,0.0,0.0
lsi,49,29,1.0,1.0
lsi,49,37,1.0,1.0
lsi,49,38,0.0,0.0
lsi,49,42,0.0,0.5
lsi,49,49,0.0,0.0
lsi,49,55,0.0,0.0
lsi,49,59,0.0,0.0
lsi,49,65,0.0,0.0
lsi,50,0,0.0,0.0
lsi,50,16,0.0,0.0
lsi,50,18,0.0,0.0
lsi,50,19,1.0,1.0
lsi,50,23,0.0,0.0
lsi,50,28,0.0,0.0
lsi,50,37,1.0,1.0
lsi,50,38,0.0,0.0
lsi,50,48,1.0,1.0
lsi,50,53,0.0,0.0
lsi,50,54,1.0,1.0
lsi,50,56,0.0,0.0
lsi,50,64,1.0,1.0
lsi,51,2,0.0,0.2
lsi,51,3,0.0,0.2
lsi,51,13,0.0,0.0
lsi,51,18,0.0,0.0
lsi,51,20,1.0,1.0
lsi,51,23,0.0,0.0
lsi,51,32,0.0,0.25
lsi,51,33,0.0,0.3333333333333333
lsi,51,47,1.0,1.0
lsi,51,48,1.0,1.0
lsi,51,58,0.0,0.0
lsi,51,59,0.0,0.0
lsi,51,65,0.0,0.0
lsi,52,9,0.0,0.2
lsi,52,10,0.0,0.0
lsi,52,12,0.0,0.3333333333333333
lsi,52,17,0.0,0.0
lsi,52,18,0.0,0.0
lsi,52,21,0.0,0.5
lsi,52,35,1.0,1.0
lsi,52,38,0.0,0.0
lsi,52,48,1.0,1.0
lsi,52,49,0.0,0.0
lsi,52,56,0.0,0.0
lsi,52,60,0.0,0.0
lsi,52,67,0.0,0.2
lsi,53,3,0.0,0.25
lsi,53,7,0.0,0.0
lsi,53,8,0.0,0.3333333333333333
lsi,53,9,0.0,0.25
lsi,53,12,0.0,0.5
lsi,53,28,0.0,0.0
lsi,53,33,0.0,0.25
lsi,53,34,1.0,1.0
lsi,53,50,0.0,0.0
lsi,53,52,1.0,1.0
lsi,53,57,1.0,1.0
lsi,53,62,0.0,0.0
lsi,53,66,0.0,0.5
lsi,54,2,0.0,0.2
lsi,54,3,0.0,0.25
lsi,54,11,0.0,0.0
lsi,54,19,1.0,1.0
lsi,54,20,1.0,1.0
lsi,54,23,0.0,0.0
lsi,54,32,0.0,0.2
lsi,54,36,1.0,1.0
lsi,54,46,0.0,0.0
lsi,54,49,0.0,0.0
lsi,54,57,0.0,0.5
lsi,54,59,0.0,0.0
lsi,54,63,0.0,0.0
lsi,55,1,0.0,0.5
lsi,55,3,0.0,0.2
lsi,55,7,0.0,0.0
lsi,55,10,0.0,0.0
lsi,55,18,0.0,0.0
lsi,55,20,1.0,1.0
lsi,55,32,0.0,0.25
lsi,55,39,0.0,0.0
lsi,55,50,0.0,0.0
lsi,55,53,0.0,0.0
lsi,55,54,1.0,1.0
lsi,55,58,0.0,0.0
lsi,55,65,0.0,0.0
lsi,56,1,0.0,0.5
lsi,56,4,1.0,1.0
