variant,seed,rid,top1,rr
multi,42,6,0.0,0.25
multi,42,10,0.0,0.0
multi,42,14,1.0,1.0
multi,42,19,1.0,1.0
multi,42,22,0.0,0.0
multi,42,26,0.0,0.5
multi,42,35,0.0,0.3333333333333333
multi,42,41,0.0,0.0
multi,42,51,0.0,0.25
multi,42,52,1.0,1.0
multi,42,54,1.0,1.0
multi,42,61,0.0,0.0
multi,42,64,1.0,1.0
multi,43,7,0.0,0.0
multi,43,18,0.0,0.0
multi,43,23,0.0,0.0
multi,43,25,0.0,0.0
multi,43,27,0.0,0.0
multi,43,29,1.0,1.0
multi,43,30,1.0,1.0
multi,43,35,0.0,0.5
multi,43,45,0.0,0.0
multi,43,47,1.0,1.0
multi,43,59,0.0,0.0
multi,43,62,0.0,0.0
multi,43,65,0.0,0.0
multi,44,1,1.0,1.0
multi,44,14,1.0,1.0
multi,44,19,1.0,1.0
multi,44,27,0.0,0.0
multi,44,28,0.0,0.0
multi,44,29,1.0,1.0
multi,44,33,0.0,0.5
multi,44,37,1.0,1.0
multi,44,46,0.0,0.0
multi,44,47,1.0,1.0
multi,44,58,0.0,0.0
multi,44,60,0.0,0.0
multi,44,64,1.0,1.0
multi,45,5,0.0,0.0
multi,45,7,0.0,0.0
multi,45,12,0.0,0.3333333333333333
multi,45,14,1.0,1.0
multi,45,16,0.0,0.0
multi,45,26,0.0,0.5
multi,45,33,0.0,0.5
multi,45,40,0.0,0.5
multi,45,50,0.0,0.0
multi,45,51,0.0,0.25
multi,45,58,0.0,0.0
multi,45,62,0.0,0.0
multi,45,65,0.0,0.0
multi,46,3,1.0,1.0
multi,46,6,0.0,0.25
multi,46,9,1.0,1.0
multi,46,13,1.0,1.0
multi,46,14,1.0,1.0
multi,46,19,1.0,1.0
multi,46,36,1.0,1.0
multi,46,40,1.0,1.0
multi,46,43,0.0,0.3333333333333333
multi,46,45,0.0,0.0
multi,46,59,0.0,0.0
multi,46,62,0.0,0.0
multi,46,63,0.0,0.0
multi,47,9,1.0,1.0
multi,47,15,0.0,0.0
multi,47,23,0.0,0.0
multi,47,26,0.0,0.5
multi,47,28,0.0,0.0
multi,47,29,1.0,1.0
multi,47,33,0.0,0.5
multi,47,41,0.0,0.0
multi,47,45,0.0,0.0
multi,47,51,0.0,0.25
multi,47,55,0.0,0.0
multi,47,58,0.0,0.0
multi,47,63,0.0,0.0
multi,48,1,1.0,1.0
multi,48,18,0.0,0.0
multi,48,19,1.0,1.0
multi,48,21,1.0,1.0
multi,48,23,0.0,0.0
multi,48,28,0.0,0.0
multi,48,31,0.0,0.0
multi,48,37,1.0,1.0
multi,48,48,1.0,1.0
multi,48,50,0.0,0.0
multi,48,55,0.0,0.0
multi,48,59,0.0,0.0
multi,48,64,1.0,1.0
multi,49,12,0.0,0.3333333333333333
multi,49,15,0.0,0.0
multi,49,19,1.0,1.0
multi,49,22,0.0,0.0
multi,49,28,0.0,0.0
multi,49,29,1.0,1.0
multi,49,37,1.0,1.0
multi,49,38,0.0,0.0
multi,49,42,0.0,0.5
multi,49,49,0.0,0.0
multi,49,55,0.0,0.0
multi,49,59,0.0,0.0
multi,49,65,0.0,0.0
multi,50,0,0.0,0.0
multi,50,16,0.0,0.0
multi,50,18,0.0,0.0
multi,50,19,1.0,1.0
multi,50,23,0.0,0.0
multi,50,28,0.0,0.0
multi,50,37,1.0,1.0
multi,50,38,0.0,0.0
multi,50,48,1.0,1.0
multi,50,53,0.0,0.0
multi,50,54,1.0,1.0
multi,50,56,0.0,0.0
multi,50,64,1.0,1.0
multi,51,2,0.0,0.25
multi,51,3,0.0,0.5
multi,51,13,1.0,1.0
multi,51,18,0.0,0.0
multi,51,20,1.0,1.0
multi,51,23,0.0,0.0
multi,51,32,0.0,0.2
multi,51,33,0.0,0.5
multi,51,47,1.0,1.0
multi,51,48,1.0,1.0
multi,51,58,0.0,0.0
multi,51,59,0.0,0.0
multi,51,65,0.0,0.0
multi,52,9,1.0,1.0
multi,52,10,0.0,0.0
multi,52,12,0.0,0.3333333333333333
multi,52,17,0.0,0.0
multi,52,18,0.0,0.0
multi,52,21,1.0,1.0
multi,52,35,0.0,0.3333333333333333
multi,52,38,0.0,0.2
multi,52,48,1.0,1.0
multi,52,49,0.0,0.0
multi,52,56,0.0,0.0
multi,52,60,0.0,0.0
multi,52,67,0.0,0.5
multi,53,3,1.0,1.0
multi,53,7,0.0,0.0
multi,53,8,0.0,0.3333333333333333
multi,53,9,1.0,1.0
multi,53,12,0.0,0.3333333333333333
multi,53,28,0.0,0.0
multi,53,33,0.0,0.5
multi,53,34,0.0,0.5
multi,53,50,0.0,0.0
multi,53,52,1.0,1.0
multi,53,57,0.0,0.5
multi,53,62,0.0,0.0
multi,53,66,0.0,0.25
multi,54,2,0.0,0.25
multi,54,3,1.0,1.0
multi,54,11,0.0,0.0
multi,54,19,1.0,1.0
multi,54,20,1.0,1.0
multi,54,23,0.0,0.0
multi,54,32,0.0,0.2
multi,54,36,1.0,1.0
multi,54,46,0.0,0.0
multi,54,49,0.0,0.0
multi,54,57,0.0,0.3333333333333333
multi,54,59,0.0,0.0
multi,54,63,0.0,0.0
multi,55,1,1.0,1.0
multi,55,3,0.0,0.5
multi,55,7,0.0,0.0
multi,55,10,0.0,0.0
multi,55,18,0.0,0.0
multi,55,20,1.0,1.0
multi,55,32,0.0,0.2
multi,55,39,0.0,0.2
multi,55,50,0.0,0.0
multi,55,53,0.0,0.0
multi,55,54,1.0,1.0
multi,55,58,0.0,0.0
multi,55,65,0.0,0.0
multi,56,1,1.0,1.0
multi,56,4,1.0,1.0
multi,56,5,0.0,0.0
multi,56,6,0.0,0.25
multi,56,18,0.0,0.0
multi,56,25,0.0,0.0
multi,56,30,1.0,1.0
multi,56,34,0.0,0.5
multi,56,47,1.0,1.0
multi,56,48,1.0,1.0
multi,56,55,0.0,0.0
multi,56,57,0.0,0.3333333333333333
multi,56,63,0.0,0.0
multi,57,2,0.0,0.25
multi,57,3,1.0,1.0
multi,57,17,0.0,0.0
multi,57,21,1.0,1.0
multi,57,23,0.0,0.0
multi,57,27,0.0,0.0
multi,57,30,1.0,1.0
multi,57,39,0.0,0.2
multi,57,43,0.0,0.3333333333333333
multi,57,44,0.0,0.0
multi,57,55,0.0,0.0
multi,57,61,0.0,0.0
multi,57,66,0.0,0.25
multi,58,2,0.0,0.25
multi,58,5,0.0,0.0
multi,58,10,0.0,0.0
multi,58,16,0.0,0.0
multi,58,17,0.0,0.0
multi,58,19,1.0,1.0
multi,58,33,0.0,0.5
multi,58,37,1.0,1.0
multi,58,50,0.0,0.0
multi,58,51,0.0,0.3333333333333333
multi,58,54,1.0,1.0
multi,58,61,0.0,0.0
multi,58,65,0.0,0.0
multi,59,3,0.0,0.5
multi,59,6,0.0,0.25
multi,59,10,0.0,0.0
multi,59,24,0.0,0.5
multi,59,26,0.0,0.5
multi,59,29,1.0,1.0
multi,59,36,1.0,1.0
multi,59,40,1.0,1.0
multi,59,51,0.0,0.25
multi,59,53,0.0,0.0
multi,59,55,0.0,0.0
multi,59,59,0.0,0.0
multi,59,63,0.0,0.0
multi,60,11,0.0,0.0
multi,60,13,1.0,1.0
multi,60,22,0.0,0.0
multi,60,23,0.0,0.0
multi,60,25,0.0,0.0
multi,60,27,0.0,0.0
multi,60,35,0.0,0.3333333333333333
multi,60,38,0.0,0.2
multi,60,42,0.0,0.5
multi,60,48,1.0,1.0
multi,60,56,0.0,0.0
multi,60,61,0.0,0.0
multi,60,63,0.0,0.0
multi,61,3,0.0,0.5
multi,61,4,1.0,1.0
multi,61,16,0.0,0.0
multi,61,18,0.0,0.0
multi,61,23,0.0,0.0
multi,61,26,1.0,1.0
multi,61,30,1.0,1.0
multi,61,33,0.0,0.5
multi,61,43,0.0,0.3333333333333333
multi,61,51,0.0,0.25
multi,61,59,0.0,0.0
multi,61,61,0.0,0.0
multi,61,65,0.0,0.0
multi,62,3,1.0,1.0
multi,62,4,1.0,1.0
multi,62,12,0.0,0.3333333333333333
multi,62,13,1.0,1.0
multi,62,17,0.0,0.0
multi,62,23,0.0,0.0
multi,62,32,0.0,0.2
multi,62,39,0.0,0.2
multi,62,48,1.0,1.0
multi,62,53,0.0,0.0
multi,62,56,0.0,0.0
multi,62,61,0.0,0.0
multi,62,65,0.0,0.0
multi,63,7,0.0,0.0
multi,63,11,0.0,0.0
multi,63,13,1.0,1.0
multi,63,19,1.0,1.0
multi,63,22,0.0,0.0
multi,63,25,0.0,0.0
multi,63,31,0.0,0.0
multi,63,34,0.0,0.5
multi,63,46,0.0,0.0
multi,63,50,0.0,0.0
multi,63,55,0.0,0.0
multi,63,58,0.0,0.0
multi,63,63,0.0,0.0
multi,64,5,0.0,0.0
multi,64,7,0.0,0.0
multi,64,10,0.0,0.0
multi,64,18,0.0,0.0
multi,64,27,0.0,0.0
multi,64,29,1.0,1.0
multi,64,38,0.0,0.0
multi,64,40,0.0,0.5
multi,64,46,0.0,0.0
multi,64,51,0.0,0.25
multi,64,60,0.0,0.0
multi,64,62,0.0,0.0
