variant,seed,rid,top1,rr
reform,42,6,0.0,0.2
reform,42,10,0.0,0.0
reform,42,14,1.0,1.0
reform,42,19,1.0,1.0
reform,42,22,0.0,0.0
reform,42,26,0.0,0.5
reform,42,35,1.0,1.0
reform,42,41,0.0,0.0
reform,42,51,0.0,0.25
reform,42,52,0.0,0.3333333333333333
reform,42,54,1.0,1.0
reform,42,61,0.0,0.0
reform,42,64,1.0,1.0
reform,43,7,0.0,0.0
reform,43,18,0.0,0.0
reform,43,23,0.0,0.0
reform,43,25,0.0,0.0
reform,43,27,0.0,0.0
reform,43,29,1.0,1.0
reform,43,30,1.0,1.0
reform,43,35,1.0,1.0
reform,43,45,0.0,0.0
reform,43,47,1.0,1.0
reform,43,59,0.0,0.0
reform,43,62,0.0,0.0
reform,43,65,0.0,0.0
reform,44,1,1.0,1.0
reform,44,14,1.0,1.0
reform,44,19,1.0,1.0
reform,44,27,0.0,0.0
reform,44,28,0.0,0.0
reform,44,29,1.0,1.0
reform,44,33,0.0,0.5
reform,44,37,1.0,1.0
reform,44,46,1.0,1.0
reform,44,47,1.0,1.0
reform,44,58,0.0,0.0
reform,44,60,0.0,0.0
reform,44,64,1.0,1.0
reform,45,5,0.0,0.0
reform,45,7,0.0,0.0
reform,45,12,0.0,0.3333333333333333
reform,45,14,1.0,1.0
reform,45,16,0.0,0.0
reform,45,26,0.0,0.5
reform,45,33,0.0,0.5
reform,45,40,0.0,0.5
reform,45,50,0.0,0.0
reform,45,51,0.0,0.25
reform,45,58,0.0,0.0
reform,45,62,0.0,0.0
reform,45,65,0.0,0.0
reform,46,3,1.0,1.0
reform,46,6,0.0,0.25
reform,46,9,1.0,1.0
reform,46,13,0.0,0.3333333333333333
reform,46,14,1.0,1.0
reform,46,19,1.0,1.0
reform,46,36,1.0,1.0
reform,46,40,1.0,1.0
reform,46,43,0.0,0.3333333333333333
reform,46,45,0.0,0.0
reform,46,59,0.0,0.0
reform,46,62,0.0,0.0
reform,46,63,0.0,0.0
reform,47,9,1.0,1.0
reform,47,15,0.0,0.0
reform,47,23,0.0,0.0
reform,47,26,0.0,0.5
reform,47,28,0.0,0.0
reform,47,29,1.0,1.0
reform,47,33,0.0,0.5
reform,47,41,0.0,0.0
reform,47,45,0.0,0.0
reform,47,51,0.0,0.25
reform,47,55,0.0,0.0
reform,47,58,0.0,0.0
reform,47,63,0.0,0.0
reform,48,1,1.0,1.0
reform,48,18,0.0,0.0
reform,48,19,1.0,1.0
reform,48,21,1.0,1.0
reform,48,23,0.0,0.0
reform,48,28,0.0,0.0
reform,48,31,0.0,0.0
reform,48,37,1.0,1.0
reform,48,48,1.0,1.0
reform,48,50,0.0,0.0
reform,48,55,0.0,0.0
reform,48,59,0.0,0.0
reform,48,64,1.0,1.0
reform,49,12,0.0,0.3333333333333333
reform,49,15,0.0,0.0
reform,49,19,1.0,1.0
reform,49,22,0.0,0.0
reform,49,28,0.0,0.0
reform,49,29,1.0,1.0
reform,49,37,1.0,1.0
reform,49,38,1.0,1.0
reform,49,42,0.0,0.5
reform,49,49,0.0,0.0
reform,49,55,0.0,0.0
reform,49,59,0.0,0.0
reform,49,65,0.0,0.0
reform,50,0,0.0,0.0
reform,50,16,0.0,0.0
reform,50,18,0.0,0.0
reform,50,19,1.0,1.0
reform,50,23,0.0,0.0
reform,50,28,0.0,0.0
reform,50,37,1.0,1.0
reform,50,38,1.0,1.0
reform,50,48,1.0,1.0
reform,50,53,0.0,0.0
reform,50,54,1.0,1.0
reform,50,56,0.0,0.0
reform,50,64,1.0,1.0
reform,51,2,0.0,0.25
reform,51,3,0.0,0.5
reform,51,13,0.0,0.3333333333333333
reform,51,18,0.0,0.0
reform,51,20,1.0,1.0
reform,51,23,0.0,0.0
reform,51,32,0.0,0.2
reform,51,33,0.0,0.5
reform,51,47,1.0,1.0
reform,51,48,1.0,1.0
reform,51,58,0.0,0.0
reform,51,59,0.0,0.0
reform,51,65,0.0,0.0
reform,52,9,1.0,1.0
reform,52,10,0.0,0.0
reform,52,12,0.0,0.3333333333333333
reform,52,17,0.0,0.0
reform,52,18,0.0,0.0
reform,52,21,1.0,1.0
reform,52,35,1.0,1.0
reform,52,38,1.0,1.0
reform,52,48,1.0,1.0
reform,52,49,0.0,0.0
reform,52,56,0.0,0.0
reform,52,60,0.0,0.0
reform,52,67,0.0,0.2
reform,53,3,1.0,1.0
reform,53,7,0.0,0.0
reform,53,8,0.0,0.0
reform,53,9,1.0,1.0
reform,53,12,0.0,0.3333333333333333
reform,53,28,0.0,0.0
reform,53,33,0.0,0.5
reform,53,34,0.0,0.0
reform,53,50,0.0,0.0
reform,53,52,0.0,0.5
reform,53,57,0.0,0.5
reform,53,62,0.0,0.0
reform,53,66,0.0,0.25
reform,54,2,0.0,0.25
reform,54,3,1.0,1.0
reform,54,11,0.0,0.0
reform,54,19,1.0,1.0
reform,54,20,1.0,1.0
reform,54,23,0.0,0.0
reform,54,32,0.0,0.0
reform,54,36,1.0,1.0
reform,54,46,1.0,1.0
reform,54,49,0.0,0.0
reform,54,57,0.0,0.3333333333333333
reform,54,59,0.0,0.0
reform,54,63,0.0,0.0
reform,55,1,1.0,1.0
reform,55,3,0.0,0.5
reform,55,7,0.0,0.0
reform,55,10,0.0,0.0
reform,55,18,0.0,0.0
reform,55,20,1.0,1.0
reform,55,32,0.0,0.2
reform,55,39,0.0,0.2
