variant,seed,rid,top1,rr
reranker,42,6,0.0,0.5
reranker,42,10,1.0,1.0
reranker,42,14,1.0,1.0
reranker,42,19,1.0,1.0
reranker,42,22,0.0,0.0
reranker,42,26,1.0,1.0
reranker,42,35,0.0,0.0
reranker,42,41,0.0,0.5
reranker,42,51,1.0,1.0
reranker,42,52,0.0,0.5
reranker,42,54,0.0,0.2
reranker,42,61,0.0,0.0
reranker,42,64,0.0,0.0
reranker,43,7,0.0,0.3333333333333333
reranker,43,18,0.0,0.0
reranker,43,23,0.0,0.5
reranker,43,25,0.0,0.0
reranker,43,27,0.0,0.3333333333333333
reranker,43,29,1.0,1.0
reranker,43,30,1.0,1.0
reranker,43,35,0.0,0.0
reranker,43,45,0.0,0.0
reranker,43,47,1.0,1.0
reranker,43,59,1.0,1.0
reranker,43,62,0.0,0.5
reranker,43,65,0.0,0.5
reranker,44,1,1.0,1.0
reranker,44,14,1.0,1.0
reranker,44,19,1.0,1.0
reranker,44,27,0.0,0.3333333333333333
reranker,44,28,0.0,0.0
reranker,44,29,1.0,1.0
reranker,44,33,1.0,1.0
reranker,44,37,1.0,1.0
reranker,44,46,0.0,0.3333333333333333
reranker,44,47,1.0,1.0
reranker,44,58,0.0,0.0
reranker,44,60,1.0,1.0
reranker,44,64,0.0,0.0
reranker,45,5,0.0,0.0
reranker,45,7,0.0,0.3333333333333333
reranker,45,12,1.0,1.0
reranker,45,14,1.0,1.0
reranker,45,16,0.0,0.0
reranker,45,26,1.0,1.0
reranker,45,33,1.0,1.0
reranker,45,40,0.0,0.0
reranker,45,50,0.0,0.3333333333333333
reranker,45,51,1.0,1.0
reranker,45,58,0.0,0.0
reranker,45,62,0.0,0.5
reranker,45,65,0.0,0.5
reranker,46,3,1.0,1.0
reranker,46,6,0.0,0.5
reranker,46,9,1.0,1.0
reranker,46,13,1.0,1.0
reranker,46,14,1.0,1.0
reranker,46,19,1.0,1.0
reranker,46,36,1.0,1.0
reranker,46,40,0.0,0.0
reranker,46,43,1.0,1.0
reranker,46,45,0.0,0.0
reranker,46,59,1.0,1.0
reranker,46,62,0.0,0.5
reranker,46,63,0.0,0.25
reranker,47,9,1.0,1.0
