variant,seed,rid,top1,rr
semantic,42,6,1.0,1.0
semantic,42,10,1.0,1.0
semantic,42,14,1.0,1.0
semantic,42,19,1.0,1.0
semantic,42,22,0.0,0.3333333333333333
semantic,42,26,1.0,1.0
semantic,42,35,0.0,0.0
semantic,42,41,1.0,1.0
semantic,42,51,1.0,1.0
semantic,42,52,1.0,1.0
semantic,42,54,1.0,1.0
semantic,42,61,0.0,0.0
semantic,42,64,0.0,0.0
semantic,43,7,0.0,0.0
semantic,43,18,0.0,0.0
semantic,43,23,1.0,1.0
semantic,43,25,0.0,0.0
semantic,43,27,0.0,0.0
semantic,43,29,1.0,1.0
semantic,43,30,1.0,1.0
semantic,43,35,0.0,0.0
semantic,43,45,0.0,0.0
semantic,43,47,1.0,1.0
semantic,43,59,0.0,0.0
semantic,43,62,0.0,0.0
semantic,43,65,0.0,0.2
semantic,44,1,1.0,1.0
semantic,44,14,1.0,1.0
semantic,44,19,1.0,1.0
semantic,44,27,0.0,0.0
semantic,44,28,0.0,0.0
semantic,44,29,1.0,1.0
semantic,44,33,1.0,1.0
semantic,44,37,1.0,1.0
semantic,44,46,1.0,1.0
semantic,44,47,1.0,1.0
semantic,44,58,0.0,0.0
semantic,44,60,0.0,0.0
semantic,44,64,0.0,0.0
semantic,45,5,0.0,0.0
semantic,45,7,0.0,0.0
semantic,45,12,1.0,1.0
semantic,45,14,1.0,1.0
semantic,45,16,0.0,0.0
semantic,45,26,1.0,1.0
semantic,45,33,1.0,1.0
semantic,45,40,0.0,0.0
semantic,45,50,0.0,0.25
semantic,45,51,1.0,1.0
semantic,45,58,0.0,0.0
semantic,45,62,0.0,0.0
semantic,45,65,0.0,0.2
semantic,46,3,1.0,1.0
semantic,46,6,1.0,1.0
semantic,46,9,1.0,1.0
semantic,46,13,1.0,1.0
semantic,46,14,1.0,1.0
semantic,46,19,1.0,1.0
semantic,46,36,0.0,0.3333333333333333
semantic,46,40,0.0,0.0
semantic,46,43,1.0,1.0
semantic,46,45,0.0,0.0
semantic,46,59,0.0,0.0
semantic,46,62,0.0,0.0
semantic,46,63,0.0,0.2
semantic,47,9,1.0,1.0
semantic,47,15,0.0,0.0
semantic,47,23,1.0,1.0
semantic,47,26,1.0,1.0
semantic,47,28,0.0,0.0
semantic,47,29,1.0,1.0
semantic,47,33,1.0,1.0
semantic,47,41,1.0,1.0
semantic,47,45,0.0,0.0
