variant,seed,rid,top1,rr
single,42,6,0.0,0.0
single,42,10,0.0,0.0
single,42,14,1.0,1.0
single,42,19,1.0,1.0
single,42,22,0.0,0.0
single,42,26,0.0,0.3333333333333333
single,42,35,0.0,0.0
single,42,41,0.0,0.2
single,42,51,0.0,0.2
single,42,52,0.0,0.3333333333333333
single,42,54,0.0,0.0
single,42,61,0.0,0.0
single,42,64,1.0,1.0
single,43,7,1.0,1.0
single,43,18,0.0,0.0
single,43,23,0.0,0.0
single,43,25,0.0,0.0
single,43,27,0.0,0.0
single,43,29,1.0,1.0
single,43,30,1.0,1.0
single,43,35,0.0,0.0
single,43,45,0.0,0.0
single,43,47,1.0,1.0
single,43,59,0.0,0.0
single,43,62,0.0,0.0
single,43,65,0.0,0.0
single,44,1,1.0,1.0
single,44,14,1.0,1.0
single,44,19,1.0,1.0
single,44,27,0.0,0.0
single,44,28,0.0,0.0
single,44,29,1.0,1.0
single,44,33,0.0,0.5
single,44,37,0.0,0.5
single,44,46,0.0,0.0
single,44,47,1.0,1.0
single,44,58,0.0,0.0
single,44,60,0.0,0.0
single,44,64,1.0,1.0
single,45,5,0.0,0.0
single,45,7,1.0,1.0
single,45,12,0.0,0.0
single,45,14,1.0,1.0
single,45,16,0.0,0.0
single,45,26,0.0,0.3333333333333333
single,45,33,0.0,0.5
single,45,40,1.0,1.0
single,45,50,0.0,0.0
single,45,51,0.0,0.2
single,45,58,0.0,0.0
single,45,62,0.0,0.0
single,45,65,0.0,0.0
single,46,3,1.0,1.0
single,46,6,0.0,0.0
single,46,9,0.0,0.3333333333333333
single,46,13,0.0,0.25
single,46,14,1.0,1.0
single,46,19,1.0,1.0
single,46,36,0.0,0.5
single,46,40,1.0,1.0
single,46,43,0.0,0.5
single,46,45,0.0,0.0
single,46,59,0.0,0.0
single,46,62,0.0,0.0
single,46,63,0.0,0.0
single,47,9,0.0,0.3333333333333333
single,47,15,0.0,0.0
single,47,23,0.0,0.0
single,47,26,0.0,0.3333333333333333
single,47,28,0.0,0.0
single,47,29,1.0,1.0
single,47,33,0.0,0.5
single,47,41,0.0,0.2
single,47,45,0.0,0.0
single,47,51,0.0,0.2
single,47,55,0.0,0.0
single,47,58,0.0,0.0
single,47,63,0.0,0.0
single,48,1,1.0,1.0
single,48,18,0.0,0.0
single,48,19,1.0,1.0
single,48,21,1.0,1.0
single,48,23,0.0,0.0
single,48,28,0.0,0.0
single,48,31,0.0,0.0
single,48,37,0.0,0.5
single,48,48,0.0,0.5
single,48,50,0.0,0.0
single,48,55,0.0,0.0
single,48,59,0.0,0.0
single,48,64,1.0,1.0
single,49,12,0.0,0.0
single,49,15,0.0,0.0
single,49,19,1.0,1.0
single,49,22,0.0,0.0
single,49,28,0.0,0.0
single,49,29,1.0,1.0
single,49,37,0.0,0.5
single,49,38,0.0,0.25
single,49,42,0.0,0.5
single,49,49,0.0,0.0
single,49,55,0.0,0.0
single,49,59,0.0,0.0
single,49,65,0.0,0.0
single,50,0,0.0,0.0
single,50,16,0.0,0.0
single,50,18,0.0,0.0
single,50,19,1.0,1.0
single,50,23,0.0,0.0
single,50,28,0.0,0.0
single,50,37,0.0,0.5
single,50,38,0.0,0.25
single,50,48,0.0,0.5
single,50,53,0.0,0.0
single,50,54,0.0,0.0
single,50,56,0.0,0.0
single,50,64,1.0,1.0
single,51,2,0.0,0.0
single,51,3,1.0,1.0
single,51,13,0.0,0.25
single,51,18,0.0,0.0
single,51,20,1.0,1.0
single,51,23,0.0,0.0
single,51,32,0.0,0.2
single,51,33,0.0,0.5
single,51,47,1.0,1.0
single,51,48,0.0,0.5
single,51,58,0.0,0.0
single,51,59,0.0,0.0
single,51,65,0.0,0.0
single,52,9,0.0,0.3333333333333333
single,52,10,0.0,0.0
single,52,12,0.0,0.0
single,52,17,0.0,0.0
single,52,18,0.0,0.0
single,52,21,1.0,1.0
single,52,35,0.0,0.0
single,52,38,0.0,0.25
single,52,48,0.0,0.5
single,52,49,0.0,0.0
single,52,56,0.0,0.0
single,52,60,0.0,0.0
single,52,67,0.0,0.5
single,53,3,1.0,1.0
single,53,7,1.0,1.0
single,53,8,0.0,0.0
single,53,9,0.0,0.3333333333333333
single,53,12,0.0,0.0
single,53,28,0.0,0.0
single,53,33,0.0,0.5
single,53,34,0.0,0.3333333333333333
single,53,50,0.0,0.0
single,53,52,0.0,0.3333333333333333
single,53,57,0.0,0.0
single,53,62,0.0,0.0
single,53,66,0.0,0.0
single,54,2,0.0,0.0
single,54,3,1.0,1.0
single,54,11,0.0,0.0
single,54,19,1.0,1.0
single,54,20,1.0,1.0
single,54,23,0.0,0.0
single,54,32,0.0,0.2
single,54,36,0.0,0.5
single,54,46,0.0,0.0
single,54,49,0.0,0.0
single,54,57,0.0,0.0
single,54,59,0.0,0.0
single,54,63,0.0,0.0
single,55,1,1.0,1.0
single,55,3,1.0,1.0
single,55,7,1.0,1.0
single,55,10,0.0,0.0
single,55,18,0.0,0.0
single,55,20,1.0,1.0
single,55,32,0.0,0.2
single,55,39,1.0,1.0
single,55,50,0.0,0.0
single,55,53,0.0,0.0
single,55,54,0.0,0.0
single,55,58,0.0,0.0
single,55,65,0.0,0.0
single,56,1,1.0,1.0
single,56,4,1.0,1.0
single,56,5,0.0,0.0
single,56,6,0.0,0.0
single,56,18,0.0,0.0
single,56,25,0.0,0.0
single,56,30,1.0,1.0
single,56,34,0.0,0.3333333333333333
single,56,47,1.0,1.0
single,56,48,0.0,0.5
single,56,55,0.0,0.0
single,56,57,0.0,0.0
single,56,63,0.0,0.0
single,57,2,0.0,0.0
single,57,3,1.0,1.0
single,57,17,0.0,0.0
single,57,21,1.0,1.0
single,57,23,0.0,0.0
single,57,27,0.0,0.0
single,57,30,1.0,1.0
single,57,39,1.0,1.0
single,57,43,0.0,0.5
single,57,44,0.0,0.0
single,57,55,0.0,0.0
single,57,61,0.0,0.0
single,57,66,0.0,0.0
single,58,2,0.0,0.0
single,58,5,0.0,0.0
single,58,10,0.0,0.0
single,58,16,0.0,0.0
single,58,17,0.0,0.0
single,58,19,1.0,1.0
single,58,33,0.0,0.5
single,58,37,0.0,0.5
single,58,50,0.0,0.0
single,58,51,0.0,0.2
single,58,54,0.0,0.0
single,58,61,0.0,0.0
single,58,65,0.0,0.0
single,59,3,1.0,1.0
single,59,6,0.0,0.0
single,59,10,0.0,0.0
single,59,24,1.0,1.0
single,59,26,0.0,0.3333333333333333
single,59,29,1.0,1.0
single,59,36,0.0,0.5
single,59,40,1.0,1.0
single,59,51,0.0,0.2
single,59,53,0.0,0.0
single,59,55,0.0,0.0
single,59,59,0.0,0.0
single,59,63,0.0,0.0
single,60,11,0.0,0.0
single,60,13,0.0,0.25
single,60,22,0.0,0.0
single,60,23,0.0,0.0
single,60,25,0.0,0.0
single,60,27,0.0,0.0
single,60,35,0.0,0.0
single,60,38,0.0,0.25
single,60,42,0.0,0.5
single,60,48,0.0,0.5
single,60,56,0.0,0.0
single,60,61,0.0,0.0
single,60,63,0.0,0.0
single,61,3,1.0,1.0
single,61,4,1.0,1.0
single,61,16,0.0,0.0
single,61,18,0.0,0.0
single,61,23,0.0,0.0
single,61,26,0.0,0.3333333333333333
single,61,30,1.0,1.0
