variant,seed,rid,top1,rr
bm25,42,9,1.0,1.0
bm25,42,12,0.0,0.2
bm25,42,16,0.0,0.0
bm25,42,19,0.0,0.2
bm25,42,26,1.0,1.0
bm25,42,34,0.0,0.0
bm25,42,40,0.0,0.0
bm25,42,42,1.0,1.0
bm25,42,45,0.0,0.0
bm25,42,49,1.0,1.0
bm25,42,53,0.0,0.0
bm25,42,57,1.0,1.0
bm25,42,63,1.0,1.0
bm25,42,67,0.0,0.3333333333333333
bm25,42,77,1.0,1.0
bm25,42,80,0.0,0.0
bm25,42,81,0.0,0.0
bm25,42,95,0.0,0.3333333333333333
bm25,42,96,0.0,0.25
bm25,42,97,0.0,0.5
bm25,42,103,0.0,0.0
bm25,43,18,1.0,1.0
bm25,43,20,0.0,0.2
bm25,43,21,0.0,0.5
bm25,43,23,1.0,1.0
bm25,43,26,1.0,1.0
bm25,43,27,0.0,0.25
bm25,43,31,1.0,1.0
bm25,43,33,0.0,0.2
bm25,43,40,0.0,0.0
bm25,43,46,0.0,0.0
bm25,43,47,1.0,1.0
bm25,43,49,1.0,1.0
bm25,43,60,0.0,0.25
bm25,43,75,1.0,1.0
bm25,43,78,1.0,1.0
bm25,43,79,0.0,0.0
bm25,43,81,0.0,0.0
bm25,43,89,0.0,0.0
bm25,43,91,1.0,1.0
bm25,43,96,0.0,0.25
bm25,43,102,0.0,0.25
bm25,44,11,0.0,0.5
bm25,44,14,1.0,1.0
bm25,44,15,0.0,0.2
bm25,44,20,0.0,0.2
bm25,44,26,1.0,1.0
bm25,44,29,1.0,1.0
bm25,44,43,0.0,0.0
bm25,44,48,1.0,1.0
bm25,44,50,1.0,1.0
bm25,44,51,0.0,0.3333333333333333
bm25,44,52,0.0,0.0
bm25,44,62,0.0,0.5
bm25,44,65,0.0,0.0
bm25,44,71,1.0,1.0
bm25,44,72,1.0,1.0
bm25,44,76,0.0,0.5
bm25,44,82,0.0,0.0
bm25,44,86,0.0,0.0
bm25,44,88,0.0,0.2
bm25,44,96,0.0,0.25
bm25,44,101,1.0,1.0
bm25,45,6,1.0,1.0
bm25,45,11,0.0,0.5
bm25,45,17,0.0,0.5
bm25,45,21,0.0,0.5
bm25,45,23,1.0,1.0
bm25,45,33,0.0,0.2
bm25,45,34,0.0,0.0
bm25,45,45,0.0,0.0
bm25,45,46,0.0,0.0
bm25,45,48,1.0,1.0
bm25,45,57,1.0,1.0
bm25,45,63,1.0,1.0
bm25,45,65,0.0,0.0
bm25,45,68,0.0,0.0
bm25,45,69,0.0,0.3333333333333333
bm25,45,77,1.0,1.0
bm25,45,79,0.0,0.0
bm25,45,87,0.0,0.25
bm25,45,91,1.0,1.0
bm25,45,92,0.0,0.0
bm25,45,105,0.0,0.2
bm25,46,3,0.0,0.5
