variant,seed,rid,top1,rr
reranker,42,9,1.0,1.0
reranker,42,12,1.0,1.0
reranker,42,16,1.0,1.0
reranker,42,19,0.0,0.3333333333333333
reranker,42,26,1.0,1.0
reranker,42,34,1.0,1.0
reranker,42,40,0.0,0.25
reranker,42,42,0.0,0.5
reranker,42,45,0.0,0.0
reranker,42,49,1.0,1.0
reranker,42,53,0.0,0.0
reranker,42,57,1.0,1.0
reranker,42,63,1.0,1.0
reranker,42,67,0.0,0.0
reranker,42,77,1.0,1.0
reranker,42,80,1.0,1.0
reranker,42,81,0.0,0.2
reranker,42,95,0.0,0.25
reranker,42,96,1.0,1.0
reranker,42,97,1.0,1.0
reranker,42,103,0.0,0.0
reranker,43,18,1.0,1.0
reranker,43,20,0.0,0.3333333333333333
reranker,43,21,0.0,0.25
reranker,43,23,1.0,1.0
reranker,43,26,1.0,1.0
reranker,43,27,1.0,1.0
reranker,43,31,0.0,0.3333333333333333
reranker,43,33,1.0,1.0
reranker,43,40,0.0,0.25
reranker,43,46,0.0,0.0
reranker,43,47,0.0,0.5
reranker,43,49,1.0,1.0
reranker,43,60,0.0,0.3333333333333333
reranker,43,75,0.0,0.25
reranker,43,78,1.0,1.0
reranker,43,79,0.0,0.0
reranker,43,81,0.0,0.2
reranker,43,89,0.0,0.3333333333333333
reranker,43,91,0.0,0.3333333333333333
reranker,43,96,1.0,1.0
reranker,43,102,0.0,0.5
reranker,44,11,0.0,0.5
reranker,44,14,1.0,1.0
reranker,44,15,0.0,0.3333333333333333
reranker,44,20,0.0,0.3333333333333333
reranker,44,26,1.0,1.0
reranker,44,29,1.0,1.0
reranker,44,43,1.0,1.0
reranker,44,48,1.0,1.0
reranker,44,50,1.0,1.0
reranker,44,51,1.0,1.0
reranker,44,52,0.0,0.0
reranker,44,62,1.0,1.0
reranker,44,65,1.0,1.0
reranker,44,71,1.0,1.0
reranker,44,72,1.0,1.0
reranker,44,76,1.0,1.0
reranker,44,82,0.0,0.2
reranker,44,86,0.0,0.5
reranker,44,88,1.0,1.0
reranker,44,96,1.0,1.0
reranker,44,101,1.0,1.0
reranker,45,6,1.0,1.0
reranker,45,11,0.0,0.5
reranker,45,17,1.0,1.0
reranker,45,21,0.0,0.25
reranker,45,23,1.0,1.0
reranker,45,33,1.0,1.0
reranker,45,34,1.0,1.0
reranker,45,45,0.0,0.0
reranker,45,46,0.0,0.0
reranker,45,48,1.0,1.0
reranker,45,57,1.0,1.0
reranker,45,63,1.0,1.0
reranker,45,65,1.0,1.0
reranker,45,68,0.0,0.3333333333333333
reranker,45,69,0.0,0.5
reranker,45,77,1.0,1.0
reranker,45,79,0.0,0.0
reranker,45,87,1.0,1.0
reranker,45,91,0.0,0.3333333333333333
reranker,45,92,0.0,0.0
reranker,45,105,1.0,1.0
reranker,46,3,1.0,1.0
reranker,46,6,1.0,1.0
reranker,46,9,1.0,1.0
reranker,46,13,1.0,1.0
reranker,46,14,1.0,1.0
reranker,46,27,1.0,1.0
reranker,46,40,0.0,0.25
reranker,46,44,1.0,1.0
reranker,46,45,0.0,0.0
reranker,46,48,1.0,1.0
reranker,46,53,0.0,0.0
reranker,46,55,1.0,1.0
reranker,46,63,1.0,1.0
reranker,46,73,0.0,0.25
reranker,46,76,1.0,1.0
reranker,46,78,1.0,1.0
reranker,46,79,0.0,0.0
reranker,46,84,1.0,1.0
reranker,46,86,0.0,0.5
reranker,46,88,1.0,1.0
reranker,46,101,1.0,1.0
reranker,47,3,1.0,1.0
reranker,47,9,1.0,1.0
reranker,47,22,0.0,0.5
reranker,47,24,1.0,1.0
reranker,47,25,0.0,0.3333333333333333
reranker,47,27,1.0,1.0
reranker,47,32,1.0,1.0
reranker,47,40,0.0,0.25
reranker,47,47,0.0,0.5
reranker,47,50,1.0,1.0
reranker,47,58,0.0,0.0
reranker,47,62,1.0,1.0
reranker,47,65,1.0,1.0
reranker,47,68,0.0,0.3333333333333333
reranker,47,69,0.0,0.5
reranker,47,77,1.0,1.0
reranker,47,79,0.0,0.0
reranker,47,85,1.0,1.0
reranker,47,87,1.0,1.0
reranker,47,99,1.0,1.0
reranker,47,105,1.0,1.0
reranker,48,0,0.0,0.2
reranker,48,14,1.0,1.0
reranker,48,15,0.0,0.3333333333333333
reranker,48,18,1.0,1.0
reranker,48,19,0.0,0.3333333333333333
reranker,48,28,1.0,1.0
reranker,48,29,1.0,1.0
reranker,48,43,1.0,1.0
reranker,48,46,0.0,0.0
reranker,48,55,1.0,1.0
reranker,48,56,0.0,0.5
reranker,48,57,1.0,1.0
reranker,48,63,1.0,1.0
reranker,48,77,1.0,1.0
reranker,48,78,1.0,1.0
reranker,48,79,0.0,0.0
reranker,48,81,0.0,0.2
reranker,48,84,1.0,1.0
reranker,48,92,0.0,0.0
reranker,48,94,0.0,0.3333333333333333
reranker,48,100,1.0,1.0
reranker,49,6,1.0,1.0
reranker,49,7,1.0,1.0
reranker,49,12,1.0,1.0
reranker,49,18,1.0,1.0
reranker,49,26,1.0,1.0
reranker,49,28,1.0,1.0
reranker,49,32,1.0,1.0
reranker,49,36,0.0,0.0
reranker,49,39,1.0,1.0
reranker,49,43,1.0,1.0
reranker,49,54,0.0,0.0
reranker,49,55,1.0,1.0
reranker,49,60,0.0,0.3333333333333333
reranker,49,66,1.0,1.0
reranker,49,74,1.0,1.0
reranker,49,75,0.0,0.25
reranker,49,80,1.0,1.0
reranker,49,88,1.0,1.0
reranker,49,89,0.0,0.3333333333333333
reranker,49,90,0.0,0.3333333333333333
reranker,49,101,1.0,1.0
reranker,50,4,0.0,0.5
reranker,50,6,1.0,1.0
reranker,50,9,1.0,1.0
reranker,50,16,1.0,1.0
reranker,50,24,1.0,1.0
reranker,50,28,1.0,1.0
reranker,50,29,1.0,1.0
reranker,50,32,1.0,1.0
reranker,50,36,0.0,0.0
reranker,50,42,0.0,0.5
reranker,50,50,1.0,1.0
reranker,50,52,0.0,0.0
reranker,50,62,1.0,1.0
reranker,50,68,0.0,0.3333333333333333
reranker,50,77,1.0,1.0
reranker,50,78,1.0,1.0
reranker,50,79,0.0,0.0
reranker,50,88,1.0,1.0
reranker,50,90,0.0,0.3333333333333333
reranker,50,93,1.0,1.0
reranker,50,102,0.0,0.5
reranker,51,2,0.0,0.0
reranker,51,3,1.0,1.0
reranker,51,18,1.0,1.0
reranker,51,21,0.0,0.25
reranker,51,25,0.0,0.3333333333333333
reranker,51,31,0.0,0.3333333333333333
reranker,51,38,1.0,1.0
reranker,51,43,1.0,1.0
reranker,51,51,1.0,1.0
reranker,51,57,1.0,1.0
reranker,51,58,0.0,0.0
reranker,51,61,1.0,1.0
reranker,51,65,1.0,1.0
reranker,51,68,0.0,0.3333333333333333
reranker,51,69,0.0,0.5
reranker,51,75,0.0,0.25
reranker,51,78,1.0,1.0
reranker,51,85,1.0,1.0
reranker,51,89,0.0,0.3333333333333333
reranker,51,98,1.0,1.0
reranker,51,102,0.0,0.5
reranker,52,2,0.0,0.0
reranker,52,3,1.0,1.0
reranker,52,9,1.0,1.0
reranker,52,14,1.0,1.0
reranker,52,18,1.0,1.0
reranker,52,28,1.0,1.0
reranker,52,30,1.0,1.0
reranker,52,42,0.0,0.5
reranker,52,49,1.0,1.0
reranker,52,55,1.0,1.0
reranker,52,60,0.0,0.3333333333333333
reranker,52,62,1.0,1.0
reranker,52,65,1.0,1.0
reranker,52,73,0.0,0.25
reranker,52,74,1.0,1.0
reranker,52,79,0.0,0.0
reranker,52,81,0.0,0.2
reranker,52,88,1.0,1.0
reranker,52,91,0.0,0.3333333333333333
reranker,52,97,1.0,1.0
reranker,52,104,0.0,0.0
reranker,53,7,1.0,1.0
reranker,53,8,0.0,0.5
reranker,53,9,1.0,1.0
reranker,53,13,1.0,1.0
reranker,53,25,0.0,0.3333333333333333
reranker,53,32,1.0,1.0
reranker,53,33,1.0,1.0
reranker,53,35,1.0,1.0
reranker,53,43,1.0,1.0
reranker,53,45,0.0,0.0
reranker,53,51,1.0,1.0
reranker,53,53,0.0,0.0
reranker,53,63,1.0,1.0
reranker,53,66,1.0,1.0
