variant,seed,rid,top1,rr
semantic,42,9,1.0,1.0
semantic,42,12,0.0,0.25
semantic,42,16,0.0,0.3333333333333333
semantic,42,19,0.0,0.5
semantic,42,26,0.0,0.3333333333333333
semantic,42,34,0.0,0.3333333333333333
semantic,42,40,1.0,1.0
semantic,42,42,0.0,0.25
semantic,42,45,0.0,0.0
semantic,42,49,1.0,1.0
semantic,42,53,0.0,0.0
semantic,42,57,0.0,0.5
semantic,42,63,1.0,1.0
semantic,42,67,0.0,0.0
semantic,42,77,1.0,1.0
semantic,42,80,0.0,0.5
semantic,42,81,0.0,0.2
semantic,42,95,0.0,0.3333333333333333
semantic,42,96,0.0,0.3333333333333333
semantic,42,97,1.0,1.0
semantic,42,103,0.0,0.0
semantic,43,18,1.0,1.0
semantic,43,20,0.0,0.3333333333333333
semantic,43,21,0.0,0.0
semantic,43,23,1.0,1.0
semantic,43,26,0.0,0.3333333333333333
semantic,43,27,1.0,1.0
semantic,43,31,0.0,0.0
semantic,43,33,0.0,0.2
semantic,43,40,1.0,1.0
semantic,43,46,0.0,0.0
semantic,43,47,0.0,0.2
semantic,43,49,1.0,1.0
semantic,43,60,0.0,0.3333333333333333
semantic,43,75,1.0,1.0
semantic,43,78,1.0,1.0
semantic,43,79,0.0,0.0
semantic,43,81,0.0,0.2
semantic,43,89,0.0,0.2
semantic,43,91,0.0,0.5
semantic,43,96,0.0,0.3333333333333333
semantic,43,102,0.0,0.2
semantic,44,11,0.0,0.5
semantic,44,14,1.0,1.0
semantic,44,15,0.0,0.5
semantic,44,20,0.0,0.3333333333333333
semantic,44,26,0.0,0.3333333333333333
semantic,44,29,1.0,1.0
semantic,44,43,0.0,0.5
semantic,44,48,1.0,1.0
semantic,44,50,1.0,1.0
semantic,44,51,1.0,1.0
semantic,44,52,0.0,0.0
semantic,44,62,1.0,1.0
semantic,44,65,0.0,0.25
semantic,44,71,1.0,1.0
semantic,44,72,1.0,1.0
semantic,44,76,1.0,1.0
semantic,44,82,0.0,0.0
semantic,44,86,0.0,0.5
semantic,44,88,1.0,1.0
semantic,44,96,0.0,0.3333333333333333
semantic,44,101,0.0,0.5
semantic,45,6,1.0,1.0
semantic,45,11,0.0,0.5
semantic,45,17,1.0,1.0
semantic,45,21,0.0,0.0
semantic,45,23,1.0,1.0
semantic,45,33,0.0,0.2
semantic,45,34,0.0,0.3333333333333333
semantic,45,45,0.0,0.0
semantic,45,46,0.0,0.0
semantic,45,48,1.0,1.0
semantic,45,57,0.0,0.5
semantic,45,63,1.0,1.0
semantic,45,65,0.0,0.25
semantic,45,68,0.0,0.0
semantic,45,69,0.0,0.0
semantic,45,77,1.0,1.0
