variant,seed,rid,top1,rr
single,42,9,1.0,1.0
single,42,12,0.0,0.2
single,42,16,0.0,0.0
single,42,19,0.0,0.2
single,42,26,1.0,1.0
single,42,34,0.0,0.0
single,42,40,0.0,0.0
single,42,42,1.0,1.0
single,42,45,0.0,0.0
single,42,49,1.0,1.0
single,42,53,0.0,0.0
single,42,57,1.0,1.0
single,42,63,1.0,1.0
single,42,67,0.0,0.3333333333333333
single,42,77,1.0,1.0
single,42,80,0.0,0.0
single,42,81,0.0,0.0
single,42,95,0.0,0.3333333333333333
single,42,96,0.0,0.25
single,42,97,0.0,0.5
single,42,103,0.0,0.0
single,43,18,1.0,1.0
single,43,20,0.0,0.2
single,43,21,0.0,0.5
single,43,23,1.0,1.0
single,43,26,1.0,1.0
single,43,27,0.0,0.25
single,43,31,1.0,1.0
single,43,33,0.0,0.2
single,43,40,0.0,0.0
single,43,46,0.0,0.0
single,43,47,1.0,1.0
single,43,49,1.0,1.0
single,43,60,0.0,0.25
single,43,75,1.0,1.0
single,43,78,1.0,1.0
single,43,79,0.0,0.0
single,43,81,0.0,0.0
single,43,89,0.0,0.0
single,43,91,1.0,1.0
single,43,96,0.0,0.25
single,43,102,0.0,0.25
single,44,11,0.0,0.5
single,44,14,1.0,1.0
single,44,15,0.0,0.2
single,44,20,0.0,0.2
single,44,26,1.0,1.0
single,44,29,1.0,1.0
single,44,43,0.0,0.0
single,44,48,1.0,1.0
single,44,50,1.0,1.0
single,44,51,0.0,0.3333333333333333
single,44,52,0.0,0.0
single,44,62,0.0,0.5
single,44,65,0.0,0.0
single,44,71,1.0,1.0
single,44,72,1.0,1.0
single,44,76,0.0,0.5
single,44,82,0.0,0.0
single,44,86,0.0,0.0
single,44,88,0.0,0.2
single,44,96,0.0,0.25
single,44,101,1.0,1.0
single,45,6,1.0,1.0
single,45,11,0.0,0.5
single,45,17,0.0,0.5
single,45,21,0.0,0.5
single,45,23,1.0,1.0
single,45,33,0.0,0.2
single,45,34,0.0,0.0
single,45,45,0.0,0.0
single,45,46,0.0,0.0
single,45,48,1.0,1.0
single,45,57,1.0,1.0
single,45,63,1.0,1.0
single,45,65,0.0,0.0
single,45,68,0.0,0.0
single,45,69,0.0,0.3333333333333333
single,45,77,1.0,1.0
single,45,79,0.0,0.0
single,45,87,0.0,0.25
single,45,91,1.0,1.0
single,45,92,0.0,0.0
single,45,105,0.0,0.2
single,46,3,0.0,0.5
single,46,6,1.0,1.0
single,46,9,1.0,1.0
single,46,13,0.0,0.5
single,46,14,1.0,1.0
single,46,27,0.0,0.25
single,46,40,0.0,0.0
single,46,44,1.0,1.0
single,46,45,0.0,0.0
single,46,48,1.0,1.0
single,46,53,0.0,0.0
single,46,55,0.0,0.5
single,46,63,1.0,1.0
single,46,73,0.0,0.3333333333333333
single,46,76,0.0,0.5
single,46,78,1.0,1.0
single,46,79,0.0,0.0
single,46,84,1.0,1.0
single,46,86,0.0,0.0
single,46,88,0.0,0.2
single,46,101,1.0,1.0
single,47,3,0.0,0.5
single,47,9,1.0,1.0
single,47,22,0.0,0.5
single,47,24,0.0,0.3333333333333333
single,47,25,0.0,0.0
single,47,27,0.0,0.25
single,47,32,1.0,1.0
single,47,40,0.0,0.0
single,47,47,1.0,1.0
single,47,50,1.0,1.0
single,47,58,0.0,0.5
single,47,62,0.0,0.5
single,47,65,0.0,0.0
single,47,68,0.0,0.0
single,47,69,0.0,0.3333333333333333
single,47,77,1.0,1.0
single,47,79,0.0,0.0
single,47,85,1.0,1.0
single,47,87,0.0,0.25
single,47,99,0.0,0.3333333333333333
single,47,105,0.0,0.2
single,48,0,0.0,0.0
single,48,14,1.0,1.0
single,48,15,0.0,0.2
single,48,18,1.0,1.0
single,48,19,0.0,0.2
single,48,28,1.0,1.0
single,48,29,1.0,1.0
single,48,43,0.0,0.0
single,48,46,0.0,0.0
single,48,55,0.0,0.5
single,48,56,1.0,1.0
single,48,57,1.0,1.0
single,48,63,1.0,1.0
single,48,77,1.0,1.0
single,48,78,1.0,1.0
single,48,79,0.0,0.0
single,48,81,0.0,0.0
single,48,84,1.0,1.0
single,48,92,0.0,0.0
single,48,94,1.0,1.0
single,48,100,1.0,1.0
single,49,6,1.0,1.0
single,49,7,1.0,1.0
single,49,12,0.0,0.2
single,49,18,1.0,1.0
single,49,26,1.0,1.0
single,49,28,1.0,1.0
single,49,32,1.0,1.0
single,49,36,0.0,0.0
single,49,39,1.0,1.0
single,49,43,0.0,0.0
single,49,54,0.0,0.0
single,49,55,0.0,0.5
single,49,60,0.0,0.25
single,49,66,0.0,0.2
single,49,74,0.0,0.5
single,49,75,1.0,1.0
single,49,80,0.0,0.0
single,49,88,0.0,0.2
single,49,89,0.0,0.0
single,49,90,0.0,0.5
single,49,101,1.0,1.0
single,50,4,0.0,0.0
single,50,6,1.0,1.0
single,50,9,1.0,1.0
single,50,16,0.0,0.0
single,50,24,0.0,0.3333333333333333
single,50,28,1.0,1.0
single,50,29,1.0,1.0
single,50,32,1.0,1.0
single,50,36,0.0,0.0
single,50,42,1.0,1.0
single,50,50,1.0,1.0
single,50,52,0.0,0.0
single,50,62,0.0,0.5
single,50,68,0.0,0.0
single,50,77,1.0,1.0
single,50,78,1.0,1.0
single,50,79,0.0,0.0
single,50,88,0.0,0.2
single,50,90,0.0,0.5
single,50,93,1.0,1.0
single,50,102,0.0,0.25
single,51,2,0.0,0.0
single,51,3,0.0,0.5
single,51,18,1.0,1.0
single,51,21,0.0,0.5
single,51,25,0.0,0.0
single,51,31,1.0,1.0
single,51,38,0.0,0.25
single,51,43,0.0,0.0
single,51,51,0.0,0.3333333333333333
single,51,57,1.0,1.0
