variant,seed,rid,top1,rr
tfidf,42,9,1.0,1.0
tfidf,42,12,0.0,0.3333333333333333
tfidf,42,16,0.0,0.5
tfidf,42,19,0.0,0.3333333333333333
tfidf,42,26,0.0,0.3333333333333333
tfidf,42,34,0.0,0.0
tfidf,42,40,0.0,0.0
tfidf,42,42,0.0,0.5
tfidf,42,45,0.0,0.0
tfidf,42,49,1.0,1.0
tfidf,42,53,0.0,0.0
tfidf,42,57,1.0,1.0
tfidf,42,63,0.0,0.5
tfidf,42,67,0.0,0.25
tfidf,42,77,1.0,1.0
tfidf,42,80,0.0,0.3333333333333333
tfidf,42,81,0.0,0.0
tfidf,42,95,0.0,0.0
tfidf,42,96,0.0,0.0
tfidf,42,97,1.0,1.0
tfidf,42,103,0.0,0.0
tfidf,43,18,1.0,1.0
tfidf,43,20,0.0,0.3333333333333333
tfidf,43,21,0.0,0.5
tfidf,43,23,1.0,1.0
tfidf,43,26,0.0,0.3333333333333333
tfidf,43,27,0.0,0.5
tfidf,43,31,1.0,1.0
tfidf,43,33,0.0,0.0
tfidf,43,40,0.0,0.0
tfidf,43,46,0.0,0.0
tfidf,43,47,1.0,1.0
tfidf,43,49,1.0,1.0
tfidf,43,60,0.0,0.0
tfidf,43,75,1.0,1.0
tfidf,43,78,1.0,1.0
tfidf,43,79,0.0,0.0
tfidf,43,81,0.0,0.0
tfidf,43,89,0.0,0.0
tfidf,43,91,0.0,0.3333333333333333
tfidf,43,96,0.0,0.0
tfidf,43,102,0.0,0.25
tfidf,44,11,0.0,0.5
tfidf,44,14,1.0,1.0
tfidf,44,15,0.0,0.0
tfidf,44,20,0.0,0.3333333333333333
tfidf,44,26,0.0,0.3333333333333333
tfidf,44,29,1.0,1.0
tfidf,44,43,0.0,0.0
tfidf,44,48,1.0,1.0
tfidf,44,50,1.0,1.0
tfidf,44,51,1.0,1.0
tfidf,44,52,0.0,0.0
tfidf,44,62,1.0,1.0
tfidf,44,65,0.0,0.0
tfidf,44,71,0.0,0.5
tfidf,44,72,1.0,1.0
tfidf,44,76,1.0,1.0
tfidf,44,82,0.0,0.0
tfidf,44,86,0.0,0.0
tfidf,44,88,0.0,0.3333333333333333
tfidf,44,96,0.0,0.0
tfidf,44,101,0.0,0.3333333333333333
tfidf,45,6,1.0,1.0
tfidf,45,11,0.0,0.5
tfidf,45,17,0.0,0.5
tfidf,45,21,0.0,0.5
tfidf,45,23,1.0,1.0
tfidf,45,33,0.0,0.0
tfidf,45,34,0.0,0.0
tfidf,45,45,0.0,0.0
tfidf,45,46,0.0,0.0
tfidf,45,48,1.0,1.0
tfidf,45,57,1.0,1.0
tfidf,45,63,0.0,0.5
tfidf,45,65,0.0,0.0
tfidf,45,68,0.0,0.0
tfidf,45,69,0.0,0.2
tfidf,45,77,1.0,1.0
tfidf,45,79,0.0,0.0
tfidf,45,87,0.0,0.25
tfidf,45,91,0.0,0.3333333333333333
tfidf,45,92,0.0,0.0
tfidf,45,105,0.0,0.0
tfidf,46,3,1.0,1.0
tfidf,46,6,1.0,1.0
tfidf,46,9,1.0,1.0
tfidf,46,13,0.0,0.5
tfidf,46,14,1.0,1.0
tfidf,46,27,0.0,0.5
tfidf,46,40,0.0,0.0
tfidf,46,44,1.0,1.0
tfidf,46,45,0.0,0.0
tfidf,46,48,1.0,1.0
tfidf,46,53,0.0,0.0
tfidf,46,55,1.0,1.0
tfidf,46,63,0.0,0.5
tfidf,46,73,0.0,0.0
tfidf,46,76,1.0,1.0
tfidf,46,78,1.0,1.0
tfidf,46,79,0.0,0.0
tfidf,46,84,1.0,1.0
tfidf,46,86,0.0,0.0
tfidf,46,88,0.0,0.3333333333333333
tfidf,46,101,0.0,0.3333333333333333
tfidf,47,3,1.0,1.0
tfidf,47,9,1.0,1.0
