variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test
lsi,42,0.2857142857142857,0.40634920634920635,0.17547619047619048,0.25508499341308155,0.06989795918367346,0.2085222978080121,0.2,0.20417225588602622,0.7619047619047619,0.3125,0.2857142857142857,0.06,0.2,0.21,0.3313960675559851,0.0,21.0
lsi,43,0.38095238095238093,0.47619047619047616,0.23402116402116396,0.33279203050437417,0.11844293272864702,0.34493918779633065,0.2285714285714286,0.2749495499288821,0.8095238095238095,0.4117647058823529,0.38095238095238093,0.09411764705882353,0.22857142857142856,0.2823529411764706,0.37049588031688785,0.0,21.0
lsi,44,0.38095238095238093,0.4888888888888888,0.2179100529100529,0.3020170587970118,0.11870748299319728,0.29353741496598634,0.20952380952380953,0.24451527737531795,0.8095238095238095,0.4117647058823529,0.38095238095238093,0.08888888888888889,0.20952380952380953,0.24444444444444444,0.2947100342088826,0.0,21.0
lsi,45,0.2857142857142857,0.37063492063492065,0.14195767195767198,0.21463068553086875,0.0802721088435374,0.1772108843537415,0.1619047619047619,0.16921239910206812,0.9523809523809523,0.3,0.2857142857142857,0.06382978723404255,0.1619047619047619,0.18085106382978725,0.310371998842726,0.0,21.0
lsi,46,0.42857142857142855,0.5476190476190477,0.2547619047619048,0.3394067671248316,0.15634920634920635,0.26787656787656783,0.2,0.22901473274655404,0.7142857142857143,0.6,0.42857142857142855,0.09090909090909091,0.2,0.21212121212121213,0.3389613718281285,0.0,21.0
lsi,47,0.42857142857142855,0.5793650793650793,0.2673280423280423,0.37061945401902474,0.08199168556311413,0.2863035113035113,0.31428571428571433,0.2996427498820131,0.9047619047619048,0.47368421052631576,0.42857142857142855,0.07894736842105263,0.3142857142857143,0.2894736842105263,0.3231496372491948,0.0,21.0
lsi,48,0.42857142857142855,0.5373015873015873,0.2908730158730159,0.38238203900032464,0.14291383219954648,0.3473356009070295,0.2761904761904762,0.3077041635819706,0.8571428571428571,0.5,0.42857142857142855,0.09375,0.2761904761904762,0.3020833333333333,0.3535243350354411,0.0,21.0
lsi,49,0.3333333333333333,0.4642857142857143,0.22563492063492063,0.31362963947776357,0.08095238095238094,0.27499999999999997,0.2285714285714286,0.249645390070922,0.9047619047619048,0.3684210526315789,0.3333333333333333,0.06306306306306306,0.22857142857142856,0.21621621621621623,0.31646128975862414,0.0,21.0
lsi,50,0.47619047619047616,0.5634920634920635,0.27714285714285714,0.36306465656457176,0.13318216175359035,0.29034391534391535,0.2666666666666667,0.2780020581017969,0.9047619047619048,0.5263157894736842,0.47619047619047616,0.09615384615384616,0.26666666666666666,0.2692307692307692,0.2862466333268326,0.0,21.0
lsi,51,0.3333333333333333,0.4246031746031746,0.19424603174603175,0.2690698144721846,0.1156084656084656,0.24947089947089948,0.17142857142857146,0.20321451019125442,0.9523809523809523,0.35,0.3333333333333333,0.0707070707070707,0.17142857142857143,0.18181818181818182,0.31033964512330847,0.0,21.0
lsi,52,0.47619047619047616,0.569047619047619,0.32746031746031745,0.41643247994297417,0.13735827664399092,0.3645691609977324,0.30476190476190484,0.3319935308755501,0.6666666666666666,0.7142857142857143,0.47619047619047616,0.0970873786407767,0.3047619047619048,0.3106796116504854,0.40530283231697967,0.0,21.0
lsi,53,0.3333333333333333,0.4166666666666667,0.2305291005291005,0.2936944284615451,0.1498270248270248,0.27178469678469674,0.1523809523809524,0.19527659073800557,0.5714285714285714,0.25,0.3333333333333333,0.07216494845360824,0.1523809523809524,0.16494845360824742,0.34994273498940665,0.0,21.0
lsi,54,0.42857142857142855,0.5015873015873016,0.24564814814814814,0.33981247632714956,0.09869323797895227,0.27852782138496424,0.2666666666666667,0.2724682194352018,0.8095238095238095,0.47058823529411764,0.42857142857142855,0.08256880733944955,0.26666666666666666,0.25688073394495414,0.34723144076286244,0.0,21.0
lsi,55,0.47619047619047616,0.5634920634920635,0.2887301587301588,0.381833782216009,0.16124338624338624,0.34444444444444444,0.24761904761904768,0.28811438784629134,0.6666666666666666,0.5714285714285714,0.47619047619047616,0.10989010989010989,0.24761904761904763,0.2857142857142857,0.38504139100690155,0.0,21.0
lsi,56,0.42857142857142855,0.4793650793650793,0.23947089947089945,0.31494817718524415,0.14206349206349206,0.26944444444444443,0.20952380952380953,0.23573598453465894,0.8095238095238095,0.47058823529411764,0.42857142857142855,0.12,0.20952380952380953,0.29333333333333333,0.35994663598942644,0.0,21.0
lsi,57,0.47619047619047616,0.573015873015873,0.21900793650793648,0.3268364374522077,0.09251700680272108,0.25665154950869234,0.2761904761904762,0.26606277378672577,0.9523809523809523,0.5,0.47619047619047616,0.1,0.2761904761904762,0.29,0.33262230751887034,0.0,21.0
lsi,58,0.23809523809523808,0.376984126984127,0.16455026455026456,0.24930512741279956,0.04814814814814815,0.20198412698412696,0.2285714285714286,0.21445687952600392,0.9047619047619048,0.2631578947368421,0.23809523809523808,0.04,0.22857142857142856,0.192,0.2960732721749509,0.0,21.0
lsi,59,0.5238095238095238,0.653968253968254,0.2807142857142857,0.40360723552612676,0.10342025699168556,0.31470143613000745,0.33333333333333337,0.32374953830602043,0.9047619047619048,0.5789473684210527,0.5238095238095238,0.10377358490566038,0.3333333333333333,0.330188679245283,0.3269812043083934,0.0,21.0
lsi,60,0.3333333333333333,0.43015873015873013,0.2412698412698413,0.3155174563366402,0.09349962207105064,0.2837868480725624,0.2571428571428572,0.26980866544899246,0.6190476190476191,0.46153846153846156,0.3333333333333333,0.06481481481481481,0.2571428571428571,0.25,0.37590936291661314,0.0,21.0
lsi,61,0.23809523809523808,0.3865079365079365,0.14537037037037037,0.23772079784170025,0.05515873015873015,0.2464285714285714,0.19047619047619047,0.21486959906578432,0.7619047619047619,0.3125,0.23809523809523808,0.053763440860215055,0.19047619047619047,0.21505376344086022,0.31953671550793955,0.0,21.0
lsi,62,0.3333333333333333,0.48968253968253966,0.29560846560846554,0.3892488469129646,0.1523809523809524,0.3973544973544974,0.2666666666666667,0.31915006640106247,0.8095238095238095,0.29411764705882354,0.3333333333333333,0.0673076923076923,0.26666666666666666,0.2692307692307692,0.32694913837195805,0.0,21.0
lsi,63,0.23809523809523808,0.3619047619047619,0.13556878306878306,0.22620804660462157,0.0536281179138322,0.2421012849584278,0.20000000000000004,0.2190459907676526,0.9047619047619048,0.2631578947368421,0.23809523809523808,0.05813953488372093,0.2,0.2441860465116279,0.3213688525598026,0.0,21.0
