variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,gap_detection,n_gap,avg_steps
agent,42,0.8333333333333334,0.8333333333333334,0.75,0.7688578654609097,0.75,0.75,0.16666666666666666,0.27272727272727276,0.25,0.3333333333333333,0.4166666666666667,0.625,0.08333333333333333,0.625,0.052599281143157706,0.0,12.0,0.6666666666666666,6.0,7.166666666666667
agent,43,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4384882922619096,0.3333333333333333,0.5,0.10000000000000002,0.1666666666666667,0.9166666666666666,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.05,0.5,0.04918032786885246,0.0,12.0,0.16666666666666666,6.0,7.0
agent,44,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999998,0.3333333333333333,0.5833333333333334,0.5714285714285714,0.5,1.0,0.1,1.0,0.05231648930905472,0.0,12.0,0.5,6.0,7.083333333333333
agent,45,0.5555555555555556,0.5925925925925926,0.5925925925925926,0.6111111111111112,0.5555555555555556,0.6666666666666666,0.13333333333333336,0.22222222222222227,1.0,0.4166666666666667,0.4166666666666667,0.5,0.1,0.6,0.04918032786885246,0.0,12.0,0.0,3.0,6.916666666666667
agent,46,1.0,1.0,0.9166666666666666,0.9355245321275764,0.9166666666666666,0.9166666666666666,0.19999999999999998,0.32835820895522383,1.0,0.5,0.5,0.8571428571428571,0.1,0.8571428571428571,0.04918032786885246,0.0,12.0,0.0,6.0,7.166666666666667
agent,47,0.8,0.9,0.6,0.6940742663735666,0.5,0.7,0.2,0.3111111111111111,0.75,0.4444444444444444,0.3333333333333333,0.5,0.08333333333333333,0.625,0.04918032786885246,0.0,12.0,0.42857142857142855,7.0,7.083333333333333
agent,48,0.75,0.875,0.84375,0.8772228201007499,0.75,0.9375,0.2,0.32967032967032966,0.75,0.6666666666666666,0.5,0.6666666666666666,0.13333333333333333,0.8888888888888888,0.05724694249284414,0.0,12.0,0.5,4.0,7.166666666666667
agent,49,0.6,0.6,0.6,0.6,0.6,0.6,0.12000000000000002,0.20000000000000004,0.75,0.2222222222222222,0.25,0.6,0.05,0.6,0.04918032786885246,0.0,12.0,0.14285714285714285,7.0,6.916666666666667
agent,50,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.8978088012057569,0.8333333333333334,1.0,0.19999999999999998,0.3333333333333333,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.8333333333333334,0.1,1.0,0.04918032786885246,0.0,12.0,0.16666666666666666,6.0,7.0
agent,51,0.75,0.84375,0.7631944444444444,0.8265272938263432,0.6041666666666666,0.9166666666666666,0.275,0.4230769230769231,1.0,0.5,0.5,0.46153846153846156,0.18333333333333332,0.8461538461538461,0.04918032786885246,0.0,12.0,0.0,4.0,7.0
agent,52,0.5,0.55,0.55,0.5630929753571458,0.5,0.6,0.12,0.19999999999999998,0.75,0.5555555555555556,0.4166666666666667,0.5,0.1,0.6,0.04918032786885246,0.0,12.0,0.5,2.0,7.0
agent,53,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.7156339404750768,0.47619047619047616,0.738095238095238,0.22857142857142856,0.34904996481351164,0.9166666666666666,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.13333333333333333,0.7272727272727273,0.0479384003974168,0.0,12.0,0.2,5.0,7.0
agent,54,0.6,0.7,0.65,0.6875006699908374,0.55,0.75,0.16,0.26373626373626374,1.0,0.5,0.5,0.5454545454545454,0.13333333333333333,0.7272727272727273,0.04918032786885246,0.0,12.0,0.0,2.0,7.083333333333333
