variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,gap_detection,n_gap,avg_steps
single,42,0.6666666666666666,0.7222222222222222,0.6388888888888888,0.6855245321275764,0.5833333333333334,0.75,0.16666666666666666,0.27272727272727276,0.5833333333333334,0.42857142857142855,0.3333333333333333,0.5,0.08333333333333333,0.625,5.246335953687306,0.0,12.0,0.5,6.0,2.0
single,43,0.3333333333333333,0.38888888888888884,0.38888888888888884,0.4166666666666667,0.3333333333333333,0.5,0.10000000000000002,0.1666666666666667,0.08333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.05,0.5,6.052706794616805,0.0,12.0,1.0,6.0,2.0
single,44,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999998,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,0.1,1.0,4.447804053581493,0.0,12.0,0.6666666666666666,6.0,2.0
single,45,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5165235904863841,0.3333333333333333,0.6666666666666666,0.13333333333333336,0.22222222222222227,0.5,0.5,0.25,0.3,0.1,0.6,5.631344743113163,0.0,12.0,0.6666666666666666,3.0,2.0
single,46,1.0,1.0,0.9166666666666666,0.9355245321275764,0.9166666666666666,0.9166666666666666,0.19999999999999998,0.32835820895522383,0.75,0.5555555555555556,0.5,0.8571428571428571,0.1,0.8571428571428571,4.040916171782797,0.0,12.0,0.3333333333333333,6.0,2.0
single,47,0.4,0.6,0.35,0.44881538926738324,0.2,0.5,0.16,0.24242424242424243,1.0,0.16666666666666666,0.16666666666666666,0.25,0.06666666666666667,0.5,3.7440307604742906,0.01,12.0,0.0,7.0,2.0
single,48,0.625,0.74375,0.753125,0.8148810495184857,0.625,1.0,0.225,0.36734693877551017,0.5,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.15,1.0,6.949311100014516,0.0,12.0,1.0,4.0,2.0
single,49,0.4,0.4,0.4,0.4,0.4,0.4,0.08,0.13333333333333333,0.6666666666666666,0.25,0.16666666666666666,0.4,0.03333333333333333,0.4,3.9133909001372813,0.01,12.0,0.5714285714285714,7.0,2.0
single,50,0.6666666666666666,0.7333333333333334,0.7333333333333334,0.7956176024115139,0.6666666666666666,1.0,0.19999999999999998,0.3333333333333333,0.8333333333333334,0.4,0.3333333333333333,0.6666666666666666,0.1,1.0,3.6708253484758795,0.0,12.0,0.3333333333333333,6.0,2.0
single,51,0.75,0.8125,0.7152777777777778,0.75,0.6041666666666666,0.75,0.225,0.3461538461538462,0.4166666666666667,0.6,0.5,0.46153846153846156,0.15,0.6923076923076923,5.574702315677815,0.0,12.0,1.0,4.0,2.0
