variant,seed,rid,top1,rr
agent,42,4,1.0,1.0
agent,42,9,0.0,0.5
agent,42,13,1.0,1.0
agent,42,14,1.0,1.0
agent,42,29,1.0,1.0
agent,42,30,1.0,1.0
agent,42,33,0.0,0.0
agent,42,38,0.0,0.2
agent,42,42,0.0,0.0
agent,42,50,1.0,1.0
agent,42,53,1.0,1.0
agent,42,58,0.0,0.5
agent,42,62,0.0,0.25
agent,42,64,1.0,1.0
agent,42,65,1.0,1.0
agent,42,73,0.0,0.25
agent,42,77,1.0,1.0
agent,42,88,1.0,1.0
agent,42,89,0.0,0.3333333333333333
agent,43,2,0.0,0.25
agent,43,8,0.0,0.0
agent,43,12,1.0,1.0
agent,43,15,0.0,0.0
agent,43,26,1.0,1.0
agent,43,29,1.0,1.0
agent,43,33,0.0,0.0
agent,43,37,0.0,0.0
agent,43,39,1.0,1.0
agent,43,42,0.0,0.0
agent,43,49,0.0,0.5
agent,43,60,0.0,0.0
agent,43,62,0.0,0.25
agent,43,77,1.0,1.0
agent,43,80,1.0,1.0
agent,43,84,0.0,0.0
agent,43,89,0.0,0.2
agent,43,90,1.0,1.0
agent,43,91,1.0,1.0
agent,44,8,0.0,0.0
agent,44,10,0.0,0.0
agent,44,14,1.0,1.0
agent,44,15,0.0,0.0
agent,44,22,0.0,0.5
agent,44,26,1.0,1.0
agent,44,32,0.0,0.0
agent,44,44,0.0,0.0
agent,44,45,0.0,0.0
agent,44,50,1.0,1.0
agent,44,51,1.0,1.0
agent,44,56,0.0,0.5
agent,44,60,0.0,0.0
agent,44,66,0.0,0.5
agent,44,76,1.0,1.0
agent,44,81,0.0,0.0
agent,44,82,0.0,0.0
agent,44,90,1.0,1.0
agent,44,93,0.0,0.0
agent,45,3,1.0,1.0
agent,45,9,0.0,0.5
agent,45,12,1.0,1.0
agent,45,17,0.0,0.0
agent,45,26,1.0,1.0
agent,45,32,0.0,0.0
agent,45,35,1.0,1.0
agent,45,38,0.0,0.2
agent,45,45,0.0,0.0
agent,45,49,0.0,0.25
agent,45,51,1.0,1.0
agent,45,61,1.0,1.0
agent,45,62,0.0,0.25
agent,45,70,0.0,0.5
agent,45,71,0.0,0.0
agent,45,72,1.0,1.0
agent,45,75,1.0,1.0
agent,45,87,0.0,0.0
agent,45,88,1.0,1.0
agent,46,3,1.0,1.0
agent,46,4,1.0,1.0
agent,46,5,1.0,1.0
agent,46,15,0.0,0.0
agent,46,23,0.0,0.3333333333333333
agent,46,27,0.0,0.3333333333333333
agent,46,32,0.0,0.0
agent,46,36,0.0,0.3333333333333333
agent,46,42,0.0,0.0
agent,46,43,0.0,0.0
agent,46,44,0.0,0.0
agent,46,61,1.0,1.0
agent,46,62,0.0,0.25
agent,46,68,0.0,0.0
agent,46,71,0.0,0.0
agent,46,72,1.0,1.0
