variant,seed,rid,top1,rr
bm25,42,4,1.0,1.0
bm25,42,9,0.0,0.0
bm25,42,13,0.0,0.0
bm25,42,14,1.0,1.0
bm25,42,29,1.0,1.0
bm25,42,30,0.0,0.5
bm25,42,33,0.0,0.0
bm25,42,38,0.0,0.2
bm25,42,42,0.0,0.0
bm25,42,50,1.0,1.0
bm25,42,53,1.0,1.0
bm25,42,58,0.0,0.0
bm25,42,62,0.0,0.0
bm25,42,64,1.0,1.0
bm25,42,65,1.0,1.0
bm25,42,73,0.0,0.5
bm25,42,77,1.0,1.0
bm25,42,88,1.0,1.0
bm25,42,89,0.0,0.3333333333333333
bm25,43,2,0.0,0.0
bm25,43,8,0.0,0.0
bm25,43,12,1.0,1.0
bm25,43,15,0.0,0.0
bm25,43,26,0.0,0.5
bm25,43,29,1.0,1.0
bm25,43,33,0.0,0.0
bm25,43,37,0.0,0.0
bm25,43,39,1.0,1.0
bm25,43,42,0.0,0.0
bm25,43,49,0.0,0.5
bm25,43,60,0.0,0.0
bm25,43,62,0.0,0.0
bm25,43,77,1.0,1.0
bm25,43,80,1.0,1.0
bm25,43,84,0.0,0.0
bm25,43,89,0.0,0.3333333333333333
bm25,43,90,0.0,0.5
bm25,43,91,1.0,1.0
bm25,44,8,0.0,0.0
bm25,44,10,0.0,0.0
bm25,44,14,1.0,1.0
bm25,44,15,0.0,0.0
bm25,44,22,0.0,0.25
bm25,44,26,0.0,0.5
bm25,44,32,0.0,0.0
bm25,44,44,0.0,0.0
bm25,44,45,0.0,0.0
bm25,44,50,1.0,1.0
bm25,44,51,0.0,0.5
bm25,44,56,0.0,0.5
bm25,44,60,0.0,0.0
bm25,44,66,1.0,1.0
bm25,44,76,1.0,1.0
bm25,44,81,0.0,0.0
bm25,44,82,0.0,0.0
bm25,44,90,0.0,0.5
bm25,44,93,0.0,0.0
bm25,45,3,1.0,1.0
bm25,45,9,0.0,0.0
bm25,45,12,1.0,1.0
bm25,45,17,0.0,0.0
bm25,45,26,0.0,0.5
bm25,45,32,0.0,0.0
bm25,45,35,1.0,1.0
bm25,45,38,0.0,0.2
bm25,45,45,0.0,0.0
bm25,45,49,0.0,0.5
bm25,45,51,0.0,0.5
bm25,45,61,1.0,1.0
bm25,45,62,0.0,0.0
bm25,45,70,0.0,0.5
bm25,45,71,1.0,1.0
bm25,45,72,1.0,1.0
bm25,45,75,1.0,1.0
bm25,45,87,0.0,0.0
bm25,45,88,1.0,1.0
bm25,46,3,1.0,1.0
bm25,46,4,1.0,1.0
bm25,46,5,1.0,1.0
bm25,46,15,0.0,0.0
bm25,46,23,0.0,0.2
bm25,46,27,0.0,0.0
bm25,46,32,0.0,0.0
bm25,46,36,0.0,0.0
bm25,46,42,0.0,0.0
bm25,46,43,0.0,0.0
bm25,46,44,0.0,0.0
bm25,46,61,1.0,1.0
bm25,46,62,0.0,0.0
bm25,46,68,0.0,0.0
bm25,46,71,1.0,1.0
bm25,46,72,1.0,1.0
bm25,46,76,1.0,1.0
bm25,46,77,1.0,1.0
bm25,46,90,0.0,0.5
bm25,47,1,0.0,0.0
bm25,47,3,1.0,1.0
bm25,47,12,1.0,1.0
bm25,47,17,0.0,0.0
bm25,47,30,0.0,0.5
bm25,47,32,0.0,0.0
bm25,47,33,0.0,0.0
bm25,47,44,0.0,0.0
bm25,47,50,1.0,1.0
bm25,47,51,0.0,0.5
bm25,47,53,1.0,1.0
bm25,47,55,0.0,0.0
bm25,47,60,0.0,0.0
bm25,47,64,1.0,1.0
bm25,47,66,1.0,1.0
bm25,47,68,0.0,0.0
bm25,47,69,0.0,0.0
bm25,47,74,0.0,0.0
bm25,47,90,0.0,0.5
bm25,48,0,0.0,0.0
bm25,48,13,0.0,0.0
bm25,48,16,1.0,1.0
bm25,48,18,0.0,0.0
bm25,48,22,0.0,0.25
bm25,48,30,0.0,0.5
bm25,48,31,0.0,0.0
bm25,48,47,0.0,0.25
bm25,48,48,0.0,0.0
bm25,48,49,0.0,0.5
bm25,48,51,0.0,0.5
bm25,48,56,0.0,0.5
bm25,48,63,0.0,0.5
bm25,48,65,1.0,1.0
bm25,48,72,1.0,1.0
bm25,48,80,1.0,1.0
bm25,48,82,0.0,0.0
bm25,48,90,0.0,0.5
bm25,48,91,1.0,1.0
bm25,49,1,0.0,0.0
bm25,49,6,1.0,1.0
bm25,49,7,0.0,0.3333333333333333
bm25,49,17,0.0,0.0
bm25,49,23,0.0,0.2
bm25,49,29,1.0,1.0
bm25,49,33,0.0,0.0
bm25,49,36,0.0,0.0
bm25,49,39,1.0,1.0
bm25,49,52,0.0,0.0
bm25,49,53,1.0,1.0
bm25,49,55,0.0,0.0
bm25,49,57,1.0,1.0
bm25,49,67,0.0,0.3333333333333333
bm25,49,69,0.0,0.0
bm25,49,72,1.0,1.0
bm25,49,83,1.0,1.0
bm25,49,84,0.0,0.0
bm25,49,93,0.0,0.0
bm25,50,2,0.0,0.0
bm25,50,6,1.0,1.0
bm25,50,10,0.0,0.0
bm25,50,13,0.0,0.0
bm25,50,26,0.0,0.5
bm25,50,27,0.0,0.0
bm25,50,32,0.0,0.0
bm25,50,38,0.0,0.2
bm25,50,49,0.0,0.5
bm25,50,51,0.0,0.5
bm25,50,53,1.0,1.0
bm25,50,56,0.0,0.5
bm25,50,61,1.0,1.0
bm25,50,69,0.0,0.0
bm25,50,72,1.0,1.0
bm25,50,76,1.0,1.0
bm25,50,81,0.0,0.0
bm25,50,86,0.0,0.0
bm25,50,92,1.0,1.0
bm25,51,0,0.0,0.0
bm25,51,1,0.0,0.0
bm25,51,10,0.0,0.0
bm25,51,14,1.0,1.0
bm25,51,25,0.0,0.3333333333333333
bm25,51,29,1.0,1.0
bm25,51,32,0.0,0.0
bm25,51,40,0.0,0.0
bm25,51,42,0.0,0.0
bm25,51,44,0.0,0.0
bm25,51,46,1.0,1.0
bm25,51,59,1.0,1.0
bm25,51,63,0.0,0.5
bm25,51,66,1.0,1.0
bm25,51,71,1.0,1.0
bm25,51,76,1.0,1.0
bm25,51,82,0.0,0.0
bm25,51,83,1.0,1.0
bm25,51,87,0.0,0.0
bm25,52,4,1.0,1.0
bm25,52,14,1.0,1.0
bm25,52,17,0.0,0.0
bm25,52,18,0.0,0.0
bm25,52,27,0.0,0.0
bm25,52,30,0.0,0.5
bm25,52,32,0.0,0.0
bm25,52,39,1.0,1.0
bm25,52,41,0.0,0.0
bm25,52,43,0.0,0.0
bm25,52,51,0.0,0.5
bm25,52,56,0.0,0.5
bm25,52,60,0.0,0.0
bm25,52,64,1.0,1.0
bm25,52,65,1.0,1.0
bm25,52,71,1.0,1.0
bm25,52,85,1.0,1.0
bm25,52,89,0.0,0.3333333333333333
bm25,52,92,1.0,1.0
bm25,53,3,1.0,1.0
bm25,53,4,1.0,1.0
bm25,53,12,1.0,1.0
bm25,53,18,0.0,0.0
bm25,53,19,0.0,0.0
bm25,53,25,0.0,0.3333333333333333
bm25,53,34,1.0,1.0
bm25,53,37,0.0,0.0
bm25,53,41,0.0,0.0
bm25,53,45,0.0,0.0
bm25,53,52,0.0,0.0
bm25,53,61,1.0,1.0
bm25,53,62,0.0,0.0
bm25,53,73,0.0,0.5
bm25,53,80,1.0,1.0
bm25,53,82,0.0,0.0
bm25,53,83,1.0,1.0
bm25,53,87,0.0,0.0
bm25,53,89,0.0,0.3333333333333333
bm25,54,2,0.0,0.0
bm25,54,8,0.0,0.0
bm25,54,10,0.0,0.0
bm25,54,18,0.0,0.0
bm25,54,24,0.0,0.25
bm25,54,31,0.0,0.0
bm25,54,34,1.0,1.0
bm25,54,40,0.0,0.0
bm25,54,43,0.0,0.0
bm25,54,45,0.0,0.0
bm25,54,46,1.0,1.0
bm25,54,55,0.0,0.0
bm25,54,60,0.0,0.0
bm25,54,66,1.0,1.0
bm25,54,69,0.0,0.0
bm25,54,80,1.0,1.0
bm25,54,82,0.0,0.0
bm25,54,83,1.0,1.0
bm25,54,86,0.0,0.0
bm25,55,0,0.0,0.0
bm25,55,12,1.0,1.0
bm25,55,15,0.0,0.0
bm25,55,17,0.0,0.0
bm25,55,21,0.0,0.0
bm25,55,23,0.0,0.2
bm25,55,24,0.0,0.25
bm25,55,39,1.0,1.0
bm25,55,45,0.0,0.0
bm25,55,46,1.0,1.0
bm25,55,47,0.0,0.25
bm25,55,59,1.0,1.0
bm25,55,60,0.0,0.0
bm25,55,64,1.0,1.0
bm25,55,74,0.0,0.0
bm25,55,75,1.0,1.0
bm25,55,85,1.0,1.0
bm25,55,87,0.0,0.0
bm25,55,88,1.0,1.0
bm25,56,4,1.0,1.0
bm25,56,7,0.0,0.3333333333333333
bm25,56,10,0.0,0.0
bm25,56,18,0.0,0.0
bm25,56,27,0.0,0.0
bm25,56,28,0.0,0.25
bm25,56,31,0.0,0.0
bm25,56,36,0.0,0.0
bm25,56,37,0.0,0.0
bm25,56,41,0.0,0.0
bm25,56,42,0.0,0.0
bm25,56,55,0.0,0.0
bm25,56,57,1.0,1.0
bm25,56,73,0.0,0.5
bm25,56,82,0.0,0.0
bm25,56,83,1.0,1.0
bm25,56,84,0.0,0.0
bm25,56,86,0.0,0.0
bm25,56,92,1.0,1.0
bm25,57,3,1.0,1.0
bm25,57,13,0.0,0.0
bm25,57,14,1.0,1.0
bm25,57,18,0.0,0.0
bm25,57,19,0.0,0.0
bm25,57,24,0.0,0.25
bm25,57,35,1.0,1.0
bm25,57,37,0.0,0.0
bm25,57,38,0.0,0.2
bm25,57,44,0.0,0.0
bm25,57,48,0.0,0.0
bm25,57,56,0.0,0.5
bm25,57,60,0.0,0.0
bm25,57,71,1.0,1.0
bm25,57,74,0.0,0.0
bm25,57,78,1.0,1.0
bm25,57,81,0.0,0.0
bm25,57,89,0.0,0.3333333333333333
bm25,57,93,0.0,0.0
bm25,58,1,0.0,0.0
bm25,58,2,0.0,0.0
bm25,58,10,0.0,0.0
bm25,58,14,1.0,1.0
bm25,58,23,0.0,0.2
bm25,58,29,1.0,1.0
bm25,58,33,0.0,0.0
bm25,58,36,0.0,0.0
bm25,58,40,0.0,0.0
bm25,58,42,0.0,0.0
bm25,58,44,0.0,0.0
bm25,58,55,0.0,0.0
bm25,58,61,1.0,1.0
bm25,58,64,1.0,1.0
bm25,58,67,0.0,0.3333333333333333
bm25,58,77,1.0,1.0
bm25,58,83,1.0,1.0
bm25,58,87,0.0,0.0
bm25,58,91,1.0,1.0
bm25,59,1,0.0,0.0
bm25,59,5,1.0,1.0
bm25,59,8,0.0,0.0
bm25,59,16,1.0,1.0
bm25,59,21,0.0,0.0
bm25,59,25,0.0,0.3333333333333333
bm25,59,34,1.0,1.0
bm25,59,41,0.0,0.0
bm25,59,48,0.0,0.0
bm25,59,49,0.0,0.5
bm25,59,52,0.0,0.0
bm25,59,55,0.0,0.0
bm25,59,61,1.0,1.0
bm25,59,65,1.0,1.0
bm25,59,76,1.0,1.0
bm25,59,77,1.0,1.0
bm25,59,80,1.0,1.0
bm25,59,88,1.0,1.0
bm25,59,93,0.0,0.0
bm25,60,6,1.0,1.0
bm25,60,10,0.0,0.0
bm25,60,11,1.0,1.0
bm25,60,16,1.0,1.0
bm25,60,20,1.0,1.0
bm25,60,22,0.0,0.25
bm25,60,34,1.0,1.0
bm25,60,42,0.0,0.0
bm25,60,46,1.0,1.0
bm25,60,48,0.0,0.0
bm25,60,51,0.0,0.5
bm25,60,56,0.0,0.5
bm25,60,61,1.0,1.0
bm25,60,73,0.0,0.5
bm25,60,75,1.0,1.0
bm25,60,77,1.0,1.0
bm25,60,82,0.0,0.0
bm25,60,84,0.0,0.0
bm25,60,85,1.0,1.0
bm25,61,1,0.0,0.0
bm25,61,2,0.0,0.0
