variant,seed,rid,top1,rr
decomp,42,4,1.0,1.0
decomp,42,9,0.0,0.5
decomp,42,13,1.0,1.0
decomp,42,14,1.0,1.0
decomp,42,29,1.0,1.0
decomp,42,30,1.0,1.0
decomp,42,33,0.0,0.0
decomp,42,38,0.0,0.2
decomp,42,42,0.0,0.0
decomp,42,50,1.0,1.0
decomp,42,53,1.0,1.0
decomp,42,58,0.0,0.5
decomp,42,62,0.0,0.25
decomp,42,64,1.0,1.0
decomp,42,65,1.0,1.0
decomp,42,73,0.0,0.25
decomp,42,77,1.0,1.0
decomp,42,88,1.0,1.0
decomp,42,89,0.0,0.3333333333333333
decomp,43,2,0.0,0.25
decomp,43,8,0.0,0.0
decomp,43,12,1.0,1.0
decomp,43,15,0.0,0.0
decomp,43,26,1.0,1.0
decomp,43,29,1.0,1.0
decomp,43,33,0.0,0.0
decomp,43,37,0.0,0.0
decomp,43,39,1.0,1.0
decomp,43,42,0.0,0.0
decomp,43,49,0.0,0.5
decomp,43,60,0.0,0.0
decomp,43,62,0.0,0.25
decomp,43,77,1.0,1.0
decomp,43,80,1.0,1.0
decomp,43,84,0.0,0.0
decomp,43,89,0.0,0.2
decomp,43,90,1.0,1.0
decomp,43,91,1.0,1.0
decomp,44,8,0.0,0.0
decomp,44,10,0.0,0.0
decomp,44,14,1.0,1.0
decomp,44,15,0.0,0.0
decomp,44,22,0.0,0.5
decomp,44,26,1.0,1.0
decomp,44,32,0.0,0.0
decomp,44,44,0.0,0.0
decomp,44,45,0.0,0.0
decomp,44,50,1.0,1.0
decomp,44,51,1.0,1.0
decomp,44,56,0.0,0.5
decomp,44,60,0.0,0.0
decomp,44,66,0.0,0.5
decomp,44,76,1.0,1.0
decomp,44,81,0.0,0.0
decomp,44,82,0.0,0.0
decomp,44,90,1.0,1.0
decomp,44,93,0.0,0.0
decomp,45,3,1.0,1.0
decomp,45,9,0.0,0.5
decomp,45,12,1.0,1.0
decomp,45,17,0.0,0.0
decomp,45,26,1.0,1.0
decomp,45,32,0.0,0.0
decomp,45,35,1.0,1.0
decomp,45,38,0.0,0.2
decomp,45,45,0.0,0.0
decomp,45,49,0.0,0.25
decomp,45,51,1.0,1.0
decomp,45,61,1.0,1.0
decomp,45,62,0.0,0.25
decomp,45,70,0.0,0.5
decomp,45,71,0.0,0.0
decomp,45,72,1.0,1.0
decomp,45,75,1.0,1.0
decomp,45,87,0.0,0.0
decomp,45,88,1.0,1.0
decomp,46,3,1.0,1.0
decomp,46,4,1.0,1.0
decomp,46,5,1.0,1.0
decomp,46,15,0.0,0.0
decomp,46,23,0.0,0.3333333333333333
