variant,seed,rid,top1,rr
lsi,42,4,1.0,1.0
lsi,42,9,1.0,1.0
lsi,42,13,0.0,0.3333333333333333
lsi,42,14,1.0,1.0
lsi,42,29,1.0,1.0
lsi,42,30,0.0,0.25
lsi,42,33,0.0,0.0
lsi,42,38,0.0,0.3333333333333333
lsi,42,42,0.0,0.0
lsi,42,50,0.0,0.5
lsi,42,53,1.0,1.0
lsi,42,58,0.0,0.0
lsi,42,62,0.0,0.0
lsi,42,64,1.0,1.0
lsi,42,65,1.0,1.0
lsi,42,73,0.0,0.0
lsi,42,77,1.0,1.0
lsi,42,88,1.0,1.0
lsi,42,89,0.0,0.5
lsi,43,2,0.0,0.5
lsi,43,8,0.0,0.0
lsi,43,12,1.0,1.0
lsi,43,15,0.0,0.0
lsi,43,26,0.0,0.3333333333333333
lsi,43,29,1.0,1.0
lsi,43,33,0.0,0.0
lsi,43,37,0.0,0.2
lsi,43,39,1.0,1.0
lsi,43,42,0.0,0.0
lsi,43,49,0.0,0.5
lsi,43,60,0.0,0.0
lsi,43,62,0.0,0.0
lsi,43,77,1.0,1.0
lsi,43,80,0.0,0.2
lsi,43,84,0.0,0.0
lsi,43,89,0.0,0.2
lsi,43,90,1.0,1.0
lsi,43,91,1.0,1.0
lsi,44,8,0.0,0.0
lsi,44,10,0.0,0.0
lsi,44,14,1.0,1.0
lsi,44,15,0.0,0.0
lsi,44,22,0.0,0.5
lsi,44,26,0.0,0.5
lsi,44,32,0.0,0.2
lsi,44,44,0.0,0.0
lsi,44,45,0.0,0.0
lsi,44,50,0.0,0.3333333333333333
lsi,44,51,0.0,0.5
lsi,44,56,0.0,0.5
lsi,44,60,0.0,0.0
lsi,44,66,0.0,0.3333333333333333
lsi,44,76,1.0,1.0
lsi,44,81,0.0,0.0
lsi,44,82,0.0,0.0
lsi,44,90,1.0,1.0
lsi,44,93,0.0,0.0
lsi,45,3,1.0,1.0
lsi,45,9,1.0,1.0
lsi,45,12,1.0,1.0
lsi,45,17,0.0,0.0
lsi,45,26,1.0,1.0
lsi,45,32,0.0,0.5
lsi,45,35,1.0,1.0
lsi,45,38,0.0,0.5
lsi,45,45,0.0,0.0
lsi,45,49,0.0,0.5
lsi,45,51,1.0,1.0
lsi,45,61,1.0,1.0
lsi,45,62,0.0,0.0
lsi,45,70,0.0,0.5
lsi,45,71,0.0,0.25
lsi,45,72,0.0,0.25
lsi,45,75,1.0,1.0
lsi,45,87,0.0,0.0
lsi,45,88,1.0,1.0
lsi,46,3,1.0,1.0
lsi,46,4,1.0,1.0
lsi,46,5,1.0,1.0
lsi,46,15,0.0,0.0
lsi,46,23,0.0,0.3333333333333333
lsi,46,27,0.0,0.3333333333333333
lsi,46,32,0.0,0.25
lsi,46,36,0.0,0.0
lsi,46,42,0.0,0.0
lsi,46,43,0.0,0.0
lsi,46,44,0.0,0.0
lsi,46,61,1.0,1.0
lsi,46,62,0.0,0.0
lsi,46,68,0.0,0.0
lsi,46,71,0.0,0.0
lsi,46,72,0.0,0.5
lsi,46,76,1.0,1.0
lsi,46,77,1.0,1.0
lsi,46,90,1.0,1.0
lsi,47,1,0.0,0.0
lsi,47,3,1.0,1.0
lsi,47,12,1.0,1.0
lsi,47,17,0.0,0.0
lsi,47,30,0.0,0.2
lsi,47,32,0.0,0.5
lsi,47,33,0.0,0.0
lsi,47,44,0.0,0.0
lsi,47,50,0.0,0.3333333333333333
lsi,47,51,1.0,1.0
lsi,47,53,1.0,1.0
lsi,47,55,0.0,0.0
lsi,47,60,0.0,0.0
lsi,47,64,1.0,1.0
lsi,47,66,0.0,0.5
lsi,47,68,0.0,0.0
lsi,47,69,0.0,0.0
lsi,47,74,0.0,0.3333333333333333
lsi,47,90,1.0,1.0
lsi,48,0,0.0,0.25
lsi,48,13,0.0,0.3333333333333333
lsi,48,16,1.0,1.0
lsi,48,18,0.0,0.0
lsi,48,22,0.0,0.5
lsi,48,30,0.0,0.25
lsi,48,31,0.0,0.0
lsi,48,47,1.0,1.0
lsi,48,48,0.0,0.0
lsi,48,49,0.0,0.5
lsi,48,51,1.0,1.0
lsi,48,56,0.0,0.5
lsi,48,63,0.0,0.25
lsi,48,65,1.0,1.0
lsi,48,72,0.0,0.0
lsi,48,80,0.0,0.0
lsi,48,82,0.0,0.0
lsi,48,90,1.0,1.0
lsi,48,91,1.0,1.0
lsi,49,1,0.0,0.0
lsi,49,6,0.0,0.2
lsi,49,7,0.0,0.3333333333333333
lsi,49,17,0.0,0.0
lsi,49,23,0.0,0.3333333333333333
lsi,49,29,0.0,0.3333333333333333
lsi,49,33,0.0,0.0
lsi,49,36,0.0,0.0
lsi,49,39,1.0,1.0
lsi,49,52,0.0,0.0
lsi,49,53,1.0,1.0
lsi,49,55,0.0,0.0
lsi,49,57,1.0,1.0
lsi,49,67,1.0,1.0
lsi,49,69,0.0,0.0
lsi,49,72,0.0,0.2
lsi,49,83,0.0,0.0
lsi,49,84,0.0,0.0
lsi,49,93,0.0,0.25
lsi,50,2,1.0,1.0
lsi,50,6,0.0,0.5
lsi,50,10,0.0,0.0
lsi,50,13,0.0,0.3333333333333333
lsi,50,26,0.0,0.5
lsi,50,27,0.0,0.25
lsi,50,32,0.0,0.25
lsi,50,38,0.0,0.25
lsi,50,49,0.0,0.5
lsi,50,51,1.0,1.0
lsi,50,53,1.0,1.0
lsi,50,56,1.0,1.0
lsi,50,61,1.0,1.0
lsi,50,69,0.0,0.0
lsi,50,72,0.0,0.0
lsi,50,76,1.0,1.0
lsi,50,81,0.0,0.0
lsi,50,86,0.0,0.0
lsi,50,92,1.0,1.0
lsi,51,0,1.0,1.0
lsi,51,1,0.0,0.0
lsi,51,10,0.0,0.0
lsi,51,14,1.0,1.0
lsi,51,25,1.0,1.0
lsi,51,29,0.0,0.5
lsi,51,32,1.0,1.0
lsi,51,40,0.0,0.0
lsi,51,42,0.0,0.0
lsi,51,44,0.0,0.0
lsi,51,46,0.0,0.0
lsi,51,59,0.0,0.5
lsi,51,63,0.0,0.2
lsi,51,66,0.0,0.3333333333333333
lsi,51,71,0.0,0.0
lsi,51,76,1.0,1.0
lsi,51,82,0.0,0.0
lsi,51,83,0.0,0.5
