variant,seed,rid,top1,rr
reranker,42,4,1.0,1.0
reranker,42,9,0.0,0.5
reranker,42,13,1.0,1.0
reranker,42,14,1.0,1.0
reranker,42,29,0.0,0.0
reranker,42,30,1.0,1.0
reranker,42,33,0.0,0.0
reranker,42,38,1.0,1.0
reranker,42,42,0.0,0.3333333333333333
reranker,42,50,1.0,1.0
reranker,42,53,1.0,1.0
reranker,42,58,1.0,1.0
reranker,42,62,0.0,0.0
reranker,42,64,0.0,0.2
reranker,42,65,1.0,1.0
reranker,42,73,0.0,0.0
reranker,42,77,1.0,1.0
reranker,42,88,1.0,1.0
reranker,42,89,0.0,0.3333333333333333
reranker,43,2,0.0,0.0
reranker,43,8,0.0,0.0
reranker,43,12,0.0,0.5
reranker,43,15,0.0,0.5
reranker,43,26,1.0,1.0
reranker,43,29,0.0,0.0
reranker,43,33,0.0,0.0
reranker,43,37,0.0,0.3333333333333333
reranker,43,39,1.0,1.0
reranker,43,42,0.0,0.3333333333333333
reranker,43,49,0.0,0.0
reranker,43,60,1.0,1.0
reranker,43,62,0.0,0.0
reranker,43,77,1.0,1.0
reranker,43,80,1.0,1.0
reranker,43,84,1.0,1.0
reranker,43,89,0.0,0.3333333333333333
reranker,43,90,1.0,1.0
reranker,43,91,1.0,1.0
reranker,44,8,0.0,0.0
reranker,44,10,0.0,0.0
reranker,44,14,1.0,1.0
reranker,44,15,0.0,0.5
reranker,44,22,1.0,1.0
reranker,44,26,1.0,1.0
reranker,44,32,1.0,1.0
reranker,44,44,0.0,0.5
reranker,44,45,0.0,0.0
reranker,44,50,1.0,1.0
reranker,44,51,0.0,0.0
reranker,44,56,0.0,0.25
reranker,44,60,1.0,1.0
reranker,44,66,1.0,1.0
reranker,44,76,1.0,1.0
reranker,44,81,0.0,0.25
reranker,44,82,0.0,0.5
reranker,44,90,1.0,1.0
reranker,44,93,1.0,1.0
reranker,45,3,1.0,1.0
reranker,45,9,0.0,0.5
reranker,45,12,0.0,0.5
reranker,45,17,0.0,0.0
reranker,45,26,1.0,1.0
reranker,45,32,1.0,1.0
reranker,45,35,1.0,1.0
reranker,45,38,1.0,1.0
reranker,45,45,0.0,0.0
reranker,45,49,0.0,0.0
reranker,45,51,0.0,0.0
reranker,45,61,1.0,1.0
reranker,45,62,0.0,0.0
reranker,45,70,1.0,1.0
reranker,45,71,1.0,1.0
reranker,45,72,0.0,0.3333333333333333
reranker,45,75,1.0,1.0
reranker,45,87,0.0,0.0
reranker,45,88,1.0,1.0
reranker,46,3,1.0,1.0
reranker,46,4,1.0,1.0
reranker,46,5,1.0,1.0
reranker,46,15,0.0,0.5
reranker,46,23,0.0,0.5
reranker,46,27,0.0,0.0
reranker,46,32,1.0,1.0
reranker,46,36,0.0,0.5
reranker,46,42,0.0,0.3333333333333333
reranker,46,43,0.0,0.0
reranker,46,44,0.0,0.5
reranker,46,61,1.0,1.0
reranker,46,62,0.0,0.0
reranker,46,68,0.0,0.0
reranker,46,71,1.0,1.0
reranker,46,72,0.0,0.3333333333333333
reranker,46,76,1.0,1.0
reranker,46,77,1.0,1.0
reranker,46,90,1.0,1.0
reranker,47,1,0.0,0.0
reranker,47,3,1.0,1.0
reranker,47,12,0.0,0.5
reranker,47,17,0.0,0.0
reranker,47,30,1.0,1.0
reranker,47,32,1.0,1.0
reranker,47,33,0.0,0.0
reranker,47,44,0.0,0.5
reranker,47,50,1.0,1.0
reranker,47,51,0.0,0.0
reranker,47,53,1.0,1.0
reranker,47,55,0.0,0.3333333333333333
reranker,47,60,1.0,1.0
reranker,47,64,0.0,0.2
reranker,47,66,1.0,1.0
reranker,47,68,0.0,0.0
reranker,47,69,0.0,0.0
reranker,47,74,1.0,1.0
reranker,47,90,1.0,1.0
reranker,48,0,0.0,0.3333333333333333
reranker,48,13,1.0,1.0
reranker,48,16,0.0,0.0
reranker,48,18,0.0,0.3333333333333333
reranker,48,22,1.0,1.0
reranker,48,30,1.0,1.0
reranker,48,31,0.0,0.0
reranker,48,47,1.0,1.0
reranker,48,48,0.0,0.0
reranker,48,49,0.0,0.0
reranker,48,51,0.0,0.0
reranker,48,56,0.0,0.25
reranker,48,63,1.0,1.0
reranker,48,65,1.0,1.0
reranker,48,72,0.0,0.3333333333333333
reranker,48,80,1.0,1.0
reranker,48,82,0.0,0.5
reranker,48,90,1.0,1.0
reranker,48,91,1.0,1.0
reranker,49,1,0.0,0.0
reranker,49,6,1.0,1.0
reranker,49,7,1.0,1.0
reranker,49,17,0.0,0.0
reranker,49,23,0.0,0.5
reranker,49,29,0.0,0.0
reranker,49,33,0.0,0.0
reranker,49,36,0.0,0.5
reranker,49,39,1.0,1.0
reranker,49,52,1.0,1.0
reranker,49,53,1.0,1.0
reranker,49,55,0.0,0.3333333333333333
reranker,49,57,0.0,0.0
reranker,49,67,1.0,1.0
reranker,49,69,0.0,0.0
reranker,49,72,0.0,0.3333333333333333
reranker,49,83,0.0,0.5
reranker,49,84,1.0,1.0
reranker,49,93,1.0,1.0
reranker,50,2,0.0,0.0
reranker,50,6,1.0,1.0
reranker,50,10,0.0,0.0
reranker,50,13,1.0,1.0
reranker,50,26,1.0,1.0
reranker,50,27,0.0,0.0
reranker,50,32,1.0,1.0
reranker,50,38,1.0,1.0
reranker,50,49,0.0,0.0
reranker,50,51,0.0,0.0
reranker,50,53,1.0,1.0
reranker,50,56,0.0,0.25
reranker,50,61,1.0,1.0
reranker,50,69,0.0,0.0
reranker,50,72,0.0,0.3333333333333333
reranker,50,76,1.0,1.0
reranker,50,81,0.0,0.25
reranker,50,86,0.0,0.0
reranker,50,92,1.0,1.0
reranker,51,0,0.0,0.3333333333333333
reranker,51,1,0.0,0.0
reranker,51,10,0.0,0.0
reranker,51,14,1.0,1.0
reranker,51,25,0.0,0.5
reranker,51,29,0.0,0.0
reranker,51,32,1.0,1.0
reranker,51,40,0.0,0.0
reranker,51,42,0.0,0.3333333333333333
reranker,51,44,0.0,0.5
reranker,51,46,0.0,0.5
reranker,51,59,1.0,1.0
reranker,51,63,1.0,1.0
reranker,51,66,1.0,1.0
reranker,51,71,1.0,1.0
reranker,51,76,1.0,1.0
reranker,51,82,0.0,0.5
reranker,51,83,0.0,0.5
reranker,51,87,0.0,0.0
reranker,52,4,1.0,1.0
reranker,52,14,1.0,1.0
reranker,52,17,0.0,0.0
reranker,52,18,0.0,0.3333333333333333
reranker,52,27,0.0,0.0
reranker,52,30,1.0,1.0
reranker,52,32,1.0,1.0
reranker,52,39,1.0,1.0
reranker,52,41,0.0,0.0
reranker,52,43,0.0,0.0
reranker,52,51,0.0,0.0
reranker,52,56,0.0,0.25
reranker,52,60,1.0,1.0
reranker,52,64,0.0,0.2
reranker,52,65,1.0,1.0
reranker,52,71,1.0,1.0
reranker,52,85,1.0,1.0
reranker,52,89,0.0,0.3333333333333333
reranker,52,92,1.0,1.0
reranker,53,3,1.0,1.0
reranker,53,4,1.0,1.0
reranker,53,12,0.0,0.5
reranker,53,18,0.0,0.3333333333333333
reranker,53,19,0.0,0.5
reranker,53,25,0.0,0.5
reranker,53,34,0.0,0.0
reranker,53,37,0.0,0.3333333333333333
reranker,53,41,0.0,0.0
reranker,53,45,0.0,0.0
reranker,53,52,1.0,1.0
reranker,53,61,1.0,1.0
reranker,53,62,0.0,0.0
reranker,53,73,0.0,0.0
reranker,53,80,1.0,1.0
reranker,53,82,0.0,0.5
reranker,53,83,0.0,0.5
reranker,53,87,0.0,0.0
reranker,53,89,0.0,0.3333333333333333
reranker,54,2,0.0,0.0
reranker,54,8,0.0,0.0
reranker,54,10,0.0,0.0
reranker,54,18,0.0,0.3333333333333333
reranker,54,24,0.0,0.3333333333333333
reranker,54,31,0.0,0.0
reranker,54,34,0.0,0.0
reranker,54,40,0.0,0.0
reranker,54,43,0.0,0.0
reranker,54,45,0.0,0.0
reranker,54,46,0.0,0.5
reranker,54,55,0.0,0.3333333333333333
reranker,54,60,1.0,1.0
reranker,54,66,1.0,1.0
reranker,54,69,0.0,0.0
reranker,54,80,1.0,1.0
reranker,54,82,0.0,0.5
reranker,54,83,0.0,0.5
reranker,54,86,0.0,0.0
reranker,55,0,0.0,0.3333333333333333
reranker,55,12,0.0,0.5
reranker,55,15,0.0,0.5
reranker,55,17,0.0,0.0
reranker,55,21,0.0,0.3333333333333333
reranker,55,23,0.0,0.5
reranker,55,24,0.0,0.3333333333333333
reranker,55,39,1.0,1.0
reranker,55,45,0.0,0.0
reranker,55,46,0.0,0.5
reranker,55,47,1.0,1.0
reranker,55,59,1.0,1.0
reranker,55,60,1.0,1.0
reranker,55,64,0.0,0.2
reranker,55,74,1.0,1.0
reranker,55,75,1.0,1.0
reranker,55,85,1.0,1.0
reranker,55,87,0.0,0.0
reranker,55,88,1.0,1.0
reranker,56,4,1.0,1.0
reranker,56,7,1.0,1.0
reranker,56,10,0.0,0.0
reranker,56,18,0.0,0.3333333333333333
reranker,56,27,0.0,0.0
reranker,56,28,1.0,1.0
reranker,56,31,0.0,0.0
reranker,56,36,0.0,0.5
reranker,56,37,0.0,0.3333333333333333
reranker,56,41,0.0,0.0
reranker,56,42,0.0,0.3333333333333333
reranker,56,55,0.0,0.3333333333333333
