variant,seed,rid,top1,rr
semantic,42,4,1.0,1.0
semantic,42,9,0.0,0.0
semantic,42,13,1.0,1.0
semantic,42,14,1.0,1.0
semantic,42,29,0.0,0.0
semantic,42,30,1.0,1.0
semantic,42,33,0.0,0.0
semantic,42,38,0.0,0.3333333333333333
semantic,42,42,0.0,0.0
semantic,42,50,1.0,1.0
semantic,42,53,0.0,0.25
semantic,42,58,0.0,0.25
semantic,42,62,0.0,0.0
semantic,42,64,0.0,0.2
semantic,42,65,1.0,1.0
semantic,42,73,1.0,1.0
semantic,42,77,1.0,1.0
semantic,42,88,1.0,1.0
semantic,42,89,1.0,1.0
semantic,43,2,0.0,0.0
semantic,43,8,0.0,0.0
semantic,43,12,0.0,0.25
semantic,43,15,0.0,0.3333333333333333
semantic,43,26,0.0,0.25
semantic,43,29,0.0,0.0
semantic,43,33,0.0,0.0
semantic,43,37,1.0,1.0
semantic,43,39,0.0,0.5
semantic,43,42,0.0,0.0
semantic,43,49,0.0,0.0
semantic,43,60,1.0,1.0
semantic,43,62,0.0,0.0
semantic,43,77,1.0,1.0
semantic,43,80,1.0,1.0
semantic,43,84,1.0,1.0
semantic,43,89,1.0,1.0
semantic,43,90,1.0,1.0
semantic,43,91,1.0,1.0
semantic,44,8,0.0,0.0
semantic,44,10,0.0,0.0
semantic,44,14,1.0,1.0
semantic,44,15,0.0,0.3333333333333333
semantic,44,22,1.0,1.0
semantic,44,26,0.0,0.25
semantic,44,32,0.0,0.0
semantic,44,44,0.0,0.3333333333333333
semantic,44,45,0.0,0.0
semantic,44,50,1.0,1.0
semantic,44,51,0.0,0.0
semantic,44,56,0.0,0.3333333333333333
semantic,44,60,1.0,1.0
semantic,44,66,0.0,0.5
semantic,44,76,1.0,1.0
semantic,44,81,1.0,1.0
semantic,44,82,1.0,1.0
semantic,44,90,1.0,1.0
semantic,44,93,0.0,0.5
semantic,45,3,1.0,1.0
semantic,45,9,0.0,0.0
semantic,45,12,0.0,0.25
semantic,45,17,0.0,0.0
semantic,45,26,0.0,0.25
semantic,45,32,0.0,0.0
semantic,45,35,0.0,0.5
semantic,45,38,0.0,0.3333333333333333
semantic,45,45,0.0,0.0
semantic,45,49,0.0,0.0
semantic,45,51,0.0,0.0
semantic,45,61,1.0,1.0
semantic,45,62,0.0,0.0
semantic,45,70,1.0,1.0
semantic,45,71,0.0,0.5
semantic,45,72,0.0,0.0
semantic,45,75,1.0,1.0
semantic,45,87,0.0,0.0
semantic,45,88,1.0,1.0
semantic,46,3,1.0,1.0
semantic,46,4,1.0,1.0
semantic,46,5,1.0,1.0
semantic,46,15,0.0,0.3333333333333333
semantic,46,23,0.0,0.3333333333333333
semantic,46,27,0.0,0.0
semantic,46,32,0.0,0.0
semantic,46,36,1.0,1.0
semantic,46,42,0.0,0.0
semantic,46,43,0.0,0.2
semantic,46,44,0.0,0.3333333333333333
semantic,46,61,1.0,1.0
semantic,46,62,0.0,0.0
semantic,46,68,0.0,0.0
semantic,46,71,0.0,0.5
semantic,46,72,0.0,0.0
semantic,46,76,1.0,1.0
semantic,46,77,1.0,1.0
semantic,46,90,1.0,1.0
semantic,47,1,0.0,0.0
semantic,47,3,1.0,1.0
semantic,47,12,0.0,0.25
semantic,47,17,0.0,0.0
semantic,47,30,1.0,1.0
semantic,47,32,0.0,0.0
semantic,47,33,0.0,0.0
semantic,47,44,0.0,0.3333333333333333
semantic,47,50,1.0,1.0
semantic,47,51,0.0,0.0
semantic,47,53,0.0,0.25
semantic,47,55,0.0,0.3333333333333333
semantic,47,60,1.0,1.0
semantic,47,64,0.0,0.2
semantic,47,66,0.0,0.5
semantic,47,68,0.0,0.0
semantic,47,69,0.0,0.0
semantic,47,74,1.0,1.0
semantic,47,90,1.0,1.0
semantic,48,0,0.0,0.25
semantic,48,13,1.0,1.0
semantic,48,16,0.0,0.5
semantic,48,18,1.0,1.0
semantic,48,22,1.0,1.0
semantic,48,30,1.0,1.0
semantic,48,31,0.0,0.0
semantic,48,47,0.0,0.5
semantic,48,48,0.0,0.0
semantic,48,49,0.0,0.0
semantic,48,51,0.0,0.0
semantic,48,56,0.0,0.3333333333333333
semantic,48,63,0.0,0.0
semantic,48,65,1.0,1.0
semantic,48,72,0.0,0.0
semantic,48,80,1.0,1.0
semantic,48,82,1.0,1.0
semantic,48,90,1.0,1.0
semantic,48,91,1.0,1.0
semantic,49,1,0.0,0.0
semantic,49,6,0.0,0.5
semantic,49,7,1.0,1.0
semantic,49,17,0.0,0.0
semantic,49,23,0.0,0.3333333333333333
semantic,49,29,0.0,0.0
semantic,49,33,0.0,0.0
semantic,49,36,1.0,1.0
semantic,49,39,0.0,0.5
semantic,49,52,0.0,0.25
semantic,49,53,0.0,0.25
semantic,49,55,0.0,0.3333333333333333
semantic,49,57,0.0,0.5
semantic,49,67,1.0,1.0
semantic,49,69,0.0,0.0
semantic,49,72,0.0,0.0
semantic,49,83,0.0,0.25
