variant,seed,rid,top1,rr
tfidf,42,4,1.0,1.0
tfidf,42,9,1.0,1.0
tfidf,42,13,0.0,0.2
tfidf,42,14,1.0,1.0
tfidf,42,29,1.0,1.0
tfidf,42,30,0.0,0.25
tfidf,42,33,0.0,0.0
tfidf,42,38,0.0,0.2
tfidf,42,42,0.0,0.0
tfidf,42,50,0.0,0.3333333333333333
tfidf,42,53,1.0,1.0
tfidf,42,58,0.0,0.0
tfidf,42,62,0.0,0.0
tfidf,42,64,1.0,1.0
tfidf,42,65,1.0,1.0
tfidf,42,73,1.0,1.0
tfidf,42,77,1.0,1.0
tfidf,42,88,1.0,1.0
tfidf,42,89,0.0,0.0
tfidf,43,2,0.0,0.3333333333333333
tfidf,43,8,0.0,0.0
tfidf,43,12,1.0,1.0
tfidf,43,15,0.0,0.25
tfidf,43,26,1.0,1.0
tfidf,43,29,1.0,1.0
tfidf,43,33,0.0,0.0
tfidf,43,37,0.0,0.2
tfidf,43,39,1.0,1.0
tfidf,43,42,0.0,0.0
tfidf,43,49,0.0,0.5
tfidf,43,60,0.0,0.0
tfidf,43,62,0.0,0.0
tfidf,43,77,1.0,1.0
tfidf,43,80,1.0,1.0
tfidf,43,84,0.0,0.0
tfidf,43,89,0.0,0.0
tfidf,43,90,1.0,1.0
tfidf,43,91,0.0,0.5
tfidf,44,8,0.0,0.0
tfidf,44,10,0.0,0.0
tfidf,44,14,1.0,1.0
tfidf,44,15,0.0,0.25
tfidf,44,22,0.0,0.5
tfidf,44,26,1.0,1.0
tfidf,44,32,0.0,0.0
tfidf,44,44,0.0,0.0
tfidf,44,45,0.0,0.0
tfidf,44,50,0.0,0.3333333333333333
tfidf,44,51,0.0,0.5
tfidf,44,56,0.0,0.25
tfidf,44,60,0.0,0.0
tfidf,44,66,1.0,1.0
tfidf,44,76,1.0,1.0
tfidf,44,81,0.0,0.0
tfidf,44,82,0.0,0.0
tfidf,44,90,1.0,1.0
tfidf,44,93,0.0,0.0
tfidf,45,3,1.0,1.0
tfidf,45,9,1.0,1.0
tfidf,45,12,1.0,1.0
tfidf,45,17,0.0,0.0
tfidf,45,26,1.0,1.0
tfidf,45,32,0.0,0.0
tfidf,45,35,1.0,1.0
tfidf,45,38,0.0,0.2
tfidf,45,45,0.0,0.0
tfidf,45,49,0.0,0.5
tfidf,45,51,0.0,0.5
tfidf,45,61,1.0,1.0
tfidf,45,62,0.0,0.0
tfidf,45,70,1.0,1.0
tfidf,45,71,0.0,0.25
tfidf,45,72,1.0,1.0
tfidf,45,75,1.0,1.0
tfidf,45,87,0.0,0.0
tfidf,45,88,1.0,1.0
tfidf,46,3,1.0,1.0
tfidf,46,4,1.0,1.0
tfidf,46,5,1.0,1.0
tfidf,46,15,0.0,0.25
tfidf,46,23,0.0,0.3333333333333333
tfidf,46,27,0.0,0.5
tfidf,46,32,0.0,0.0
tfidf,46,36,1.0,1.0
tfidf,46,42,0.0,0.0
tfidf,46,43,0.0,0.0
tfidf,46,44,0.0,0.0
tfidf,46,61,1.0,1.0
tfidf,46,62,0.0,0.0
tfidf,46,68,0.0,0.0
tfidf,46,71,0.0,0.25
tfidf,46,72,1.0,1.0
tfidf,46,76,1.0,1.0
tfidf,46,77,1.0,1.0
tfidf,46,90,1.0,1.0
tfidf,47,1,0.0,0.0
tfidf,47,3,1.0,1.0
