variant,seed,top1,mrr@5,map@5,ndcg@5,recall@1,recall@5,precision@5,f1@5,coverage,sel_acc@80,micro_precision@1,micro_recall@1,micro_precision@5,micro_recall@5,conf_thr,gap_thr,n_test,avg_steps
multi,42,0.47368421052631576,0.5517543859649122,0.2492543859649123,0.3554896941429788,0.11380534670008353,0.34340016708437754,0.24210526315789477,0.28399049274752836,0.7368421052631579,0.6428571428571429,0.47368421052631576,0.10112359550561797,0.24210526315789474,0.25842696629213485,0.04817150063051703,0.0,19.0,3.0
multi,43,0.3684210526315789,0.45789473684210524,0.2236842105263158,0.29348570375398697,0.09450710108604844,0.26806599832915623,0.17894736842105266,0.21462313448434434,0.5263157894736842,0.5,0.3684210526315789,0.07291666666666667,0.17894736842105263,0.17708333333333334,0.04865990111891752,0.0,19.0,3.0
multi,44,0.3157894736842105,0.39473684210526316,0.16535087719298244,0.2329768887168527,0.0650375939849624,0.17163742690058478,0.2,0.18473642800944137,0.631578947368421,0.3333333333333333,0.3157894736842105,0.06593406593406594,0.2,0.2087912087912088,0.04839549075403121,0.0,19.0,3.0
multi,45,0.47368421052631576,0.5763157894736842,0.2904385964912281,0.38124969350157184,0.13523391812865498,0.3256474519632414,0.2631578947368421,0.2910866837923412,0.8421052631578947,0.5,0.47368421052631576,0.0989010989010989,0.2631578947368421,0.27472527472527475,0.0479384003974168,0.0,19.0,3.0
multi,46,0.42105263157894735,0.4868421052631579,0.2394736842105263,0.3166888602183589,0.1237468671679198,0.29110275689223064,0.21052631578947367,0.24434305849560198,1.0,0.42105263157894735,0.42105263157894735,0.0851063829787234,0.21052631578947367,0.2127659574468085,0.047907090265630725,0.0,19.0,3.0
multi,47,0.42105263157894735,0.4385964912280701,0.21543859649122804,0.2709075720071588,0.14076858813700918,0.19883040935672514,0.16842105263157894,0.18236674488769697,0.3684210526315789,0.5714285714285714,0.42105263157894735,0.0851063829787234,0.16842105263157894,0.1702127659574468,0.048915917503966164,0.0,19.0,3.0
multi,48,0.3157894736842105,0.4842105263157894,0.19166666666666665,0.28306490279829555,0.06906850459482039,0.2170426065162907,0.23157894736842108,0.22407527197882973,0.6842105263157895,0.23076923076923078,0.3157894736842105,0.05172413793103448,0.23157894736842105,0.1896551724137931,0.04839549075403121,0.0,19.0,3.0
multi,49,0.2631578947368421,0.3684210526315789,0.20606725146198832,0.27972946152904293,0.10760233918128655,0.3269005847953216,0.15789473684210528,0.21293886102469683,0.5789473684210527,0.36363636363636365,0.2631578947368421,0.0625,0.15789473684210525,0.1875,0.048651507139079855,0.0,19.0,3.0
multi,50,0.3684210526315789,0.4798245614035088,0.18698830409356726,0.2843571451456436,0.07492690058479533,0.2635860484544695,0.2,0.22743225283265378,0.5789473684210527,0.36363636363636365,0.3684210526315789,0.07777777777777778,0.2,0.2111111111111111,0.04839549075403121,0.0,19.0,3.0
multi,51,0.3157894736842105,0.3833333333333333,0.21676900584795322,0.2731802307426866,0.15964912280701754,0.26666666666666666,0.1473684210526316,0.18983050847457628,0.6842105263157895,0.38461538461538464,0.3157894736842105,0.09230769230769231,0.14736842105263157,0.2153846153846154,0.048651507139079855,0.0,19.0,3.0
multi,52,0.42105263157894735,0.5035087719298246,0.1842105263157895,0.2872264956307922,0.07785087719298245,0.2569444444444445,0.21052631578947367,0.23143080531665364,0.47368421052631576,0.6666666666666666,0.42105263157894735,0.07476635514018691,0.21052631578947367,0.18691588785046728,0.048651507139079855,0.0,19.0,3.0
