top1,rr@5,recall@5,precision@5,first_gold_rank,corpus,method,rid,n_gold
0.0,0.0,0.0,0.0,53,hipaa_benchmark,tfidf,0,1
0.0,0.0,0.0,0.0,68,hipaa_benchmark,bm25,0,1
0.0,0.0,0.0,0.0,115,hipaa_benchmark,lsi,0,1
0.0,0.0,0.0,0.0,10,hipaa_benchmark,semantic,0,1
0.0,0.0,0.0,0.0,9,hipaa_benchmark,reranker,0,1
0.0,0.0,0.0,0.0,77,hipaa_benchmark,rrf_lexical,0,1
0.0,0.5,0.5,0.2,2,hipaa_benchmark,tfidf,1,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,bm25,1,2
0.0,0.3333333333333333,0.5,0.2,3,hipaa_benchmark,lsi,1,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,semantic,1,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,reranker,1,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,rrf_lexical,1,2
0.0,0.2,0.3333333333333333,0.2,5,hipaa_benchmark,tfidf,2,3
0.0,0.0,0.0,0.0,7,hipaa_benchmark,bm25,2,3
0.0,0.0,0.0,0.0,6,hipaa_benchmark,lsi,2,3
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,semantic,2,3
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,reranker,2,3
0.0,0.25,0.3333333333333333,0.2,4,hipaa_benchmark,rrf_lexical,2,3
1.0,1.0,1.0,0.2,1,hipaa_benchmark,tfidf,3,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,bm25,3,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,lsi,3,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,semantic,3,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,reranker,3,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,rrf_lexical,3,1
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,tfidf,4,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,bm25,4,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,lsi,4,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,semantic,4,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,reranker,4,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,rrf_lexical,4,6
0.0,0.0,0.0,0.0,35,hipaa_benchmark,tfidf,5,2
0.0,0.0,0.0,0.0,19,hipaa_benchmark,bm25,5,2
0.0,0.0,0.0,0.0,12,hipaa_benchmark,lsi,5,2
0.0,0.0,0.0,0.0,28,hipaa_benchmark,semantic,5,2
0.0,0.0,0.0,0.0,170,hipaa_benchmark,reranker,5,2
0.0,0.0,0.0,0.0,28,hipaa_benchmark,rrf_lexical,5,2
0.0,0.3333333333333333,0.2,0.2,3,hipaa_benchmark,tfidf,6,5
0.0,0.0,0.0,0.0,16,hipaa_benchmark,bm25,6,5
0.0,0.3333333333333333,0.2,0.2,3,hipaa_benchmark,lsi,6,5
1.0,1.0,0.2,0.2,1,hipaa_benchmark,semantic,6,5
0.0,0.5,0.2,0.2,2,hipaa_benchmark,reranker,6,5
0.0,0.2,0.2,0.2,5,hipaa_benchmark,rrf_lexical,6,5
0.0,0.0,0.0,0.0,12,hipaa_benchmark,tfidf,7,9
1.0,1.0,0.1111111111111111,0.2,1,hipaa_benchmark,bm25,7,9
0.0,0.0,0.0,0.0,11,hipaa_benchmark,lsi,7,9
0.0,0.0,0.0,0.0,6,hipaa_benchmark,semantic,7,9
0.0,0.3333333333333333,0.2222222222222222,0.4,3,hipaa_benchmark,reranker,7,9
0.0,0.0,0.0,0.0,6,hipaa_benchmark,rrf_lexical,7,9
0.0,0.3333333333333333,0.14285714285714285,0.2,3,hipaa_benchmark,tfidf,8,7
0.0,0.0,0.0,0.0,9,hipaa_benchmark,bm25,8,7
0.0,0.25,0.14285714285714285,0.2,4,hipaa_benchmark,lsi,8,7
0.0,0.3333333333333333,0.2857142857142857,0.4,3,hipaa_benchmark,semantic,8,7
0.0,0.2,0.14285714285714285,0.2,5,hipaa_benchmark,reranker,8,7
0.0,0.3333333333333333,0.14285714285714285,0.2,3,hipaa_benchmark,rrf_lexical,8,7
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,tfidf,9,3
0.0,0.3333333333333333,0.3333333333333333,0.2,3,hipaa_benchmark,bm25,9,3
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,lsi,9,3
1.0,1.0,0.6666666666666666,0.4,1,hipaa_benchmark,semantic,9,3
1.0,1.0,0.6666666666666666,0.4,1,hipaa_benchmark,reranker,9,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,rrf_lexical,9,3
0.0,0.2,0.25,0.2,5,hipaa_benchmark,tfidf,10,4
0.0,0.0,0.0,0.0,7,hipaa_benchmark,bm25,10,4
0.0,0.0,0.0,0.0,12,hipaa_benchmark,lsi,10,4
1.0,1.0,0.25,0.2,1,hipaa_benchmark,semantic,10,4
1.0,1.0,0.25,0.2,1,hipaa_benchmark,reranker,10,4
0.0,0.0,0.0,0.0,9,hipaa_benchmark,rrf_lexical,10,4
0.0,0.0,0.0,0.0,121,hipaa_benchmark,tfidf,11,3
0.0,0.0,0.0,0.0,178,hipaa_benchmark,bm25,11,3
0.0,0.0,0.0,0.0,137,hipaa_benchmark,lsi,11,3
0.0,0.0,0.0,0.0,6,hipaa_benchmark,semantic,11,3
0.0,0.2,0.3333333333333333,0.2,5,hipaa_benchmark,reranker,11,3
0.0,0.0,0.0,0.0,158,hipaa_benchmark,rrf_lexical,11,3
0.0,0.5,0.5,0.6,2,hipaa_benchmark,tfidf,12,6
0.0,0.0,0.0,0.0,7,hipaa_benchmark,bm25,12,6
0.0,0.5,0.3333333333333333,0.4,2,hipaa_benchmark,lsi,12,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,semantic,12,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,reranker,12,6
0.0,0.3333333333333333,0.3333333333333333,0.4,3,hipaa_benchmark,rrf_lexical,12,6
0.0,0.3333333333333333,0.5,0.2,3,hipaa_benchmark,tfidf,13,2
0.0,0.25,0.5,0.2,4,hipaa_benchmark,bm25,13,2
0.0,0.0,0.0,0.0,6,hipaa_benchmark,lsi,13,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,semantic,13,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,reranker,13,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,rrf_lexical,13,2
1.0,1.0,0.75,0.6,1,hipaa_benchmark,tfidf,14,4
1.0,1.0,0.75,0.6,1,hipaa_benchmark,bm25,14,4
1.0,1.0,1.0,0.8,1,hipaa_benchmark,lsi,14,4
1.0,1.0,1.0,0.8,1,hipaa_benchmark,semantic,14,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,reranker,14,4
1.0,1.0,0.75,0.6,1,hipaa_benchmark,rrf_lexical,14,4
0.0,0.0,0.0,0.0,222,hipaa_benchmark,tfidf,15,2
0.0,0.0,0.0,0.0,59,hipaa_benchmark,bm25,15,2
0.0,0.0,0.0,0.0,105,hipaa_benchmark,lsi,15,2
0.0,0.0,0.0,0.0,27,hipaa_benchmark,semantic,15,2
0.0,0.0,0.0,0.0,218,hipaa_benchmark,reranker,15,2
0.0,0.0,0.0,0.0,121,hipaa_benchmark,rrf_lexical,15,2
0.0,0.0,0.0,0.0,222,hipaa_benchmark,tfidf,16,2
0.0,0.0,0.0,0.0,97,hipaa_benchmark,bm25,16,2
0.0,0.0,0.0,0.0,181,hipaa_benchmark,lsi,16,2
0.0,0.0,0.0,0.0,17,hipaa_benchmark,semantic,16,2
0.0,0.0,0.0,0.0,20,hipaa_benchmark,reranker,16,2
0.0,0.0,0.0,0.0,167,hipaa_benchmark,rrf_lexical,16,2
0.0,0.0,0.0,0.0,223,hipaa_benchmark,tfidf,17,2
0.0,0.0,0.0,0.0,87,hipaa_benchmark,bm25,17,2
0.0,0.0,0.0,0.0,132,hipaa_benchmark,lsi,17,2
0.0,0.0,0.0,0.0,6,hipaa_benchmark,semantic,17,2
0.0,0.0,0.0,0.0,17,hipaa_benchmark,reranker,17,2
0.0,0.0,0.0,0.0,110,hipaa_benchmark,rrf_lexical,17,2
0.0,0.0,0.0,0.0,36,hipaa_benchmark,tfidf,18,2
0.0,0.0,0.0,0.0,67,hipaa_benchmark,bm25,18,2
0.0,0.0,0.0,0.0,34,hipaa_benchmark,lsi,18,2
0.0,0.0,0.0,0.0,8,hipaa_benchmark,semantic,18,2
0.0,0.0,0.0,0.0,13,hipaa_benchmark,reranker,18,2
0.0,0.0,0.0,0.0,42,hipaa_benchmark,rrf_lexical,18,2
1.0,1.0,0.5,0.4,1,hipaa_benchmark,tfidf,19,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,bm25,19,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,lsi,19,4
1.0,1.0,0.25,0.2,1,hipaa_benchmark,semantic,19,4
1.0,1.0,0.25,0.2,1,hipaa_benchmark,reranker,19,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,rrf_lexical,19,4
