top1,predicted_top1,rr@5,recall@5,precision@5,first_gold_rank,corpus,method,rid,n_gold
0.0,116,0.0,0.0,0.0,43,csf_benchmark,multi,0,2
0.0,279,0.0,0.0,0.0,161,csf_benchmark,multi,1,1
0.0,63,0.0,0.0,0.0,46,csf_benchmark,multi,2,5
1.0,17,1.0,0.6666666666666666,0.4,1,csf_benchmark,multi,3,3
0.0,134,0.3333333333333333,0.2,0.2,3,csf_benchmark,multi,4,5
0.0,156,0.2,0.25,0.2,5,csf_benchmark,multi,5,4
1.0,290,1.0,1.0,0.4,1,csf_benchmark,multi,6,2
1.0,151,1.0,1.0,0.2,1,csf_benchmark,multi,7,1
0.0,157,0.3333333333333333,1.0,0.2,3,csf_benchmark,multi,8,1
1.0,214,1.0,0.375,0.6,1,csf_benchmark,multi,9,8
0.0,73,0.5,0.4,0.4,2,csf_benchmark,multi,10,5
1.0,182,1.0,0.2,0.2,1,csf_benchmark,multi,11,5
0.0,172,0.5,0.2,0.4,2,csf_benchmark,multi,12,10
0.0,132,0.5,0.23076923076923078,0.6,2,csf_benchmark,multi,13,13
1.0,159,1.0,0.5,0.4,1,csf_benchmark,multi,14,4
0.0,50,0.0,0.0,0.0,6,csf_benchmark,multi,15,5
0.0,54,0.25,0.16666666666666666,0.2,4,csf_benchmark,multi,16,6
0.0,54,0.5,0.3333333333333333,0.4,2,csf_benchmark,multi,17,6
1.0,171,1.0,0.6,0.6,1,csf_benchmark,multi,18,5
0.0,172,0.25,0.5,0.2,4,csf_benchmark,multi,19,2
0.0,198,0.25,1.0,0.2,4,csf_benchmark,multi,20,1
0.0,171,0.5,0.25,0.2,2,csf_benchmark,multi,21,4
1.0,290,1.0,0.6666666666666666,0.8,1,csf_benchmark,multi,22,6
1.0,289,1.0,0.42857142857142855,0.6,1,csf_benchmark,multi,23,7
1.0,289,1.0,0.4,0.4,1,csf_benchmark,multi,24,5
0.0,293,0.0,0.0,0.0,9,csf_benchmark,multi,25,6
0.0,73,0.5,0.3333333333333333,0.4,2,csf_benchmark,multi,26,6
0.0,5,0.3333333333333333,0.18181818181818182,0.4,3,csf_benchmark,multi,27,11
1.0,119,1.0,0.5,0.8,1,csf_benchmark,multi,28,8
1.0,14,1.0,0.4,0.4,1,csf_benchmark,multi,29,5
1.0,4,1.0,0.375,0.6,1,csf_benchmark,multi,30,8
1.0,227,1.0,0.2,0.2,1,csf_benchmark,multi,31,5
1.0,13,1.0,0.3333333333333333,0.6,1,csf_benchmark,multi,32,9
0.0,152,0.0,0.0,0.0,14,csf_benchmark,multi,33,9
0.0,5,0.0,0.0,0.0,8,csf_benchmark,multi,34,3
0.0,184,0.0,0.0,0.0,8,csf_benchmark,multi,35,2
0.0,184,0.0,0.0,0.0,6,csf_benchmark,multi,36,3
0.0,184,0.5,0.5,0.2,2,csf_benchmark,multi,37,2
0.0,182,0.0,0.0,0.0,6,csf_benchmark,multi,38,4
1.0,243,1.0,0.125,0.2,1,csf_benchmark,multi,39,8
0.0,63,0.0,0.0,0.0,122,csf_benchmark,multi,40,2
0.0,225,0.5,0.25,0.2,2,csf_benchmark,multi,41,4
0.0,224,0.5,0.25,0.2,2,csf_benchmark,multi,42,4
0.0,63,0.0,0.0,0.0,62,csf_benchmark,multi,43,8
1.0,272,1.0,0.5,0.2,1,csf_benchmark,multi,44,2
0.0,49,0.0,0.0,0.0,92,csf_benchmark,multi,45,1
0.0,226,0.0,0.0,0.0,24,csf_benchmark,multi,46,1
1.0,52,1.0,0.1111111111111111,0.2,1,csf_benchmark,multi,47,9
1.0,204,1.0,0.4,0.4,1,csf_benchmark,multi,48,5
1.0,53,1.0,0.6666666666666666,0.4,1,csf_benchmark,multi,49,3
1.0,72,1.0,0.3333333333333333,0.2,1,csf_benchmark,multi,50,3
