top1,predicted_top1,rr@5,recall@5,precision@5,first_gold_rank,corpus,method,rid,n_gold
0.0,87,0.5,0.25,0.2,2,diagnostic_benchmark,tfidf,0,4
1.0,1,1.0,0.25,0.2,1,diagnostic_benchmark,bm25,0,4
0.0,87,0.5,0.25,0.2,2,diagnostic_benchmark,lsi,0,4
0.0,87,0.5,0.25,0.2,2,diagnostic_benchmark,lsi_inductive,0,4
0.0,49,0.5,0.5,0.4,2,diagnostic_benchmark,semantic,0,4
1.0,1,1.0,0.5,0.4,1,diagnostic_benchmark,reranker,0,4
0.0,87,0.5,0.25,0.2,2,diagnostic_benchmark,rrf_lexical,0,4
0.0,87,0.5,0.25,0.2,2,diagnostic_benchmark,rrf_lexical_inductive,0,4
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,tfidf,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,bm25,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,lsi,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,lsi_inductive,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,semantic,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,reranker,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,rrf_lexical,1,3
1.0,4,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,rrf_lexical_inductive,1,3
1.0,5,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,tfidf,2,3
1.0,6,1.0,1.0,0.6,1,diagnostic_benchmark,bm25,2,3
1.0,6,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,lsi,2,3
1.0,5,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,lsi_inductive,2,3
1.0,5,1.0,1.0,0.6,1,diagnostic_benchmark,semantic,2,3
1.0,5,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,reranker,2,3
1.0,6,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,rrf_lexical,2,3
1.0,6,1.0,0.6666666666666666,0.4,1,diagnostic_benchmark,rrf_lexical_inductive,2,3
1.0,7,1.0,1.0,0.2,1,diagnostic_benchmark,tfidf,3,1
1.0,7,1.0,1.0,0.2,1,diagnostic_benchmark,bm25,3,1
1.0,7,1.0,1.0,0.2,1,diagnostic_benchmark,lsi,3,1
1.0,7,1.0,1.0,0.2,1,diagnostic_benchmark,lsi_inductive,3,1
0.0,11,0.25,1.0,0.2,4,diagnostic_benchmark,semantic,3,1
1.0,7,1.0,1.0,0.2,1,diagnostic_benchmark,reranker,3,1
1.0,7,1.0,1.0,0.2,1,diagnostic_benchmark,rrf_lexical,3,1
